DHSID_EA,most_relevant_sentences
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
SL-2013-6#-00000389,"The Arrivals wing has a customs hall with a money exchange offices, shop, a lost and found baggage office, and an information office"
SL-2013-6#-00000298,The developments were intended to improve Sierra Leone's competitiveness as the country prepares to become a middle income country by 2035. Controversy This development project has drawn criticism from the World Bank (WB) and the International Monetary Fund (IMF) because of the level of debt that the country would be left with
SL-2008-5#-00000262,"Most of the pregnant ebola patients were sent to Princess Christian, but with health resources committed elsewhere, the hospital was severely neglected and conditions were so bad that the United Nations proposed closing the hospital altogether"
SL-2013-6#-00000402,"He was the richest man in present-day territory of Sierra Leone, the grandson of a Mane king and part of the hybrid Luso-African community that had developed along the lower rivers. The attack of 1779 took place during the American War of Independence when the Continental Army's French allies took advantage of the conflict to attack British assets outside North America. South Carolinan and Georgian planters were willing to pay premium prices for slave labour brought from what they called the ""Rice Coast"" of West Africa, the traditional rice-growing region stretching from what is now Senegal and Gambia in the north down to present-day Sierra Leone and Liberia in the south. American colonist Henry Laurens served as Bunce Island's business agent in Charleston, and was a wealthy planter and slave trader"
SL-2013-6#-00000402,"A three-year research project funded by the UK Arts and Humanities Research Council in the late 2000s investigated the ""object diaspora"" of movable Sierra Leonean cultural properties in the context of European museums and has led to the creation of a digital resource relating to the country's cultural heritage"
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
SL-2013-6#-00000389,"The Arrivals wing has a customs hall with a money exchange offices, shop, a lost and found baggage office, and an information office"
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
SL-2013-6#-00000389,"The Arrivals wing has a customs hall with a money exchange offices, shop, a lost and found baggage office, and an information office"
SL-2013-6#-00000402,"A three-year research project funded by the UK Arts and Humanities Research Council in the late 2000s investigated the ""object diaspora"" of movable Sierra Leonean cultural properties in the context of European museums and has led to the creation of a digital resource relating to the country's cultural heritage"
SL-2013-6#-00000402,"He was the richest man in present-day territory of Sierra Leone, the grandson of a Mane king and part of the hybrid Luso-African community that had developed along the lower rivers. The attack of 1779 took place during the American War of Independence when the Continental Army's French allies took advantage of the conflict to attack British assets outside North America. South Carolinan and Georgian planters were willing to pay premium prices for slave labour brought from what they called the ""Rice Coast"" of West Africa, the traditional rice-growing region stretching from what is now Senegal and Gambia in the north down to present-day Sierra Leone and Liberia in the south. American colonist Henry Laurens served as Bunce Island's business agent in Charleston, and was a wealthy planter and slave trader"
SL-2013-6#-00000298,The developments were intended to improve Sierra Leone's competitiveness as the country prepares to become a middle income country by 2035. Controversy This development project has drawn criticism from the World Bank (WB) and the International Monetary Fund (IMF) because of the level of debt that the country would be left with
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
SL-2013-6#-00000389,"The Arrivals wing has a customs hall with a money exchange offices, shop, a lost and found baggage office, and an information office"
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
SL-2013-6#-00000389,"The Arrivals wing has a customs hall with a money exchange offices, shop, a lost and found baggage office, and an information office"
SL-2008-5#-00000262,"Most of the pregnant ebola patients were sent to Princess Christian, but with health resources committed elsewhere, the hospital was severely neglected and conditions were so bad that the United Nations proposed closing the hospital altogether"
SL-2013-6#-00000402,"He was the richest man in present-day territory of Sierra Leone, the grandson of a Mane king and part of the hybrid Luso-African community that had developed along the lower rivers. The attack of 1779 took place during the American War of Independence when the Continental Army's French allies took advantage of the conflict to attack British assets outside North America. South Carolinan and Georgian planters were willing to pay premium prices for slave labour brought from what they called the ""Rice Coast"" of West Africa, the traditional rice-growing region stretching from what is now Senegal and Gambia in the north down to present-day Sierra Leone and Liberia in the south. American colonist Henry Laurens served as Bunce Island's business agent in Charleston, and was a wealthy planter and slave trader"
SL-2019-7Z-00000297,"The additional firepower was included to maximise the options available to the planners, given that the West Side Boys had a numerical advantage and that additional resources would not be immediately available should the operation run into difficulties"
SL-2013-6#-00000402,"A three-year research project funded by the UK Arts and Humanities Research Council in the late 2000s investigated the ""object diaspora"" of movable Sierra Leonean cultural properties in the context of European museums and has led to the creation of a digital resource relating to the country's cultural heritage"
SL-2013-6#-00000303,"By 1850 the only contribution required of the CMS was the salary of the European principal. After being run by the Church Missionary Society for more than a century, the Government assumed greater responsibility for paying teachers' salaries and providing grants. The school regained independent status in September 2007 and is now sole property of the Anglican Diocese of Freetown. When he died on 26 January 1936 it was discovered that no provision had been made to pay a pension to his widow, but the church made no immediate move to rectify the problem"
SL-2013-6#-00000402,"A three-year research project funded by the UK Arts and Humanities Research Council in the late 2000s investigated the ""object diaspora"" of movable Sierra Leonean cultural properties in the context of European museums and has led to the creation of a digital resource relating to the country's cultural heritage"
SL-2013-6#-00000303,"By 1850 the only contribution required of the CMS was the salary of the European principal. After being run by the Church Missionary Society for more than a century, the Government assumed greater responsibility for paying teachers' salaries and providing grants. The school regained independent status in September 2007 and is now sole property of the Anglican Diocese of Freetown. When he died on 26 January 1936 it was discovered that no provision had been made to pay a pension to his widow, but the church made no immediate move to rectify the problem"
SL-2013-6#-00000402,"He was the richest man in present-day territory of Sierra Leone, the grandson of a Mane king and part of the hybrid Luso-African community that had developed along the lower rivers. The attack of 1779 took place during the American War of Independence when the Continental Army's French allies took advantage of the conflict to attack British assets outside North America. South Carolinan and Georgian planters were willing to pay premium prices for slave labour brought from what they called the ""Rice Coast"" of West Africa, the traditional rice-growing region stretching from what is now Senegal and Gambia in the north down to present-day Sierra Leone and Liberia in the south. American colonist Henry Laurens served as Bunce Island's business agent in Charleston, and was a wealthy planter and slave trader"
SL-2008-5#-00000262,"Most of the pregnant ebola patients were sent to Princess Christian, but with health resources committed elsewhere, the hospital was severely neglected and conditions were so bad that the United Nations proposed closing the hospital altogether"
SL-2008-5#-00000243,exclusive economic zone:. continental shelf: 200 m depth or to the depth of exploitation
