DHSID_EA,relevance_score,most_relevant_sentences
SL-2016-7#-00000189,1.0,"See also  Bumbuna II Hydroelectric Power Station  References  Category:Dams completed in 2009 Category:Energy infrastructure completed in 2009 Category:Dams in Sierra Leone Category:Northern Province, Sierra Leone Category:Concrete-face rock-fill dams Category:Hydroelectric power stations in Sierra Leone Category:Infrastructure in Sierra Leone"
SL-2008-5#-00000243,1.0,"The country has a total area of , divided into a land area of  and water of . The country has a total area of , divided into a land area of  and water of . Climate: tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)  Terrain: coastal belt of mangrove swamps, wooded hill country, upland plateau, mountains in east  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Loma Mansa (Bintimani) 1,948 m  Natural resources: diamonds, titanium ore, bauxite, iron ore, gold, chromite  Land use: arable land: 24.4% permanent crops: 2.3% permanent pasture: 30.5% forest: 37.5% other: 6.3% (2011)  Irrigated land: 300 km²; (2012)  Total renewable water resources: 160 km3; (2011)  Natural hazards: dry, sand-laden harmattan winds blow from the Sahara (December to February); sandstorms, dust storms  See also Protected areas of Sierra Leone Administrative divisions of Sierra Leone  References  Sources"
SL-2013-6#-00000389,1.0,"Access Because the Lungi International Airport is across an estuary from the capital Freetown, passengers have the options of traveling from Lungi International Airport to Freetown through government ferry, private passenger water taxi speed boats and bus transportation. The water taxis are large boats, often with air conditioning and wifi. The private water taxis take 30–40 minutes to Aberdeen, Murray Town or Government wharf. The aircraft was grounded for 48 hours to investigate and the Belgian Accident Investigation Board rated this as a ""serious incident"".http://avherald.com/h?article=4a8d4487&opt=0  References  External links  A-Z World Airports  Airport Category:Airports in Sierra Leone Category:Transport infrastructure in Sierra Leone"
SL-2008-5#-00000173,1.0,References  Category:Bays of the Atlantic Ocean Category:Bodies of water of Sierra Leone Category:Bays of Africa
SL-2013-6#-00000298,1.0,"It was part of the infrastructure to be built as Sierra Leone prepared to shift its political and administrative capital, away from over-crowded Freetown. See also  List of airports in Sierra Leone  References  External links  A Modern Airport Is A Gateway To Prosperity  Category:Airports in Sierra Leone Category:Port Loko District Category:Transport infrastructure in Sierra Leone Category:Proposed airports in Africa Category:Defunct airports"
SL-2013-6#-00000402,1.0,"Slave ships based in northern ports frequently called at Bunce Island, taking on supplies such as fresh water and provisions for the Atlantic crossing, and buying slaves for sale in the British islands of the West Indies and the Southern Colonies."
SL-2008-5#-00000243,1.0,"The country has a total area of , divided into a land area of  and water of . The country has a total area of , divided into a land area of  and water of . Climate: tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)  Terrain: coastal belt of mangrove swamps, wooded hill country, upland plateau, mountains in east  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Loma Mansa (Bintimani) 1,948 m  Natural resources: diamonds, titanium ore, bauxite, iron ore, gold, chromite  Land use: arable land: 24.4% permanent crops: 2.3% permanent pasture: 30.5% forest: 37.5% other: 6.3% (2011)  Irrigated land: 300 km²; (2012)  Total renewable water resources: 160 km3; (2011)  Natural hazards: dry, sand-laden harmattan winds blow from the Sahara (December to February); sandstorms, dust storms  See also Protected areas of Sierra Leone Administrative divisions of Sierra Leone  References  Sources"
SL-2013-6#-00000389,1.0,"Access Because the Lungi International Airport is across an estuary from the capital Freetown, passengers have the options of traveling from Lungi International Airport to Freetown through government ferry, private passenger water taxi speed boats and bus transportation. The water taxis are large boats, often with air conditioning and wifi. The private water taxis take 30–40 minutes to Aberdeen, Murray Town or Government wharf. The aircraft was grounded for 48 hours to investigate and the Belgian Accident Investigation Board rated this as a ""serious incident"".http://avherald.com/h?article=4a8d4487&opt=0  References  External links  A-Z World Airports  Airport Category:Airports in Sierra Leone Category:Transport infrastructure in Sierra Leone"
SL-2008-5#-00000243,1.0,"The country has a total area of , divided into a land area of  and water of . The country has a total area of , divided into a land area of  and water of . Climate: tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)  Terrain: coastal belt of mangrove swamps, wooded hill country, upland plateau, mountains in east  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Loma Mansa (Bintimani) 1,948 m  Natural resources: diamonds, titanium ore, bauxite, iron ore, gold, chromite  Land use: arable land: 24.4% permanent crops: 2.3% permanent pasture: 30.5% forest: 37.5% other: 6.3% (2011)  Irrigated land: 300 km²; (2012)  Total renewable water resources: 160 km3; (2011)  Natural hazards: dry, sand-laden harmattan winds blow from the Sahara (December to February); sandstorms, dust storms  See also Protected areas of Sierra Leone Administrative divisions of Sierra Leone  References  Sources"
SL-2013-6#-00000389,1.0,"Access Because the Lungi International Airport is across an estuary from the capital Freetown, passengers have the options of traveling from Lungi International Airport to Freetown through government ferry, private passenger water taxi speed boats and bus transportation. The water taxis are large boats, often with air conditioning and wifi. The private water taxis take 30–40 minutes to Aberdeen, Murray Town or Government wharf. The aircraft was grounded for 48 hours to investigate and the Belgian Accident Investigation Board rated this as a ""serious incident"".http://avherald.com/h?article=4a8d4487&opt=0  References  External links  A-Z World Airports  Airport Category:Airports in Sierra Leone Category:Transport infrastructure in Sierra Leone"
