DHSID_EA,relevance_score,most_relevant_sentences
SN-2012-6Z-00000131,2.0,References  External links  Lycée Français Théodore Monod   Category:French international schools in Africa Category:International schools in Mauritania Category:Nouakchott
SN-2005-4Z-00000372,7.0,"There are five levels of education: pre-school, elemental and complementary basic education, general and complementary secondary education, general secondary education, technical and professional teaching, and higher education (university and non-universities)."
SN-2018-8#-00000001,3.0,"English is taught as a foreign language in secondary schools and many graduate school programs, and it is the only subject matter that has a special office in the Ministry of Education."
SN-2015-7Z-00000002,5.0,"The campus was closed in 2011 after the university lost approximately $10 million on the venture, with the remaining 104 students at the Dakar Campus transferring to the main university campus in Boston."
SN-2017-7Z-00000297,1.0,"Built between 2016 and 2018, it is primarily used for basketball games, and it is the home arena of the Senegal national basketball team and the Senegal women's national basketball team. The objective was to replace the Marius Ndiaye Stadium as the home arena for both men and women basketball teams in Senegal."
SN-2018-8#-00000035,2.0,"It was part of the Senegalese government’s efforts to decentralise higher-education provision, seeking to encourage youth to stay in rural areas and to provide educational programmes appropriate to these contexts. A large tree on campus inspired the building's design, and like the tree, the building was intended to offer shelter, shade, and freshness for students."
SN-2015-7Z-00000028,1.0,"Marriage is formally proposed by women — their choice of spouse is made public to the groom-to-be and the rest of the community by an offer of a dish of specially prepared fish, marinated in red palm oil. Men and women have adopted religious practices introduced by Protestant missionaries, which have also reduced the influences of the island's matrimonial traditions."
SN-2012-6Z-00000031,1.0,"Every aspect of its city's life and growth is managed by the order independently of the state, including education, health, supply of drinking water, public works, administration of markets, land tenure, and real estate development."
SN-2015-7Z-00000018,1.0,"Salt is exported across the region by up to 3,000 collectors, men and women from all over Western Africa, who work 6–7 hours a day."
SN-2010-6#-00000174,1.0,"This led to economic benefits for the town, including the construction of an elementary school, a new market aimed at tourists, and improved roads. In 1999, a mosque and school, The Alex Haley Mosque and School Complex, was opened in Jufureh, where Haley traced back his ancestry through genealogical research."
SN-2005-4Z-00000051,1.0,"Stiel objected, but on learning that the Dutch West India Company would guarantee them their pay, the garrison mutinied and returned to Holland on the ship that had brought out the new garrison.Gray, pp."
