DHSID_EA,clean_sentences,most_relevant_sentences
SZ-2006-5#-00000227,"['right|thumb|250px|Map of Eswatini thumb|Location of Eswatini thumb|Enlargeable, detailed map of Eswatini  Eswatini is a country in Southern Africa, lying between Mozambique and South Africa', '  The country is located at the geographic coordinates ', ' Eswatini has an area of 17,363 square kilometres, of which 160 are water', ' The major regions of the country are Lowveld, Midveld and Highveld', '   Climate  The climate of Eswatini varies from tropical to near temperate', ' The seasons are the reverse of those in the Northern Hemisphere with December being mid-summer and June mid-winter', ' Generally speaking, rain falls mostly during the summer months, often in the form of thunderstorms', ' Winter is the dry season', ' Annual rainfall is highest on the Highveld in the West, between  depending on the year', ' The further East, the less rain, with the Lowveld recording  per annum', ' Variations in temperature are also related to the altitude of the different regions', ' The Highveld temperature is temperate and, seldom, uncomfortably hot while the Lowveld may record temperatures around  in summer', '  The average temperatures at Mbabane, according to seasons:   SpringSeptember – OctoberSummerNovember – MarchAutumnApril – MayWinterJune – August  Physical geography thumb|Topographic map of Eswatini The terrain largely consists of mountains and hills, with some moderately sloping plains', '  The lowest point is the Great Usutu River, at 21 metres, and the highest is Emlembe, at 1,862 m', '  As a landlocked country, Eswatini has neither coastline nor maritime claims', ' In terms of land boundaries, Eswatini borders Mozambique for 105 kilometres, and South Africa for 430, giving a total land boundary length of 535\xa0km', '  Natural resources Eswatini possesses the following natural resources: asbestos, coal, clay, cassiterite, hydropower, forests, small gold and diamond deposits, quarry stone, and talc', ""  670\xa0km² of the country's land is irrigated"", '  The following table describes land use in Eswatini:  +Land use Use  Percentage of Area arable land 9', '77 permanent crops 0', '7 other 89', '53  Environment [[File:Mlilwane Wildlife Sanctuary in Eswatini 01', 'jpg|thumb|Mlilwane Wildlife Sanctuary]] Eswatini is prone to floods and drought', ' Soil erosion as a result of overgrazing is a growing problem', '  Eswatini is part of the following international agreements: Biodiversity, Endangered Species, Nuclear Test Ban and Ozone Layer Protection', '  The country has signed, but not ratified the agreement on desertification, and the law of the sea', '  Extreme points  This is a list of the extreme points of Eswatini, the points that are farther north, south, east or west than any other location', '  Northernmost point - unnamed location of the border with South Africa immediately north of the village of Horo, Hhohho Region  Easternmost point - the tripoint with South Africa and Mozambique, Lubombo Region  Southernmost point - unnamed location on the border with South Africa, Shiselweni Region  Westernmost point - a longitudinal segment of the border with South Africa, Manzini Region (not a single point)  External links European Digital Archive on the Soil Maps of the world - soil maps of Swaziland   ']","Natural resources Eswatini possesses the following natural resources: asbestos, coal, clay, cassiterite, hydropower, forests, small gold and diamond deposits, quarry stone, and talc"
SZ-2006-5#-00000181,"['The South African Revenue Service (SARS) is the revenue service (tax-collecting agency) of the South African government', ' It was established by legislation to collect revenue and ensure compliance with tax law', "" Its vision is to be an innovative revenue and customs agency that enhances economic growth and social development, and supports South Africa's integration into the global economy in a way that benefits all citizens"", '  In accordance with the South African Revenue Service Act 34 of 1997, the service is an administratively autonomous organ of the state: it is outside the public service, but within the public administration', "" So although South Africa's tax regime is set by the National Treasury, it is managed by SARS"", '  SARS aims to provide an enhanced, transparent and client-orientated service to ensure optimum and equitable collection of revenue', '  Functions Its main functions are to:   collect and administer all national taxes, duties and levies;  collect revenue that may be imposed under any other legislation, as agreed on between SARS and an organ of state or institution entitled to the revenue;  provide protection against the illegal importation and exportation of goods;  facilitate trade; and  advise the Minister of Finance on all revenue matters', '  SARS provides an online portal to individuals, tax practitioners and businesses via it’s SARS eFiling website', '  History  Prior to the establishment of SARS, the tax collecting agency of South Africa was called the Receiver of Revenue', ' The first income tax act in South Africa was introduced in 1914', ' Set of ZAR notes 2012 to present Tax collection R6', '1 Trillion', ""  Following South Africa's transition from apartheid to democracy in the early 1990s, the South African Revenue Service (SARS) was established as an autonomous agency in terms of the South African Revenue Service Act 34 of 1997, responsible for administering the South African tax system and customs service"", ""  Pravin Gordhan was appointed SARS Commissioner in 1999, holding the position until 2009, when he was announced as the country's Finance Minister"", ' He was replaced by Oupa Magashula, who ultimately resigned in July 2013, ""following the outcome of a fact-finding inquiry into allegations that he offered a chartered accountant a job at SARS""', ' Magashula was replaced by the controversial Tom Moyane, who has been described as having been ""willing to choose the interests of [President Jacob] Zuma and his cronies over those of the country', '""  With the revenue service continually missing it’s targets and being widely critiqued in the media, newly elected President Cyril Ramaphosa announced a ""clean-up"" at SARS in February 2018, which was to include the commissioning of an inquiry into the state of affairs at SARS', ' This inquiry was officially named the SARS Commission, but was widely reported by media as the ""Nugent"" Commission, after its chair, Justice Robert Nugent', ' Ramaphosa suspended Moyane on 19 March 2018, stating that ""Developments at the SARS under your leadership have resulted in a deterioration in public confidence in the institution and in public finances being compromised', ' For the sake of the country and the economy, this situation cannot be allowed to continue, or to worsen', '"" Long-time SARS employee and former Acting Chief Officer of Business & Individual Tax Mark Kingon was appointed acting SARS Commissioner on 20 March 2018, and acted in the role until the appointment of a permanent commissioner', "" President Ramaphosa received the commission's interim report in September 2018, and dismissed Moyane on 1 November 2018, citing the report's recommendations"", '  The Presidency announced an independent selection panel, led by former Finance Minister Trevor Manuel, to make recommendations on a permanent commissioner', ' The panel included Angela Bester, Justice Dennis Davis, Sindi Mabaso-Koyana, Ismail Momoniat, Thandi Orleyn and Fezekile Tshiqi, and the position was advertised from 16 December 2018 to 18 January 2019', ' President Ramaphosa named former SARS Deputy Commissioner and formed Alexander Forbes Chief Executive Edward Kieswetter as the new SARS Commissioner on 27 March 2019, with Kieswetter taking office on 1 May 2019', '  References                    External links  Category:Taxation in South Africa Category:Revenue services']","It was established by legislation to collect revenue and ensure compliance with tax law.Its vision is to be an innovative revenue and customs agency that enhances economic growth and social development, and supports South Africa's integration into the global economy in a way that benefits all citizens.Functions Its main functions are to: collect and administer all national taxes, duties and levies; collect revenue that may be imposed under any other legislation, as agreed on between SARS and an organ of state or institution entitled to the revenue; provide protection against the illegal importation and exportation of goods; facilitate trade; and advise the Minister of Finance on all revenue matters.The first income tax act in South Africa was introduced in 1914"
SZ-2006-5#-00000181,"['The National Treasury is one of the departments of the South African government', "" The Treasury manages national economic policy, prepares the South African government's annual budget and manages the government's finances"", ' Along with the South African Revenue Service and Statistics South Africa, the Treasury falls within the portfolio of the Minister of Finance', "" Throughout the course of President Jacob Zuma's second administration, the ministry has undergone several changes"", "" Most notably, Nhlanhla Nene was suddenly dismissed on 9 December 2015, without explanation, and replaced with a relatively unknown parliamentary back-bencher from the ruling ANC's caucus, David 'Des' van Rooyen for a record-total of 3 days"", ' He was, in turn, replaced by Pravin Gordhan after the President faced significant pressure from political and business groups over the move', ' On 30 March 2017 Jacob Zuma axed Pravin Gordhan and appointed Malusi Gigaba as a Finance Minister', "" Following Zuma's resignation, President Cyril Ramaphosa returned Nhlanhla Nene as Minister in his cabinet reshuffle on 26 February 2018"", '  In the 2010 national budget, the Treasury received an appropriation of 1,504', '4 million rand and had 730 employees', '  The Treasury has been responsible for South African Airways since December 2014   Ministers   References   External links    National Treasury  South African Revenue Service  ?  Category:1910 establishments in South Africa Category:Government agencies established in 1910 Treasury Category:Finance in South Africa South Africa']","The Treasury manages national economic policy, prepares the South African government's annual budget and manages the government's finances"
SZ-2006-5#-00000185,"['King Cetshwayo District Municipality (formerly Uthungulu District Municipality) is one of the 11 district municipalities (""districts"") of KwaZulu-Natal province in South Africa', ' The seat of the district is Richards Bay', ' The majority of its 885 944 people speak Zulu (2001 Census)', ' The district code is DC28', ' It is named after Cetshwayo kaMpande, King of the Zulu Kingdom from 1872 to 1879, who led his nation to victory against the British in the Battle of Isandlwana', '  Geography Neighbours King Cetshwayo District is surrounded by:  iLembe to the south (DC29)  Umkhanyakude to the northeast (DC27)  The Indian Ocean to the east  Umzinyathi to the west (DC24)  Zululand to the north (DC26)  Local municipalities The district contains the following local municipalities:  Local municipalityPopulation%uMhlathuze 289 187 32', '64%Umlalazi 221 077 24', '95%Nkandla 133 596 15', '08%Mbonambi 106 949 12', '07%Ntambanana 84 772 9', '57%Mthonjaneni 50 382 5', '69%  Demographics The following statistics are from the South African National Census of 2011', '  LanguagePopulation%Zulu 797 545 89', '11%English 45 573 5', '09%Afrikaans 20 290 2', '27%Ndebele 11 801 1', '32%Tswana 5 771 0', '64%Northern Sotho 1 989 0', '22%isiXhosa 1 967 0', '22%Other 3 482 0', '39%Sotho 1 238 0', '14%Tsonga 730 0', '08%Swati 709 0', '08%Venda 452 0', '05%  Gender GenderPopulation%Female 480 122 52', '90%Male 427 397 47', '10%  Ethnic group Ethnic groupPopulation%Black African 856 997 94', '43%White 29 375 3', '24%Indian/Asian 14 362 1', '61%Coloured 5 027 0', '55%  Age AgePopulation%000 - 004 105 292 11', '88%005 - 009 117 338 13', '24%010 - 014 116 678 13', '17%015 - 019 111 828 12', '62%020 - 024 83 146 9', '39%025 - 029 70 038 7', '91%030 - 034 53 829 6', '08%035 - 039 49 667 5', '61%040 - 044 42 568 4', '80%045 - 049 32 552 3', '67%050 - 054 26 991 3', '05%055 - 059 18 608 2', '10%060 - 064 18 550 2', '09%065 - 069 13 065 1', '47%070 - 074 11 970 1', '35%075 - 079 6 094 0', '69%080 - 084 4 904 0', '55%085 - 089 1 458 0', '16%090 - 094 767 0', '09%095 - 099 475 0', '05%100 plus 126 0', '01%  Sister City  King Cetshwayo District is officially a sister city of Milwaukee, Wisconsin, USA ( Milwaukee, United States)', ' The joining of the two cities was largely enacted from legislation in Wisconsin in collaboration with the Africa Urban Poverty Alleviation Program', ' In 2009, Sister Cities International launched the Africa Urban Poverty Alleviation Program, a three-year project to alleviate poverty in 25 African cities (including King Cetshwayo District) through water, sanitation and health initiatives', ' Milwaukee will collaborate with their African counterparts to identify and address the most critical problems in these sectors, which form barriers to sustained development in urban areas', ' This project is funded by a $7', '5 million grant from the Bill & Melinda Gates Foundation', ' The program is cited to end in middle of the year 2012', '  Politics Election results Election results for uThungulu (King Cetshwayo District) in the South African general election, 2004', '  Population 18 and over: 477 576 [53', '91% of total population]  Total votes: 252 139 [28', '46% of total population]  Voting % estimate: 52', '80% votes as a % of population 18 and over PartyVotes%Inkhata Freedom Party 150 187 59', '57%African National Congress 76 503 30', '34%Democratic Alliance 14 556 5', '77%African Christian Democratic Party 3 553 1', '41%United Democratic Movement 1 791 0', '71%Freedom Front Plus 773 0', '31%Independent Democrats 666 0', '26%New National Party 633 0', ""25%Azanian People's Organisation 591 0"", '23%Pan African Congress 419 0', '17%SOPA 306 0', '12%CDP 304 0', '12%United Christian Democratic Party 283 0', '11%KISS 253 0', '10%Minority Front 249 0', '10%UF 241 0', '10%EMSA 207 0', '08%PJC 200 0', '08%NA 172 0', '07%TOP 156 0', '06%NLP 96 0', '04%Total 252 139 100', '00%  See also  Municipal Demarcation Board  References   External links     Category:District Municipalities of KwaZulu-Natal Category:King Cetshwayo District Municipality']","In 2009, Sister Cities International launched the Africa Urban Poverty Alleviation Program, a three-year project to alleviate poverty in 25 African cities (including King Cetshwayo District) through water, sanitation and health initiatives"
SZ-2006-5#-00000185,"['uMkhanyakude is the northernmost of the 11 districts of the KwaZulu-Natal province of South Africa', ' Its seat is Mkuze', ' It is a very rural district, the largest town being Mtubatuba in the south, with Hluhluwe, Mkuze, Jozini, Kwangwanase and Ingwavuma further to the north', ' The majority of its 573,353 people speak IsiZulu (2001 Census)', ' The district code is DC27', '  uMkhanyakude is named after the yellow-barked fever tree, literally meaning “seen from afar”', ' It contains many areas of outstanding natural beauty such as the St Lucia greater wetland park, Sodwana Bay and Kosi Bay', ' Game parks include Hluhluwe-Umfolozi, Ndumu and Tembe Elephant Park', '  It is one of the two most deprived districts in South Africa according to the District Health Barometer', ' “Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer', '  Geography Neighbours uMkhanyakude is surrounded by:  The republic of Mozambique to the north  The Indian Ocean to the east  uThungulu to the south (DC28)  Zululand to the west (DC26)  the kingdom of Eswatini to the north-west  Local municipalities The district contains the following local municipalities:  Local municipalityPopulation%Dominant languageJozini 184 093 32', '11%ZuluHlabisa 176 899 30', '85%ZuluUmhlabuyalingana 140 962 24', '59%ZuluMtubatuba 35 216 6', '14%ZuluThe Big 5 False Bay 31 102 5', '42%ZuluSt Lucia Park 5 080 0', '89%   Demographics The following statistics are from the 2001 census', '  LanguagePopulation%IsiZulu 559 949 97', '66%SiSwati 3 748 0', '65%English 3 182 0', '55%Afrikaans 2 304 0', '40%IsiNdebele 1 378 0', '24%Sesotho 903 0', '16%Sepedi 582 0', '10%IsiXhosa 561 0', '10%Setswana 259 0', '05%Xitsonga 230 0', '04%Other 208 0', '04%Tshivenda 48 0', '01%  Gender GenderPopulation%Female 313 954 54', '76%Male 259 399 45', '24%  Ethnic group Ethnic groupPopulation%Black African 568 853 99', '22%White 3 235 0', '56%Coloured 898 0', '16%Indian/Asian 367 0', '06%  Age AgePopulation%000 - 004 76 956 13', '42%005 - 009 85 375 14', '89%010 - 014 86 948 15', '16%015 - 019 78 248 13', '65%020 - 024 50 006 8', '72%025 - 029 36 983 6', '45%030 - 034 30 883 5', '39%035 - 039 27 382 4', '78%040 - 044 23 084 4', '03%045 - 049 16 695 2', '91%050 - 054 13 481 2', '35%055 - 059 9 654 1', '68%060 - 064 11 199 1', '95%065 - 069 8 543 1', '49%070 - 074 8 869 1', '55%075 - 079 4 049 0', '71%080 - 084 3 017 0', '53%085 - 089 1 004 0', '18%090 - 094 579 0', '10%095 - 099 292 0', '05%100 plus 106 0', '02%  Politics Election results Election results for Umkhanyakude in the South African general election, 2004', '  Population 18 and over: 274 753 [47', '92% of total population]  Total votes: 150 543 [26', '26% of total population]  Voting % estimate: 54', '79% votes as a % of population 18 and over PartyVotes%Inkhata Freedom Party 104 721 69', '56%African National Congress 36 893 24', '51%Democratic Alliance 3 357 2', '23%African Christian Democratic Party 1 381 0', '92%United Democratic Movement 1 038 0', ""69%Azanian People's Organisation 423 0"", '28%New National Party 374 0', '25%Freedom Front Plus 343 0', '23%Independent Democrats 308 0', '20%Pan African Congress 234 0', '16%PJC 204 0', '14%SOPA 177 0', '12%KISS 176 0', '12%CDP 163 0', '11%United Christian Democratic Party 139 0', '09%EMSA 135 0', '09%UF 113 0', '08%Minority Front 112 0', '07%TOP 106 0', '07%NA 91 0', '06%NLP 55 0', '04%Total 150 543 100', '00%   References   External links  Umkhanyakude DM official website  Category:District Municipalities of KwaZulu-Natal Category:Umkhanyakude District Municipality']","“Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer"
SZ-2006-5#-00000079,"['Meyer de Kock (5 October 1849 – 12 February 1901) was a citizen of the Zuid-Afrikaansche Republiek (""ZAR"") during the Second Anglo-Boer War', ' After the British had captured the capital Pretoria and annexed the Transvaal, he surrendered on 10 December 1900', ' In January 1901 he went to the eastern Transvaal to persuade burghers still in the field to surrender', ' He was arrested, court-martialled and later, on 12 February 1901, executed by firing squad', '  The War Prior to the Second Anglo-Boer War Meyer de Kock was a businessman living with his wife in Belfast in the eastern part of the ZAR', ' He was a dignified, progressive and well-liked man from a good family', 'Muller, C', 'H', ': Oorlogsherinneringe van general Chris H', ' Muller, Nasionale Pers, Cape Town, 1936', ' When war broke out in October 1899, de Kock did not join his local commando but remained behind to guard the bridges and railway line from Lourenço Marques (Maputo) to Pretoria', 'Blake, Albert: Boereverraaier, Tafelberg, 2010', '  After Lord Roberts captured Pretoria on 5 June 1900, his army swept down the railway line past Belfast and reached the Portuguese border by 25 September 1900', ' The ZAR was annexed by the British Crown on 25 October 1900', 'Pakenham, Thomas: The Boer War, Weidenfeld & Nicolson, London, 1979, pp', ' 581-2', '  Like many other burghers, De Kock regarded the war as having been lost and he voluntarily surrendered to the British garrison in Belfast on 10 December 1900', ' His first reason for surrendering was that his wife was a refined woman not used to the hardships of war', ' As head of his family, he had to rescue them from the difficult situation they found themselves in', ' He also wanted to prevent British troops from damaging his property as they were already doing', ' Lastly, he wanted to complain to the British authorities about Boer houses being burnt down and their women being molested', 'South African National Archives and Records Service: Transvaal Argief Bewaarplek (TAB), PMO 23 1612/01', '  The Peace Committees De Kock was taken to Pretoria, where he was interviewed by Colonel D', ' Henderson, the head of British military intelligence, and even Lord Kitchener, to whom he conveyed his complaints about British troops', ' Shortly thereafter he met a number of other burghers who had decided to surrender', ' They discussed various ways in which peace could be made', ' They decided to return to their own districts, form local peace committees, and approach the burghers in the field to try and persuade them to surrender', '  De Kock returned to Belfast and started a local peace committee, of which he became the secretary', ' He wrote to local Boer officers in the field, inviting them to discuss the advantages of laying down their arms', ' On 22 January 1901 he decided to visit the Boer Commandos where they were then camping on the Steenkamps Mountain, some 20 miles from Belfast', ""  Arrest and trial thumb|Execution of De Kock next to open grave When De Kock arrived at the Boers' pickets he was arrested immediately and taken to General Muller"", ' Muller sent him to the government laager on Tautesberg', ' On 29 January 1901 De Kock appeared before a special military court consisting of a magistrate (landdrost) Gideon F', ' Joubert, as chairman and two additional members', ' H', 'L', 'J', ' Jacobs, an Assistant State Attorney, prosecuted while a certain Brugman acted as Registrar', ' De Kock did not have legal representation', '  The charge against De Kock was one of high treason and the prosecution relied on four instances', ' In the first instance, it was alleged that he had left his commando and handed his weapons to the enemy', ' To this charge, he pleaded guilty but added that if he had not done so, his family would have been ejected from their home or suffered in some other way', ' He pleaded not guilty on the second count that he had unlawfully cooperated with the enemy to persuade burghers to lay their weapons down', "" Thirdly it was alleged that he had left the enemy's lines with Peace Committee documents, in which burghers were encouraged to lay down their arms"", ' He pleaded guilty but explained that it was done with good intentions to promote peace', ' He also pleaded guilty to the fourth charge that he tried to persuade two named burghers to lay down their arms', ' A number of witnesses were called in support of the charges', ' De Kock handed in an affidavit and he was cross-examined', '  At the end of the trial, the court found De Kock guilty of high treason and sentenced him to death', ' The government confirmed the conviction and sentence', '  Execution De Kock was sent back to the commandos to be executed by firing squad', 'Viljoen, Ben Johannes:  My Reminiscences of the Anglo-Boer War, Hood, Douglas & Howard, London, 1902, p', ' 336', ' On 12 February 1901 he was shot next to his open grave', 'Schikkerling, R', 'W', "": Commando Courageous (A Boer's Diary), Johannesburg, 1964"", ' The location of the gravestone is 25°22', ""89'S, 30°00"", ""536'E (WGS84)"", '  References  Further reading  Hattingh, J', 'L', ':Die geval van Meyer de Kock en die ontstaan van die konsentrasiekampe tydens die Anglo-Boereoorlog 1899-1902, Historia 18(3), September 1973, pp', '\xa0163–185', '  Solomon, V', 'E', ': The Hands-Uppers, Military History Journal, volume 3, No 1, June 1974', '  Sources  Pakenham, Thomas: The Boer War, Weidenfeld & Nicolson, London, 1979', '  Viljoen, Ben Johannes:  My Reminiscences of the Anglo-Boer War, Hood, Douglas & Howard, London, 1902', ' Also available in Kindle', '  Muller, C', 'H', ': Oorlogsherinneringe van generaal Chris H', ' Muller, Nasionale Pers, Cape Town, 1936', '  South African National Archives and Records Service: Transvaal Archives Depository (TAB), PMO 23 1612/01', '  Grundlingh, A', 'M', ': Die ""Hendsoppers"" en ""Joiners"", Protea Boekhuis, Pretoria, 1999', '  Schikkerling, R', 'W', "": Commando Courageous (A Boer's Diary), Johannesburg, 1964"", '  Blake, Albert: Boereverraaier, Tafelberg, Cape Town, 2010', '  Category:1849 births Category:1901 deaths Category:Afrikaner people Category:People executed by firing squad Category:South African Republic military personnel of the Second Boer War']",He also wanted to prevent British troops from damaging his property as they were already doing
SZ-2006-5#-00000205,"['The Mater Dolorosa Church or just Mater Dolorosa Parish, is a Catholic church located in the city of Mbabane, Eswatini (Swaziland)', ' It is adjacent to a secondary and elementary school of the same name', '  Unlike most African countries the main church, Our Lady of Assumption Cathedral, Manzini, is not located in the capital, but in another city', ' The name ""Mater Dolorosa"" (Our Lady of Sorrows) is one of the Latin forms of invocation of Mary', '  History The church began as the mission of Mater Dolorosa, established in January 1914', ' On January 27, 2014 celebrations were held in this church celebrating 100 years of the Catholic Church in the nation', ' During a religious ceremony the finance minister collapsed and had to be treated', '  See also Roman Catholicism in Swaziland Mater Dolorosa  References  Category:Roman Catholic churches in Eswatini Category:Buildings and structures in Mbabane']",During a religious ceremony the finance minister collapsed and had to be treated
SZ-2006-5#-00000181,"['The Deutsche Internationale Schule Pretoria (DSP) is a German and English-medium school in The Willows, Pretoria, South Africa', '   History  The DSP was founded in December 1899, with the first school building officially opened in 1900', '  1924 saw the school move to bigger premises in the Pretoria city centre', '  In 1965, the DSP had 16 teachers and 399 learners from pre-school to Grade 7', '""Deutscher Bundestag 4', ' Wahlperiode Drucksache IV/3672"" (Archive)', ' Bundestag (West Germany)', ' 23 June 1965', ' Retrieved on 12 March 2016', ' p', ' 30', '  Until 1967, the DSP was a primary school only', ' In 1968 a Grade 8 class was started, followed by a Grade 9 class in 1969 and so on, until the DSP sat its first Matric class for school-leaving exams in 1972', '  With the school growing too small for its Pretoria city centre facilities, DSP’s current property was purchased in 1969', ' Construction of the new school began in 1975 and the DSP moved officially in 1977', '  In 1985 the DSP Kindergarten was opened, while in 2013 the school opened a crèche, for children from 3 months of age', '  In 1988 the DSP launched an outreach “Education Builds Bridges,” aimed at previously-disadvantaged learners from Mamelodi and Eersterust', ' Since then, over 800 children have taken part in the programme, which is made possible by a grant from the Federal Republic of Germany', ' At a ceremony for the 30th anniversary of the programme on 8 November 2019, former South African President Kgalema Motlanthe thanked the DSP for playing a role in the creation of a new South Africa 30 years ago', ' “The decision of the German School was courageous and gave additional impetus to the process of democratisation of South Africa”, said Motlanthe', '  As of 2021, the DSP has roughly 50 teachers and 750 learners, from its Crèche through to Grade 12', '   Operations  The school is funded through school fees, donations, fundraising and support from the German government', '  It is founded on the German Education model of teaching, which emphasizes developing independence in children, encourages critical thinking, supports children taking ownership for their learning process, and stresses the development of creative problem-solving skills', '  Since 1999, the school has added a new Media/Computer Centre, an Arts, Crafts and Design Centre, dedicated music facility, as well as a LEGO Robotics Lab', '   Curriculum and graduation options  The DSP follows German and South African curricula, with German and English taught as both mother tongue and as a foreign language', '  The school is divided into the following phases:  Early Learning (including a Crèche and Kindergarten), Primary (Pre-school to Grade 4), Secondary I (Grades 5-9) and Secondary II (Grades 10-12), all of which work closely with each other', '  In the Secondary School I phase, learners in German classes can complete a school-leaving certificate equivalent to the German “Hauptschulabschluss” (Grade 9) or “Realschulabschluss” (Grade 10)', '  At the end of Grade 9, in preparation for entry to Secondary School II, learners decide whether they want to follow the German Kombi-Abitur or the South African National Senior Certificate (NSC) Programme', ' In the NSC, learners are prepared in the English medium for the NSC examination at the end of Grade 12, as set by the Independent Examination Board (IEB)', ' This can then be supplemented by the German Language Diploma (DSD II), which qualifies a learner to study in Germany', '  The language of tuition in the Kombi-Abitur is mainly German and affords learners the opportunity to earn a dual school-leaving certificate (the German international “Abitur” and the NSC)', '   Oktoberfest  Pretoria’s annual Oktoberfest was first held at the DSP in the Willows in 1977, as a fundraiser for the school', ' Despite its name, it is held in September, like the ""original"" Oktoberfest in Munich, Germany, which runs from the second half of September until the first Sunday in October', ' Attractions include an authentic Oompah band, German food like Eisbein, Bratwurst, Schnitzel, Brezel and Lebkuchen, as well as both German and local beers', ' For the first time in its history, the Oktoberfest was cancelled in both 2020 and 2021 because of the Covid-19 pandemic', '  Gallery  References  External links      Category:German international schools in South Africa Category:International schools in Pretoria']","With the school growing too small for its Pretoria city centre facilities, DSP’s current property was purchased in 1969"
SZ-2006-5#-00000162,"['Leopard Creek Country Club is a Gary Player-designed country club in Malalane, South Africa', ' The course sits at the border of Kruger National Park, with the Crocodile River (Mpumalanga) snaking through some fairways', "" The course is owned by South Africa's richest man, Johann Rupert; players often stay at the nearby Sabi Sabi game lodge"", 'Leopard Creek Country Club Golf Advisor The course has hosted the Alfred Dunhill Challenge', '  References  Category:Golf clubs and courses in South Africa Category:Golf clubs and courses designed by Gary Player']","The course is owned by South Africa's richest man, Johann Rupert; players often stay at the nearby Sabi Sabi game lodge"
SZ-2006-5#-00000181,"['De Goede Hoop is a private, Afrikaans language, Christian hostel geared towards male and female students at the University of Pretoria', ' The hostel was founded in 2017 by the civil rights organization AfriForum', "" The foundation made headlines because Afrikaans was the only language used there and they did not follow the university's rules that residence halls must be 43% black"", ' In 2017, the hostel housed 66 students, every single one of them white', ' One black student was accepted for accommodation, but was rejected for financial reasons', '  Most students at De Goede Hoop are between 19 and 25 years old', '  It is located on the corner of Reitz and Verdoorn Streets in Sunnyside, Pretoria, 1', '8\xa0km from the UP main campus and 3\xa0km from the Groenkloof campus', '   Foundation  Plans were made for the hostel beginning in 2015', ' In 2016, an opening date was slated for January 28, 2017', "" AfriForum's stated purpose for founding the hostel was to allow Afrikaner students to participate in student life, after the organization came under pressure during the FeesMustFall protests, during which thousands protested against high class and residence fees and the use of Afrikaans as a language of instruction"", ' The latter was abolished at the university', "" Cornelius Jansen van Rensburg is the chair of the residents' board"", '   Registration with the University  The De Goede Hoop student organization was recognized by the university in 2016', "" Residents of the hall could participate in University-sanctioned organizations and activities by virtue of this registration, but the student organization's recognition was withdrawn in 2017"", '   Criticism  Around two months after the hostel opened, its nature aroused controversy', ' According to the activist Yusuf Abramjee, De Goede Hoop had an ""exclusive"" character tantamount to segregation', ' Abramjee filed a complaint with the university as well as with the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities', '   Reaction of the University of Pretoria   University spokeswoman Candice Jooste condemned the hostel ""strongly"" and distanced the institution from it', ' On March 27, 2017, Rikus Delport, another university spokesperson, banned the hostel from participating in all university events', ' He also maintained that it held ""discriminatory admission requirements', '   References    External links     Official Facebook page  Category:Buildings and structures in Pretoria Category:2017 establishments in South Africa Category:Youth hostelling']","One black student was accepted for accommodation, but was rejected for financial reasons"
