DHSID_EA,most_relevant_sentences
SZ-2006-5#-00000202,"It was inaugurated on 19 January 1999 by Nelson Mandela, his wife Graça, and by President Joaquim Chissano of Mozambique"
SZ-2006-5#-00000181,"The Temple, like its mother order in Taiwan, follows the Linji Chan school of Buddhism as well as the Pure Land School"
SZ-2006-5#-00000185,"“Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer"
SZ-2006-5#-00000079,His first reason for surrendering was that his wife was a refined woman not used to the hardships of war
SZ-2006-5#-00000205,It is adjacent to a secondary and elementary school of the same name
SZ-2006-5#-00000181,"Operations The school is funded through school fees, donations, fundraising and support from the German government. Gallery References External links Category:German international schools in South Africa Category:International schools in Pretoria"
SZ-2006-5#-00000181,"Mamelodi High School, also called Mamelodi Secondary School, is a high school in Mamelodi township, Tshwane, South Africa. The school was founded in 1956 under the Department of Bantu Education of the Apartheid regime. In the 1960s it was one of only two post-primary schools in Mamelodi"
SZ-2006-5#-00000181,1930 - The school obtains a total of 65 students. 21 January 1947 - The school obtains a total of 158 students. 20 January 1965 - The school obtains a total of 545 students. 25 January 1972 - The school obtains a total of 735 students. 6 January 1982 - The first 10 girls are allowed to attend the school. January 1987 - The school obtains a total of 1320 students
SZ-2006-5#-00000181,"This has repeated until there are now three layers of daughter trees encircling the mother fig, with 13 distinct trunks, covering a 50-metre area"
SZ-2006-5#-00000181,"De Goede Hoop is a private, Afrikaans language, Christian hostel geared towards male and female students at the University of Pretoria. 8 km from the UP main campus and 3 km from the Groenkloof campus. AfriForum's stated purpose for founding the hostel was to allow Afrikaner students to participate in student life, after the organization came under pressure during the FeesMustFall protests, during which thousands protested against high class and residence fees and the use of Afrikaans as a language of instruction. Registration with the University The De Goede Hoop student organization was recognized by the university in 2016. On March 27, 2017, Rikus Delport, another university spokesperson, banned the hostel from participating in all university events"
SZ-2006-5#-00000128,"After a few years operating from the town's public library, the first school building was completed by 1902 and the separate high school campus was built and launched in 1957"
SZ-2006-5#-00000180,"The Main campus for the University in Eswatini was then built at Kwaluseni, and all departments except agriculture then moved to that campus"
SZ-2006-5#-00000181,The school offers the following sports: Athletics Basketball Cricket Cross Country Field Hockey Netball Squash (sport) Soccer Swimming Tennis Clapham High School is part of the Pretoria English Medium High Schools Athletics Association which is good-spirited rivalry between all the co-ed government schools in Pretoria
SZ-2006-5#-00000128,"Eshowe consisted of a deserted church, school and the house of a Norwegian missionary"
SZ-2006-5#-00000181,"Historical events On 9 August 1956, 20,000 women marched to the doors of the Union Buildings, chanting ""Wathint' Abafazi, wathint' imbokodo!"" which means ""strike the women, strike the rock"", to protest against the pass laws of 1950. The imbokodo is a grinding stone used by the women to grind maize"
SZ-2006-5#-00000181,His wife remained until her death in 1901
SZ-2006-5#-00000181,"Libraries The Merensky 2 Library (Main campus library) includes the Learning Centre, Technical Services, a Research Commons, a Digital Scholarship Centre and the following faculty libraries: - Economic & Management Sciences - Natural & Agricultural Sciences - Engineering & Built Environment - Humanities (incl"
SZ-2006-5#-00000181,External links Kya Rosa on UPSpace University of Pretoria Kya Rosa - Home of Alumni Category:University of Pretoria buildings Category:University and college buildings completed in 1895 Category:1895 establishments in the South African Republic
SZ-2006-5#-00000181,"Masters and Doctoral research outputs of University of Pretoria students are regarded and preserved, as special UP Publications. This collection contains a copy of each and every dissertation/thesis by Masters and Doctoral students enrolled at all the faculties at the University of Pretoria. In 2004 it became the policy of the University of Pretoria that a student must submit a bound paper copy as well as two electronic copies of the approved dissertation/thesis"
SZ-2006-5#-00000181,"South African National Academy of Intelligence (SANAI) The National Academy of Intelligence is based in Mafikeng and was established in February 2003 and comprises an academic faculty, an intelligence research institute and development support component"
SZ-2006-5#-00000079,"That High Dutch be taught in schools and that the use of the Dutch language will be allowed in law courts. One by increasing the English-speaking population of the Transvaal and the other by teaching the Boer children in English with very little Dutch used, followed by self-rule"
SZ-2006-5#-00000202,"It was inaugurated on 19 January 1999 by Nelson Mandela, his wife Graça, and by President Joaquim Chissano of Mozambique"
SZ-2006-5#-00000181,"The Temple, like its mother order in Taiwan, follows the Linji Chan school of Buddhism as well as the Pure Land School"
SZ-2006-5#-00000185,"“Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer"
