DHSID_EA,relevance_score,most_relevant_sentences
TJ-2017-7#-00000123,1.0,"DIGITAL ECONOMICS   Economics   Economics, human resources management 9."
TJ-2012-6#-00000121,1.0,Economy Natural resources include significant petroleum and natural gas reserves.
TJ-2017-7#-00000209,1.0,"""Da Eman of Sayghan valley Coal deposits"" Ministry of Mines, Islamic Republic of Afghanistan (26 August 2008)  The majority of economic activity is agriculture: farming in the valleys, mostly wheat, potatoes and barley; and stock raising mostly sheep, donkeys and goats."
TJ-2017-7#-00000008,4.0,"The current economic situation remains fragile, largely owing to corruption, uneven economic reforms, and economic mismanagement."
TJ-2017-7#-00000317,2.0,"The largest rivers of Tajikistan are:  Amu Darya/Panj Bartang Gunt Kofarnihon (Kafirnigan) Kyzylsu Muksu Murghab  Obihingou Oksu Syr Darya Surkhandarya Vakhsh/Surkhob Vanj Yazgulyam Zeravshan  Lakes About 2% of the country's area is covered by lakes:The World Factbook,Economy of Tajikistan   Kayrakum (Qairoqqum) Reservoir (Sughd) Iskanderkul (Fann Mountains) Kulikalon (Kul-i Kalon) (Fann Mountains) Nurek Reservoir (Khatlon) Bulunkul (Pamir) Drumkul (Pamir) Karakul (; eastern Pamir) Rangkul (Pamir)  Sarez (Pamir) Sasykkul (Pamir) Shadau Lake (Pamir) Shorkul (Pamir) Turumtaikul (Pamir) Tuzkul (Pamir) Yashilkul (Pamir) Zorkul (Pamir)  Area and boundaries Area: total:  land:  water:   Area - comparative: slightly smaller than Nepal  Land boundaries: total:  border countries: Afghanistan , China , Kyrgyzstan , Uzbekistan   Coastline:  (landlocked)  Elevation extremes: lowest point: Syr Darya  highest point: Ismoil Somoni Peak   Other peaks include: Lenin Peak ; Peak Korzhenevskaya ; Independence Peak   Resources and land use Natural resources: hydropower, some petroleum, uranium, mercury, brown coal, lead, zinc, antimony, tungsten, silver, gold  Land use (2006 data):Agriculture in Tajikistan, statistical yearbook, State Statistical Committee, Dushanbe, 2007, in Russian arable land: 6% permanent crops: 1% pastures: 21% non-agricultural land: 72% including forests and woodland: 3%  Irrigated land:  2006:   Total renewable water resources: 99.7 cu km (1997)  Natural hazards: earthquakes, floods  References  External links More information about the lakes of Tajikistan via the Tajikistan Gateway On enclaves in Central Asia, incl."
TJ-2012-6#-00000058,1.0,"It is the main hub for Somon Air and is the home base for Tajik Air, which also has its headquarters on the property."
TJ-2017-7#-00000123,2.0,"Red dots indicate wildfires Despite Uzbekistan's rich and varied natural environment, decades of environmental neglect in the Soviet Union have combined with skewed economic policies in the Soviet south to make Uzbekistan one of the gravest of the CIS's many environmental crises. The obstacles are a lack of law enforcement in these areas, inconsistent government economic and environmental planning, corruption, and the overwhelming concentration of power in the hands of a president who shows little tolerance of grassroots activity. But the country's environmental problems are predominantly the result of abuse and mismanagement of natural resources promoted by political and economic priorities. Resources and land uses  Natural resources: natural gas, petroleum, coal, gold, uranium, silver, copper, lead and zinc, tungsten, molybdenum  Land use: arable land: 9.61% permanent crops: 0.8% other: 89.58% (2011)  Irrigated land: 41,980 km² (2005)  Total renewable water resources: 48.87 km2 (2011)  Freshwater withdrawal (domestic/industrial/agricultural): total: 56 km2/yr (7%/3%/90%) per capita: 2,113 m3/yr (2005)  References     bn:উজবেকিস্তান#ভূগোল"
TJ-2012-6#-00000259,1.0,"The rich loess terraces of the oasis are watered by the Tiznaf river and several smaller streams. The total economic output of the town for that year of 2011 was valued at 309,812,200 CNY."
TJ-2017-7#-00000236,1.0,"It is actually believed to be a hunter , painted in rich orange , blue and white , with striking eyes preserved so well they belie their age – 1500 years old."""
TJ-2017-7#-00000209,2.0,"Hashimi is reported as saying: ""When the Afghan head council asked them to provide the money to feed the children instead of fixing the statues, they refused and said, 'No, the money is just for the statues, not for the children'. If money is going to statues while children are dying of malnutrition next door, then that makes it harmful, and we destroy it."""
TJ-2017-7#-00000241,1.0,"Ibn Battuta found the city reconstructed in the early 14th century:  The restored Termez soon came under the rule of Tamerlane's Timurid Empire with the backing of the Tirmidh Sayyids, a local religious aristocracy claiming descent from Muhammad through Sayyid Ali Akbar. This report was issued, however, before the presidency and economic reforms of President Shavkat Mirziyoyev."
TJ-2012-6#-00000349,1.0,"The local population considers gold the most relevant resource for the Province. While the mines offer economic opportunities in the region, the availability of iodized salt considerably reduces the prevalence of health problems related to iodine deficiency."
TJ-2017-7#-00000123,1.0,Relief of Shofirkon district is sharp continental with low poverty.
TJ-2017-7#-00000209,1.0,The site's political and/or religious significance must have enabled it to draw on resources from further afield.
TJ-2017-7#-00000201,1.0,Ownership of the complex was transferred from Tajikistan to Russia in 2004 in return for the writing off of $242 million USD of Tajikistan's US$299 million debt to Russia.
TJ-2012-6#-00000078,2.0,Learning resources The lyceum has three computer labs and library learning resources.
TJ-2017-7#-00000209,1.0,"""Da Eman of Sayghan valley Coal deposits"" Ministry of Mines, Islamic Republic of Afghanistan (26 August 2008)  The majority of economic activity is agriculture: farming in the valleys, mostly wheat, potatoes and barley; and stock raising mostly sheep, donkeys and goats."
TJ-2017-7#-00000008,4.0,"The current economic situation remains fragile, largely owing to corruption, uneven economic reforms, and economic mismanagement."
TJ-2017-7#-00000317,2.0,"The largest rivers of Tajikistan are:  Amu Darya/Panj Bartang Gunt Kofarnihon (Kafirnigan) Kyzylsu Muksu Murghab  Obihingou Oksu Syr Darya Surkhandarya Vakhsh/Surkhob Vanj Yazgulyam Zeravshan  Lakes About 2% of the country's area is covered by lakes:The World Factbook,Economy of Tajikistan   Kayrakum (Qairoqqum) Reservoir (Sughd) Iskanderkul (Fann Mountains) Kulikalon (Kul-i Kalon) (Fann Mountains) Nurek Reservoir (Khatlon) Bulunkul (Pamir) Drumkul (Pamir) Karakul (; eastern Pamir) Rangkul (Pamir)  Sarez (Pamir) Sasykkul (Pamir) Shadau Lake (Pamir) Shorkul (Pamir) Turumtaikul (Pamir) Tuzkul (Pamir) Yashilkul (Pamir) Zorkul (Pamir)  Area and boundaries Area: total:  land:  water:   Area - comparative: slightly smaller than Nepal  Land boundaries: total:  border countries: Afghanistan , China , Kyrgyzstan , Uzbekistan   Coastline:  (landlocked)  Elevation extremes: lowest point: Syr Darya  highest point: Ismoil Somoni Peak   Other peaks include: Lenin Peak ; Peak Korzhenevskaya ; Independence Peak   Resources and land use Natural resources: hydropower, some petroleum, uranium, mercury, brown coal, lead, zinc, antimony, tungsten, silver, gold  Land use (2006 data):Agriculture in Tajikistan, statistical yearbook, State Statistical Committee, Dushanbe, 2007, in Russian arable land: 6% permanent crops: 1% pastures: 21% non-agricultural land: 72% including forests and woodland: 3%  Irrigated land:  2006:   Total renewable water resources: 99.7 cu km (1997)  Natural hazards: earthquakes, floods  References  External links More information about the lakes of Tajikistan via the Tajikistan Gateway On enclaves in Central Asia, incl."
TJ-2012-6#-00000058,1.0,"It is the main hub for Somon Air and is the home base for Tajik Air, which also has its headquarters on the property."
