DHSID_EA,clean_sentences,most_relevant_sentences
TZ-2010-6#-00000039,"['Saint Mary Goreti Secondary School is a Catholic secondary school, located near Moshi town, in the Kilimanjaro Region of Tanzania', '  Female gender form about 97% of the students while the remaining are male population', ' The school is a property of the Catholic Church as are many institutions in the country and run by religious sisters', ' Its core goal is to create a better future for women in African society', '  Academics The school offers both O-level and A-level education', '  See also   Education in Tanzania  List of schools in Tanzania   References   Category:1999 establishments in Tanzania Category:Buildings and structures in the Kilimanjaro Region Category:Educational institutions established in 1999  Category:Catholic secondary schools in Tanzania']",The school is a property of the Catholic Church as are many institutions in the country and run by religious sisters
TZ-2007-5#-00000381,"['Malindi Mosque is a mosque in Stone Town, Zanzibar, Tanzania, located near the port', ' It stems from the 1830s but was possible built on the site of an elder mosque that might have dated back to the 17th century or earlier', 'Mnara Mosque Zanzibar, Tanzania, Web of archnet (information on architecture in Islamic societies, run by Agha Khan Trust), lookup in March 2021 Some travel guides claim an origin in the 15th century', '   The present mosque was built in 1834-1835/1250 AH by Muhammad ben Abdulkadir al-Mansaby from the  Benadir coast in Somalia', ' He was a rich merchant in Zanzibar during the 1820s to the 1840s', ' The building was enlarged twice in 1841 and 1890', 'archnet', 'org   It has some unusual architectural features, including a cone-shaped minaret (one of just three minarets of this shape in East Africa) and a square platform', '  See also  Islam in Tanzania  References  Category:15th-century mosques Category:Mosques in Zanzibar Category:Sunni Islam in Africa Category:Zanzibar City']",He was a rich merchant in Zanzibar during the 1820s to the 1840s
TZ-2017-7Z-00000047,"['The Udzungwa Mountains are a mountain range in south-central Tanzania', "" The mountains are mostly within Iringa Region, south of Tanzania's capital Dodoma"", ' The Udzungwa Mountains are part of the Eastern Arc Mountains, and are home to a biodiverse community of flora and fauna with large numbers of endemic species', '  The mountains are home to the Hehe people, and the name Udzungwa comes from the Kihehe word “Wadzungwa"", which means the people who live on mountainsides', ' Iringa is the largest settlement in the mountains, and the regional headquarters', '  Geography The Undzungwa Mountains cover an area of 16,131', '40 km², the largest of the Eastern Arc ranges', 'N', ' D', ' Burgess et al', ' (2007)', ' ""The biological importance of the Eastern Arc Mountains of Tanzania and Kenya""', ' Biological Conservation 134 (2007) pp', ' 209–231', ' The highest peak in the range is Luhombero at ', 'Lonely Planet, Mary Fitzpatrick, Ray Bartlett, David Else, Anthony Ham, Helena Smith (2018)', ' Lonely Planet Tanzania Travel Guide', ' Lonely Planet, 2018', ' The mountain range extends generally northeast-southwest', ' The Usangu Plain lies to the northwest, drained by the Great Ruaha River and its tributaries', ' The Great Ruaha River separates the Udzungwa Mountains from the Rubeho Mountains and Uvidunda Mountains to the northeast', ' The Kilombero River valley lies to the south and southeast', ' To the southwest the Makambako Gap separates the Udzungwa Mountains from the Kipengere Range', '   Both the Great Ruaha and Kilombero rivers are tributaries of the Rufiji River, which empties into the Indian Ocean', ' The Lukosi River originates in the central part of the range, and empties eastwards into the Great Ruaha', ' The Little Ruaha River and its tributaries drain much of the western portion of the range, emptying northwards into the Great Ruaha', '  Climate The Udzungwa Mountains intercept moisture-laden winds from the Indian Ocean, and receive more rainfall than the surrounding lowlands', ' Most of the rainfall occurs in the November-to-May wet season, although mist and light rain occur at higher elevations during the dry season months', "" Rainfall is higher on the southern and southeastern slopes facing the Indian Ocean, and lower in the mountains' rain shadow to the north and west"", ' Temperatures are cooler at higher elevations', '""Eastern Arc forests""', ' World Wildlife Fund ecoregion profile', ' Accessed 10 September 2019', '   Geology The Udzungwa Mountains, along with the others in the Eastern Arc, are made up of ancient crystalline Precambrian rocks that were uplifted over millions of years along fault lines', ' The most recent period of uplift started 30 million years ago, but the fault system and uplift process may be far older', ' Soils derived from these ancient rocks are not as fertile as the younger volcanic soils of mountains to the north and west', '""Eastern Arc forests""', ' World Wildlife Fund ecoregion profile', ' Accessed 10 September 2019', '   Flora and fauna About thirty million years ago, the area was covered by extensive rainforest', ' During a cooler and drier period some ten million years ago, the lowland forests were converted to savanna, leaving the mountain ranges as ""islands"" where the tropical forests continued to flourish', ' The long-term persistence of a humid climate and the isolation of each mountain range has led to a great deal of endemism, and a very diverse flora and fauna', ' The Udzungwa and other Eastern Arc mountains has extremely high biodiversity with numerous endemic species (more than 25 percent of the vertebrate species)', 'Newmark, W', ' D', ', 2002, Conserving Biodiversity in East African Forests, a Study of the Eastern Arc Mountains', ' Ecological Studies 155', ' Springer-Verlag, Berlin, pp', ' 197 10 percent of them are protected by the Udzungwa Mountains National Park and the Udzungwa Scarp Nature Forest Reserve', '  The Udzungwa Mountains are covered with lowland rainforest, montane rainforest, miombo woodland, grassland, and heathland', ' Forests extend from 300 to 2579 meters elevation, and vary in composition and species type with elevation and rainfall', ' The wetter eastern and southeastern slopes receive more rain from the Indian Ocean and support evergreen forests on the lower slopes; the drier western and northwestern slopes have deciduous miombo forests and woodlands at lower elevations and evergreen forests only at higher elevations', 'N', ' D', ' Burgess et al', ' (2007)', ' ""The biological importance of the Eastern Arc Mountains of Tanzania and Kenya""', ' Biological Conservation 134 (2007) pp', ' 209–231  Broad areas of forest on the central plateau have been cleared for agriculture and pasture', ' An analysis of satellite images taken between 1999 and 2003 found 1353 km² of the mountains were still covered in evergreen forest', 'N', ' D', ' Burgess et al', ' (2007)', ' ""The biological importance of the Eastern Arc Mountains of Tanzania and Kenya""', ' Biological Conservation 134 (2007) pp', "" 209–231  The mountains are home to many mammals, including Abbott's duiker (Cephalophus spadix), Kipunji (Rungwecebus kipunji), and Udzungwa red colobus (Cercocebus galeritus)"", ' Elephants (Loxodonta africana) are found in the forests along the southern escarpment', 'N', ' D', ' Burgess et al', ' (2007)', ' ""The biological importance of the Eastern Arc Mountains of Tanzania and Kenya""', ' Biological Conservation 134 (2007) pp', ' 209–231  The grey-faced sengi (Rhynchocyon udzungwensis) is a species of elephant shrew endemic to the mountains', ' The Udzungwa forest partridge (Xenoperdix udzungwensis) is also endemic, and its closest relatives appear to be the hill partridges of Asia', '   Although the two mountain groups are ecologically distinct, the Eastern Arc Mountains share many species and plant communities with the Southern Highlands which lie to the southwest across the Makambako Gap', ' Both are Afromontane regions, home to characteristic montane species and ecologically distinct from the adjacent lowlands', "" The Southern Highlands' climate is more influenced by Lake Malawi than by the Indian Ocean"", ' Some limited-range montane species, including the Kipunji and Kipengere seedeater (Crithagra melanochrous), inhabit both the Udzungwa Mountains and the Kipengere Range', '  The Kihansi spray toad (Nectophrynoides asperginis), which was found only around a waterfall on the Kihansi River, became extinct in the wild in 2009 when an upstream dam altered its habitat', ' The toads have since been reintroduced after a successful captive breeding program', '  Protected areas and conservation Protected areas include Udzungwa Mountains National Park (2088', '69 km²),""Udzungwa Mountains National Park""', ' Protected Planet', ' Accessed 9 September 2019', '  and Udzungwa Scarp (20,220 ha), Kisinga-Rugaro (14,164 ha) and West Kilombero (c', '55,000 ha outside the national park) forest reserves BirdLife International (2019) Important Bird Areas factsheet: Udzungwa Mountains', ' Downloaded from http://www', 'birdlife', 'org on 10/09/2019', '  thumb|upright|Sanje Falls  It is possible to visit the Udzungwa Mountains National Park and go hiking and trekking', ' The park has no roads passable by vehicle and is accessible only by foot', ' The trekking routes vary, from the short and easy one-hour Sonjo Waterfall hike to the extremely difficult 6 day trek the Lumemo Trail', ' The most popular route is the Sanje Waterfalls trail, taking about four hours to complete', '   The World Wide Fund for Nature is working with local communities to protect the park and provide conservation and management support, monitoring, research and ecotourism initiatives', ' The help of the local communities is encouraged by giving them access to resources such as the collection of firewood, harvesting medicinal plants and gathering grass for thatching', ""  Transport Tanzania's A104 highway runs from northeast to southwest through the central plateau of the mountains, extending northeastwards to Dodoma and southwestwards to Makambako, Mbeya, and the border with Zambia"", ' The A7 highway meets the A104 at Iringa, and extends eastwards through the mountains to Morogoro and Dar es Salaam', ""  The Tazara Railway passes along the southern escarpment of the Udzungwa Mountains, passing through Kidatu (where it meets the Misuku branch of Tanzania's Central Line at a break of gauge), Katulukilla, Mang’ula, Kiberege, Siginali, Ifakara, Idete, Ruipa, Mbinga, Mngeta, Ikule, Chita, Chisano, Mlimba, Lumumwe, Mpanga, Kitete, Kimbwe, Uchindile, Mgololo, Kiyowela, Kitandililo, and Mahongole"", '  References  External links   TANAPA - Udzungwa Mountains National Park   Udzungwa Mountains NP  Hondo Hondo Udzungwa Forest Camp   Category:Eastern Arc forests Category:Eastern Arc Mountains Category:Geography of Iringa Region Category:Mountain ranges of Tanzania']","The help of the local communities is encouraged by giving them access to resources such as the collection of firewood, harvesting medicinal plants and gathering grass for thatching"
TZ-2010-6#-00000055,"['Pangani Falls Dam is a dam in Tanzania, which is part of the Pangani Hydro Systems', ' The dam is located at Koani in the Muheza District of the Tanga Region, about 8\xa0km south of another power station at Hale', ' The Pangani falls power station has two turbines and has an installed capacity of ', '  Overview Construction of the dam began in December 1991 and was commissioned quickly just 3 years later to aid the ailing power shortages in the country', ' The entire project was funded by European Scandinavian nations (Norway, Finland and Sweden), which  jointly decided to finance the Pangani Falls Redevelopment Project in 1989', '  The project cost a total of US$126 Million and was funded by three financiers: NORAD of Norway (42%); FINNIDA of Finland (33%) and SIDA of Sweden (25%)', '  See also  Tanesco  List of power stations in Tanzania  References  External links Tanesco Website  Category:Buildings and structures in the Tanga Region Category:Dams in Tanzania Category:Pangani basin']","The entire project was funded by European Scandinavian nations (Norway, Finland and Sweden), which jointly decided to finance the Pangani Falls Redevelopment Project in 1989"
TZ-2015-7Z-00000142,"['The Dar es Salaam Stock Exchange (DSE) is a stock exchange located on Ohio Street, west of Kivukoni, south east of Dar es Salaam, the commercial capital and largest city in Tanzania', ' It was incorporated in September 1996 and trading started in April 1998', ' It is a member of the African Stock Exchanges Association and the World Federation of Exchanges', ' The exchange is open five days a week, from Monday through Friday', ' The trading days are weekly from Monday to Friday, starting from 10', '00 am to 14', '00 pm', '  The activities of the exchange are monitored and supervised by the Capital Markets and Securities Authority (CMSA)', ' The DSE operates in close association with the Nairobi Securities Exchange in Kenya and the Uganda Securities Exchange in Uganda', ' Plans are underway to integrate the three to form a single East African bourse', '  History  Incorporation The Dar es Salaam Stock Exchange was established by the capital markets and security authority under the Capital Markets and Securities (CMS) Act of 1994 in Dar-es-salaam, Tanzania', ' The stock exchange was incorporated on 19 September 1996', ' The company was incorporated as a private company limited by guarantee and not having a share capital under the Companies Ordinate, therefore the DSE is a non-profit making body', '  The exchange became operational on 15 April 1998 with TOL Gas Limited listing as the first company followed by the Tanzania Breweries Limited (TBL) during the same year', ' The delay was due to the necessary background operational preparations that were inevitable such as training of brokers and formulation of issuance and trading rules', '  Demutualisation On 29 June 2015 the Dar-es-Salaam Stock exchange re-registered to become a public limited company', ' The company changed its name from  the Dar Es Salaam Stock Exchange Limited to Dar Es Salaam Stock Exchange Public Limited Company', ' The company began selling shares on 16 May 2016 and is the third exchange in Africa after Johannesburg Stock Exchange (2006) and Nairobi Securities Exchange (2014) to self list', "" The company offered 30% of the company's stock on the stock exchange represented by 15,000,000 ordinary shares"", '  Corporate affairs  Business trends The Dar-es-salaam stock exchange started its 5-year plan from June 2011', ' The financial year for the DSE used to begins 1 July and ends on 30 June', ' This was modified in 2017 to follow the callendar year', '     2011 2012 2013 2014 2015 2016 2017 2018 2019 Market Capitalization (TZS Billion)5,92612,77314,05818,90223,72121,72823,07619,67717,105 Value of Shares traded (TZS Billion)48', '2544', '4573', '00272', '45879', '22733', '66711208625 Tanzania Share Index (TSI points)1,051', '921,206', '991,840', '113,561', '624,684', '093,706', '153,9193,4313,691Income and Expense Summary Income (TZS Billion)2', '011', '812', '093', '54', '354', '7910', '706', '438', '39 Expenses (TZS Billion)1', '732', '252', '043', '003', '073', '105', '444', '674', '84 Profit/Deficit (TZS Million)n/a186', '35501', '011,942', '852,010', '265,2661,7573,547Securities and Bonds Summary Value of Outstanding Listed Govt', ' Bonds (TZS Billion)1,912', '972,287', '312,991', '773,696', '154,263', '674,896', '858,1089,43610,533 Treasury Bonds Listed (TZS Billion)918433977n/an/an/an/an/an/a Fixed Income Securities Trading (TZS Billion)363248452477n/an/an/an/an/aNotes  Ownership As of December 2019, the company stock was owned by corporate entities and individuals', ' The largest shareholders are listed in the table below', '  + Dar-es-salaam Stock Exchange Stock OwnershipRank Name of OwnerPercentage Ownership1Government of Tanzania 15', '02Briarwood Capital Partners LP  12', '03Mr', ' Aunali F', ' Rajabali and Sajjad F', ' Rajabali 10', '04National Investments Company Limited Tanzania 5', '05General Public 58', '06 TOTAL100', '0  Services DSE Mobile Trading was launched on 20 August 2015 to allow people upcountry where brokers are not present', ' The platform is called ""soko la hisa kiganjani""', ' The platform was designed by Maxcom Africa and is compatible with all Tanzanian cell phone operators', ' The program aims to allow more Tanzanians to participate in the bourse as currently only 400,000 people participate in a country of 50 million', ' At the end of 2015 over 1000 investors used the platform', ' The platform continues to gain popularity and at the end of quarter 1 of 2016 the total number of users using the Mobile trading platform increased to 3000', '  Market listing  there are 27 listed companies, five corporate bonds and eight government bonds', ' The table below summarises the current market listings:   Main Exchange  Symbol Company ISIN Date Listed Notes1', 'TOLTol Gases LimitedTZ199610000815/04/1998Production of Oxygen, Industrial Gases, Welding Equipment2', 'TBLTanzania Breweries LimitedTZ199610001609/09/1998Beer Brewing, Beer Marketing Beer Distribution3', 'TATEPATanzania Tea PackersTZ199610006517/12/1999Tea Packaging & Distribution, Coffee Packaging & Distribution4', 'TCCTanzania Cigarette Company LimitedTZ199610003216/11/2000Cigarettes, Tobacco Products5', 'SIMBA  Tanga Cement Company LimitedTZ199610005726/09/2002Cement6', 'SWISSwissport Tanzania Plc', 'TZ199610004026/09/2003Aviation, Ground Handling, Cargo Handling7', 'TWIGATanzania Portland Cement Company Limited TZ199610002429/09/2006Cement8', 'DCB Dar es Salaam Community BankTZ199610021416/09/2008Banking, Finance9', 'NMB National Microfinance BankTZ199610022206/11/2008Banking, Finance10', 'KAKenya AirwaysKE000000030701/10/2004Aviation11', 'EABLEast African Breweries LimitedKE000000021629/06/2005Beer, Gin, Spirits12', 'JHL Jubilee Holdings LimitedKE000000027320/12/2006Insurance13', ' KCB KCB GroupKE000000031517/12/2008Banking, Finance14', 'CRDB CRDB BankTZ199610030517/06/2009Banking, Finance15', 'NMG Nation Media GroupKE000000038021/02/2011Publishing, Printing, Television, Broadcasting16', 'ACA African Barrick GoldGB00B61D2N6307/12/2011Mining17', 'PALPrecision Air Services LimitedTZ199610104821/12/2011Aviation Services18', 'SWALASwala Gas and OilTZ199610186511/08/2014Oil & Gas19', 'USLUchumi SupermarketsKE000000048915/08/2014Supermarkets20', 'DSEDar es Salaam Stock ExchangeTZ199610243412/07/2016Stock exchange21', 'VODAVodacom TanzaniaTZ199610271515/08/2017Telecommunication Service Provider22', 'TICLTCCIA Investment PLC16/03/2018Mutual fund, Finance23', 'NICONational Investments Company (Limited) Tanzania03/06/2018Mutual fund, Finance  East African Breweries and Kenya Airways are crosslisted at both the Uganda Securities Exchange and the Nairobi Securities Exchange', ' Kenya Commercial Bank Group, Nation Media Group and Uchumi Supermarkets are cross listed on the Nairobi Securities Exchange, the Uganda Securities Exchange and the Rwanda Stock Exchange National Investments Company (Limited) Tanzania was re-listed on 3 June 2018 after it was delisted in 2011', ' The company originally listed on 15 July 2008', '   Enterprise Growth Market (EGM)  Symbol Company ISIN Date Listed Notes1', 'MCBMwalimu Commercial BankTZ199610212927/11/2015Banking2', 'MBPMaendeleo BankTZ199610168304/11/2013Banking, Finance3', 'MKCBMkombozi Commercial BankTZ199610197229/12/2015Banking4', 'YETUYetu Microfinance PLChttp://dailynews', 'co', 'tz/index', 'php/business/47816-yetu-microfinance-formally-goes-public TZ199610234410/03/2016Microfinance5', 'MUCOBMUCOBA Bank PLCTZ199610241910/09/2016Banking6', 'JATUJATU PLCTZ199610380423/11/2020Agriculture  See also Tanzania Mercantile Exchange Economy of Tanzania List of stock exchanges List of African stock exchanges Stock exchanges of small economies  References  External links Dar es Salaam Stock Exchange Homepage African Securities Exchanges Association  Category:Stock exchanges in Africa Category:Companies of Tanzania Category:Economy of Dar es Salaam Category:Financial services companies established in 1996 Category:1996 establishments in Tanzania']",The financial year for the DSE used to begins 1 July and ends on 30 June
TZ-2012-6Z-00000219,"[""thumb|right|300px|Map of Tanzania thumb|300px|Location of Tanzania thumb|300px|Topographic map of Tanzania thumb|336px|Köppen climate classification map of Tanzania  Tanzania comprises many lakes, national parks, and Africa's highest point, Mount Kilimanjaro ()"", ' Northeast Tanzania is mountainous, while the central area is part of a large plateau covered in grasslands', ' The country also contains the southern portion of Lake Victoria on its northern border with Uganda and Kenya', '  Administratively, Tanzania is divided into 30 regions,""Regions of Tanzania"", Statoids, last updated 25 July 2012 with twenty-five on the mainland, three on Unguja (known informally as Zanzibar Island), and two on Pemba Island', '   Physical Geography  Northeast Tanzania exhibits a mountainous terrain and includes Mount Meru, an active volcano, Mount Kilimanjaro, a dormant volcano, and the Usambara and Pare mountain ranges', ' Kilimanjaro attracts thousands of tourists each year', ' West of those mountains is the Gregory Rift, which is the eastern arm of the Great Rift Valley', ' On the floor of the rift are a number of large salt lakes, including Natron in the north, Manyara in the south, and Eyasi in the southwest', ' The rift also encompasses the Crater Highlands, which includes the Ngorongoro Conservation Area and the Ngorongoro Crater', "" Just to the south of Lake Natron is Ol Doinyo Lengai with an elevation of ,Tanzania in figures 2012, National Bureau of Statistics, Ministry of Finance, June 2013, page 9  the world's only active volcano to produce natrocarbonatite lava"", ' To the west of the Crater Highlands lies Serengeti National Park, which is famous for its lions, leopards, elephants, rhinoceroses, and buffalo plus the annual migration of millions of white bearded wildebeest', ' Just to the southeast of the park is Olduvai Gorge, where many of the oldest hominid fossils and artifacts have been found', '  Further northwest is Lake Victoria on the Kenya–Uganda–Tanzania border', ' This is the largest lake in Africa by surface area and is traditionally named as the source of the Nile River', ' Southwest of this, separating Tanzania from the Democratic Republic of the Congo, is Lake Tanganyika', ' This lake is estimated to be the second deepest lake in the world after Lake Baikal in Siberia', ' The western portion of the country between Lakes Victoria, Tanganyika, and Malawi consists of flat land that has been categorised by the World Wildlife Fund as part of the Central Zambezian miombo woodlands ecoregion', ' Just upstream from the Kalambo Falls, there is one of the most important archaeological sites in Africa', "" Tanzania's Southern Highlands are in the southwestern part of the country, around the northern end of Lake Malawi"", ' Mbeya is the largest city in the Southern Highlands', '  The centre of Tanzania is a large plateau, which is part of the East African Plateau', ' The southern half of this plateau is grassland within the Eastern miombo woodlands ecoregion, the majority of which is covered by the huge Selous National Park', ' Further north the plateau is arable land and includes the national capital, Dodoma', ""  The eastern coast contains Tanzania's largest city and former capital, Dar es Salaam"", ' Just north of this city lies the Zanzibar Archipelago, a semi-autonomous territory of Tanzania which is famous for its spices', ' The coast is home to areas of East African mangroves, mangrove swamps that are an important habitat for wildlife on land and in the water', ' A recent global remote sensing analysis suggested that there were 1,256km² of tidal flats in Tanzania, making it the 26th ranked country in terms of tidal flat area', '  Watersheds Eastern and central Tanzania are drained by rivers that empty into the Indian Ocean', ' The major rivers are, from north to south, the Pangani, Wami, Ruvu, Rufiji, Matandu, Mbwemkuru, and the Ruvuma River, which forms the southern border with Mozambique', '  Most of Northern Tanzania drains into Lake Victoria, which empties into the Nile River', '  The western portion of Tanzania is in the watershed of Lake Tanganyika, which drains into the Congo River', ' The Malagarasi River is the largest tributary of Lake Tanganyika', '  Part of southwestern Tanzania drains into Lake Malawi, which empties south into the Zambezi River', '  The Southern Eastern Rift area of north-central Tanzania is made up of several endorheic basins, which have no outlet to the sea and drain into salt and/or alkaline lakes', ' Lake Rukwa in west-central Tanzania, is another endorheic basin', '  Climate Tanzania has a mainly tropical climate but has regional variations due to topography', '""UNDP Climate Change Country Profiles: Tanzania"", C', ' McSweeney (University of Oxford), M', ' New (University of Oxford and Tyndall Centre for Climate Change Research), and G', ' Lizcano (University of Oxford) In the highlands, temperatures range between  during cold and hot seasons respectively and a subtropical highland climate is found', ' The rest of the country has temperatures rarely falling lower than ', ' The hottest period extends between November and February () while the coldest period occurs between May and August ()', '  Seasonal rainfall is driven mainly by the migration of the Intertropical Convergence Zone', ' It migrates southwards through Tanzania in October to December, reaching the south of the country in January and February, and returning northwards in March, April, and May', ' This causes the north and east of Tanzania to experience two distinct wet periods – the short rains (or ""Vuli"") in October to December and the long rains (or ""Masika"") from March to May  – while the southern, western, and central parts of the country experience one wet season that continues October through to April or May', ' Some inland areas of Tanaznia have a hot semi-arid climate', '  Across Tanzania, the onset of the long rains averages 25 March and the cessation averages 21 May', ' A warmer-than-normal South Atlantic Ocean coupled with a cooler-than-normal Eastern Indian Ocean often causes the onset to be delayed', '""The onset and cessation of the \'long rains\' in eastern Africa and their interannual variability"", Theoretical and Applied Climatology, authored by P', ' Camberlin and R', ' E', ' Okoola, vol', ' 75, pages 43-54, 2003   Climate change   Statistics thumb|right|300px|Road map of Tanzania Location: Eastern Africa, bordering the Indian Ocean, between Kenya and Mozambique', '  Geographic coordinates:   Continent: Africa  Area:The World Factbook - Tanzania, U', 'S', ' Central Intelligence Agency, updated 29 April 2013 note: includes the islands of Mafia, Pemba, and Unguja total:  land:   water:   Land boundaries: total:  border countries: Burundi , Kenya , Malawi , Mozambique , Rwanda , Uganda , Zambia , Democratic Republic of the Congo   Coastline:   Maritime claims: exclusive economic zone:  and  territorial sea:   Terrain: plains along coast; central plateau; highlands in north, south  Elevation extremes: lowest point:  Indian Ocean 0 m highest point: Mount Kilimanjaro   Natural resources: hydropower, tin, phosphates, iron ore, coal, diamonds, gemstones, gold, natural gas, nickel  Land use: arable land:           12', '25% permanent crops:       1', '79% other:                 85', ""96% (2011)  Irrigated land:  (2003)  Total renewable water resources:  (2011)  Natural hazards:  flooding on the central plateau during the rainy season; drought volcanism: limited volcano activity; Ol Doinyo Lengai (elevation ) has emitted lava in recent years; other historically active volcanoes include Kieyo and Meru  Environment - current issues: soil degradation; deforestation; desertification; destruction of coral reef threatens marine habitats; recent droughts affected marginal agriculture; wildlife threatened by illegal hunting and trade, especially for ivory  'Environment - international agreements:party to:'' Biodiversity United Nations Framework Convention on Climate Change Kyoto Protocol to the United Nations Framework Convention on Climate Change United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa Convention on International Trade in Endangered Species of Wild Fauna and Flora Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and Their Disposal United Nations Convention on the Law of the Sea Vienna Convention for the Protection of the Ozone Layer Convention on Wetlands of International Importance, especially as Waterfowl Habitat  Specific geographic regions Menai Bay Conservation Area Mount Kilimanjaro Mount Meru Olduvai Gorge Umba Valley   Extreme points   This is a list of the extreme points of Tanzania, the points that are farther north, south, east or west than any other location"", '   Northernmost point - unnamed point on the border with Uganda in the Kagera river immediately east of the Ugandan town of Kikagati, Kagera Region  Easternmost point - Mnazi, Mtwara Region  Easternmost point (mainland) - unnamed headland immediately east of the town of Mwambo, Mtwara Region  Southernmost point - unnamed location on the border with Mozambique in the Ruvuma River, Ruvuma Region  Westernmost point - unnamed headland immediately west of Ujiji, Kigoma Region  References   ']","Central Intelligence Agency, updated 29 April 2013 note: includes the islands of Mafia, Pemba, and Unguja total: land: water: Land boundaries: total: border countries: Burundi , Kenya , Malawi , Mozambique , Rwanda , Uganda , Zambia , Democratic Republic of the Congo Coastline: Maritime claims: exclusive economic zone: and territorial sea: Terrain: plains along coast; central plateau; highlands in north, south Elevation extremes: lowest point: Indian Ocean 0 m highest point: Mount Kilimanjaro Natural resources: hydropower, tin, phosphates, iron ore, coal, diamonds, gemstones, gold, natural gas, nickel Land use: arable land: 12"
