DHSID_EA,relevance_score,most_relevant_sentences
ZM-2013-6#-00000625,2.0,"The seasonal flooding is very important to agriculture in the province, providing natural irrigation for the grasslands on which huge herds of cattle depend, and bringing water to the settlements along the edges of the plain."
ZM-2007-5#-00000216,2.0,"A  canal on the western bank of River Zambezi will divert the fast-running water to the power station, where the water will turn turbines to generate electricity."
ZM-2018-7#-00000436,1.0,"+ Bangweulu Power Company Limited Ownership Rank  Shareholder  Domicile  Notes 1  Neoen  France  2  First Solar  United States  3  IDC Zambia Zambia   Funding, construction and timeline This renewable energy infrastructure development project received a grant of US$2 million, from the United States Agency for International Development (USAID). See also  List of power stations in Zambia Ngonye Solar Power Station  References  External links  Scaling Solar: The Complete Package  Category:Power stations in Zambia Category:Kafue District Category:Lusaka Province Category:Solar power stations in Zambia Category:2019 establishments in Zambia Category:Energy infrastructure completed in 2019"
ZM-2018-7#-00000436,1.0,"+ Bangweulu Power Company Limited Ownership Rank  Shareholder  Domicile Ownership (%) Notes 1  Enel Green Power  Italy 80.0  3  IDC Zambia Zambia 20.0   Funding, construction and timeline The table below illustrates the sources of funding for this renewable energy infrastructure project:  + Sources of Funding For Ngonye Solar Power StationRank Fund Source Dollar Amount % of Total Notes 1Enel 4.8 million 12.0  Equity2IDC Zambia 1.2 million  3.0 Equity3 International Finance Corporation  10.0 million 25.0  Loan3IFC–Canada Climate Change Program  12.0 million  30.0 Loan4European Investment Bank 12.0 million* 30.0 Loan Total40.0 million100.0   Note: Some figures are rounded up to balance table totals. See also  List of power stations in Zambia Bangweulu Solar Power Station  References  External links  Scaling Solar: The Complete Package  Category:Power stations in Zambia Category:Kafue District Category:Lusaka Province Category:Solar power stations in Zambia Category:2019 establishments in Zambia Category:Energy infrastructure completed in 2019"
ZM-2013-6#-00000265,1.0,"Lake Mweru (also spelled Mwelu, Mwero) is a freshwater lake on the longest arm of Africa's second-longest river, the Congo. It is the second-largest lake in the Congo's drainage basin and is located  west of the southern end of the largest, Lake Tanganyika. This is partly because the Luapula drains out of the Bangweulu Swamps and floodplain which tend to regulate the water flow, absorbing the annual flood and releasing it slowly, and partly because Mweru's outlet, the Luvua, drops quickly and flows swiftly, without vegetation to block it. It is mostly endorheic and actually takes water from the Kalungwishi through a dambo most of the time, but in times of high flood it may overflow into the Kalungwishi and Lake Mweru.See the Lake Mweru Wantipa article for references. After 1900, the Belgian Congo province of Katanga on the western shores of the lake developed faster than the Northern Rhodesian side, the Luapula Province and the town of Kasenga a few hours by boat up the Luapula River became the most developed in the Luapula-Mweru valley, and until the 1960s was the main commercial centre with better services and infrastructure than elsewhere. Since 1960, political crises, government neglect and wars on the Congolese side have produced a deterioration in infrastructure, while peace on the Zambian side has produced an increase in population and services, causing the balance to change. See also Rift Valley lakes Luapula River Luvua River Kalungwishi River Kazembe Katanga Province Msiri Lake Mweru Wantipa Luapula Province border dispute Luapula Province  References  General references  For area, depth and volume data: AR Bos, CK Kapasa and PAM van Zwieten: ""Update on the bathymetry of Lake Mweru (Zambia), with notes on water level fluctuations""."
ZM-2018-7#-00000273,1.0,"left|thumb|240px|Luangwa River, 10 km south of Luangwa Bridge In addition to being a source of water, the oxbow lakes and pools increase the biodiversity of the valley in other ways. The water of the lake overflowed in a river to the south-west, towards what is now the Kalahari, where it combined with the Okavango, Upper Zambezi, Cuando and Kafue rivers, emptying into the Limpopo River and flowing to the Indian Ocean."
ZM-2018-7#-00000334,1.0,"The Luapula is part of the longest tributary of the Congo, and hence, by convention, is part of its source, even though the upper Lualaba carries more water."
ZM-2013-6#-00000352,1.0,It is described as a simple two-bed roomed residential house with a small living room and a kitchen.
ZM-2018-7#-00000436,1.0,They all get hand sanitiser and get the temperature checked.
ZM-2013-6#-00000352,1.0,It is described as a simple two-bed roomed residential house with a small living room and a kitchen.
ZM-2018-7#-00000436,1.0,They all get hand sanitiser and get the temperature checked.
ZM-2013-6#-00000625,2.0,"The seasonal flooding is very important to agriculture in the province, providing natural irrigation for the grasslands on which huge herds of cattle depend, and bringing water to the settlements along the edges of the plain."
ZM-2007-5#-00000216,2.0,"A  canal on the western bank of River Zambezi will divert the fast-running water to the power station, where the water will turn turbines to generate electricity."
ZM-2013-6#-00000625,2.0,"The seasonal flooding is very important to agriculture in the province, providing natural irrigation for the grasslands on which huge herds of cattle depend, and bringing water to the settlements along the edges of the plain."
ZM-2007-5#-00000216,2.0,"A  canal on the western bank of River Zambezi will divert the fast-running water to the power station, where the water will turn turbines to generate electricity."
ZM-2018-7#-00000436,1.0,"+ Bangweulu Power Company Limited Ownership Rank  Shareholder  Domicile  Notes 1  Neoen  France  2  First Solar  United States  3  IDC Zambia Zambia   Funding, construction and timeline This renewable energy infrastructure development project received a grant of US$2 million, from the United States Agency for International Development (USAID). See also  List of power stations in Zambia Ngonye Solar Power Station  References  External links  Scaling Solar: The Complete Package  Category:Power stations in Zambia Category:Kafue District Category:Lusaka Province Category:Solar power stations in Zambia Category:2019 establishments in Zambia Category:Energy infrastructure completed in 2019"
ZM-2018-7#-00000436,1.0,"+ Bangweulu Power Company Limited Ownership Rank  Shareholder  Domicile Ownership (%) Notes 1  Enel Green Power  Italy 80.0  3  IDC Zambia Zambia 20.0   Funding, construction and timeline The table below illustrates the sources of funding for this renewable energy infrastructure project:  + Sources of Funding For Ngonye Solar Power StationRank Fund Source Dollar Amount % of Total Notes 1Enel 4.8 million 12.0  Equity2IDC Zambia 1.2 million  3.0 Equity3 International Finance Corporation  10.0 million 25.0  Loan3IFC–Canada Climate Change Program  12.0 million  30.0 Loan4European Investment Bank 12.0 million* 30.0 Loan Total40.0 million100.0   Note: Some figures are rounded up to balance table totals. See also  List of power stations in Zambia Bangweulu Solar Power Station  References  External links  Scaling Solar: The Complete Package  Category:Power stations in Zambia Category:Kafue District Category:Lusaka Province Category:Solar power stations in Zambia Category:2019 establishments in Zambia Category:Energy infrastructure completed in 2019"
ZM-2013-6#-00000265,1.0,"Lake Mweru (also spelled Mwelu, Mwero) is a freshwater lake on the longest arm of Africa's second-longest river, the Congo. It is the second-largest lake in the Congo's drainage basin and is located  west of the southern end of the largest, Lake Tanganyika. This is partly because the Luapula drains out of the Bangweulu Swamps and floodplain which tend to regulate the water flow, absorbing the annual flood and releasing it slowly, and partly because Mweru's outlet, the Luvua, drops quickly and flows swiftly, without vegetation to block it. It is mostly endorheic and actually takes water from the Kalungwishi through a dambo most of the time, but in times of high flood it may overflow into the Kalungwishi and Lake Mweru.See the Lake Mweru Wantipa article for references. After 1900, the Belgian Congo province of Katanga on the western shores of the lake developed faster than the Northern Rhodesian side, the Luapula Province and the town of Kasenga a few hours by boat up the Luapula River became the most developed in the Luapula-Mweru valley, and until the 1960s was the main commercial centre with better services and infrastructure than elsewhere. Since 1960, political crises, government neglect and wars on the Congolese side have produced a deterioration in infrastructure, while peace on the Zambian side has produced an increase in population and services, causing the balance to change. See also Rift Valley lakes Luapula River Luvua River Kalungwishi River Kazembe Katanga Province Msiri Lake Mweru Wantipa Luapula Province border dispute Luapula Province  References  General references  For area, depth and volume data: AR Bos, CK Kapasa and PAM van Zwieten: ""Update on the bathymetry of Lake Mweru (Zambia), with notes on water level fluctuations""."
ZM-2018-7#-00000273,1.0,"left|thumb|240px|Luangwa River, 10 km south of Luangwa Bridge In addition to being a source of water, the oxbow lakes and pools increase the biodiversity of the valley in other ways. The water of the lake overflowed in a river to the south-west, towards what is now the Kalahari, where it combined with the Okavango, Upper Zambezi, Cuando and Kafue rivers, emptying into the Limpopo River and flowing to the Indian Ocean."
ZM-2007-5#-00000216,2.0,"A  canal on the western bank of River Zambezi will divert the fast-running water to the power station, where the water will turn turbines to generate electricity."
