DHSID_EA,relevance_score,most_relevant_sentences
ZW-2005-5#-00000758,1.0,"The mountains are mostly sparsely populated, covered in rich grasslands, shrublands, woodlands and forests. Some valleys and east-facing slopes contain areas of tropical rainforest, with a high canopy, lianas, and a rich undergrowth. The highlands are also rich in birdlifeIan Sinclair, Birds of Southern Africa, Struik Publishers 1996 including trumpeter hornbill (Bycanistes bucinator), Knysna turaco (Tauraco corythaix), purple-crested turaco (Tauraco porphyreolophus), crested guineafowl (Guttera pucherani) and crowned eagle (Stephanoaetus coronatus)."
ZW-2010-6#-00000343,1.0,"Water resources The water supply for the Honde Valley comprises small piped systems and motorised pumps serving small towns, growth points, commercial plantations, service centres and some villages, as well as direct abstractions from the rivers by riparian village communities not connected to developed installations. However, it is also home to many small scale and subsistence farmers.Green Harvest: The Outgrower Tea Leaf Collection System in the Honde Valley, Zimbabwe J P Mtisi There are several non-motorized irrigation schemes in Honde valley.Working Paper No."
ZW-2015-7#-00000386,1.0,"This is due to the Bushveld igneous complex, an extremely rich saucer-shaped geological formation that stretches over more than 50,000 square kilometers."
ZW-2010-6#-00000363,2.0,"Victoria Falls Bridge initiates tourism European settlement of the Victoria Falls area started around 1900 in response to the desire of Cecil Rhodes' British South Africa Company for mineral rights and imperial rule north of the Zambezi, and the exploitation of other natural resources such as timber forests north-east of the falls, and ivory and animal skins."
ZW-2015-7#-00000164,1.0,"The Town Clerk in 2016 was Dr George Makunde, who complained that a reduction in his wage from $10,000 per month to $4,500 per month had put him in difficulties."
ZW-2015-7#-00000321,2.0,"The majority of the Federation's military and financial assets went to Southern Rhodesia, since the British Government did not wish to see them fall into the hands of the nationalist leaders, and since Southern Rhodesia had borne the major expenses of running the Federation."
ZW-2010-6#-00000338,1.0,A number of African chiefs who held him in very high regard came to pay their respects before his death.
ZW-2010-6#-00000324,1.0,"In exchange for wealth and arms, Lobengula granted several concessions to the British, but it was not until twenty years later that the most prominent of these, the 1888 Rudd Concession gave Cecil Rhodes exclusive mineral rights in much of the lands east of Lobengula's main territory. Baden-Powell recognised that wars in Africa were changing markedly and the British Army needed to adapt; so during their joint scouting missions, Baden-Powell and Burnham discussed the concept of a broad training programme in woodcraft for young men, rich in exploration, tracking, fieldcraft, and self-reliance. Sovereign Rhodesia  The ruling white Rhodesian government did not gain international recognition and faced serious economic problems as a result of sanctions. The former state of Matabeleland and Mashonaland now exist as provinces of Zimbabwe, but the former, after suffering a genocide after independence at the hands of the latter,  Zimbabwe  Following independence in 1980, Zimbabwe initially made significant economic and social progress,   Gukurahundi Genocide 1983-87  Gukurahundi was a series of massacres of Northern Ndebele people (formerly known as Matabele) carried out by the Zimbabwe National Army from early 1983 to late 1987. Matabeleland has rich central plains, watered by tributaries of the Zambezi and Limpopo rivers, allowing it to sustain cattle and consistently produce large amounts of cotton and maize. But land grabbing, squatting, and repossessions of large commercial farms under Mugabe's program resulted in a 90% loss in productivity in large-scale farming, ever higher unemployment, and hyperinflation."
ZW-2005-5#-00000394,1.0,"Interference Critics alleged that the government endorsed the project due to the ruling party, the African National Congress holding a 25% share of a package and stood to make a profit of close to 1 billion Rand."
ZW-2005-5#-00001194,1.0,From 1932 to 1934 plans were discussed and finance arranged to replace the old buildings with the present large dormitory block.
ZW-2005-5#-00001014,2.0,"Young people from these and other surrounding villages have found employment at the mine, easing the unemployment rate in the area, by a small but meaningful percentage."
ZW-2015-7#-00000386,1.0,"Malboch refused to pay taxes to the Transvaal after it was given back to the Boers in 1881 by the British, which resulted in a military drive against him by the South African Republic (ZAR)."
ZW-2005-5#-00000394,1.0,"Interference Critics alleged that the government endorsed the project due to the ruling party, the African National Congress holding a 25% share of a package and stood to make a profit of close to 1 billion Rand."
ZW-2005-5#-00001194,1.0,From 1932 to 1934 plans were discussed and finance arranged to replace the old buildings with the present large dormitory block.
ZW-2005-5#-00001014,2.0,"Young people from these and other surrounding villages have found employment at the mine, easing the unemployment rate in the area, by a small but meaningful percentage."
ZW-2015-7#-00000386,1.0,"Malboch refused to pay taxes to the Transvaal after it was given back to the Boers in 1881 by the British, which resulted in a military drive against him by the South African Republic (ZAR)."
ZW-2015-7#-00000037,1.0,"The Church Council which superseded the old Mission Council guaranteed 5000 pounds for the new buildings and this money was eventually received from SIDA. The money was used to build a laboratory, a large library, a dining hall, assembly hall and several staff houses."
ZW-2005-5#-00000394,1.0,"Interference Critics alleged that the government endorsed the project due to the ruling party, the African National Congress holding a 25% share of a package and stood to make a profit of close to 1 billion Rand."
ZW-2005-5#-00001194,1.0,From 1932 to 1934 plans were discussed and finance arranged to replace the old buildings with the present large dormitory block.
ZW-2005-5#-00000758,1.0,"The mountains are mostly sparsely populated, covered in rich grasslands, shrublands, woodlands and forests. Some valleys and east-facing slopes contain areas of tropical rainforest, with a high canopy, lianas, and a rich undergrowth. The highlands are also rich in birdlifeIan Sinclair, Birds of Southern Africa, Struik Publishers 1996 including trumpeter hornbill (Bycanistes bucinator), Knysna turaco (Tauraco corythaix), purple-crested turaco (Tauraco porphyreolophus), crested guineafowl (Guttera pucherani) and crowned eagle (Stephanoaetus coronatus)."
ZW-2010-6#-00000343,1.0,"Water resources The water supply for the Honde Valley comprises small piped systems and motorised pumps serving small towns, growth points, commercial plantations, service centres and some villages, as well as direct abstractions from the rivers by riparian village communities not connected to developed installations. However, it is also home to many small scale and subsistence farmers.Green Harvest: The Outgrower Tea Leaf Collection System in the Honde Valley, Zimbabwe J P Mtisi There are several non-motorized irrigation schemes in Honde valley.Working Paper No."
ZW-2015-7#-00000386,1.0,"This is due to the Bushveld igneous complex, an extremely rich saucer-shaped geological formation that stretches over more than 50,000 square kilometers."
ZW-2010-6#-00000363,2.0,"Victoria Falls Bridge initiates tourism European settlement of the Victoria Falls area started around 1900 in response to the desire of Cecil Rhodes' British South Africa Company for mineral rights and imperial rule north of the Zambezi, and the exploitation of other natural resources such as timber forests north-east of the falls, and ivory and animal skins."
ZW-2005-5#-00000758,1.0,"The mountains are mostly sparsely populated, covered in rich grasslands, shrublands, woodlands and forests. Some valleys and east-facing slopes contain areas of tropical rainforest, with a high canopy, lianas, and a rich undergrowth. The highlands are also rich in birdlifeIan Sinclair, Birds of Southern Africa, Struik Publishers 1996 including trumpeter hornbill (Bycanistes bucinator), Knysna turaco (Tauraco corythaix), purple-crested turaco (Tauraco porphyreolophus), crested guineafowl (Guttera pucherani) and crowned eagle (Stephanoaetus coronatus)."
ZW-2010-6#-00000343,1.0,"Water resources The water supply for the Honde Valley comprises small piped systems and motorised pumps serving small towns, growth points, commercial plantations, service centres and some villages, as well as direct abstractions from the rivers by riparian village communities not connected to developed installations. However, it is also home to many small scale and subsistence farmers.Green Harvest: The Outgrower Tea Leaf Collection System in the Honde Valley, Zimbabwe J P Mtisi There are several non-motorized irrigation schemes in Honde valley.Working Paper No."
ZW-2015-7#-00000386,1.0,"This is due to the Bushveld igneous complex, an extremely rich saucer-shaped geological formation that stretches over more than 50,000 square kilometers."
ZW-2010-6#-00000363,2.0,"Victoria Falls Bridge initiates tourism European settlement of the Victoria Falls area started around 1900 in response to the desire of Cecil Rhodes' British South Africa Company for mineral rights and imperial rule north of the Zambezi, and the exploitation of other natural resources such as timber forests north-east of the falls, and ivory and animal skins."
ZW-2015-7#-00000164,1.0,"The Town Clerk in 2016 was Dr George Makunde, who complained that a reduction in his wage from $10,000 per month to $4,500 per month had put him in difficulties."
ZW-2015-7#-00000321,2.0,"The majority of the Federation's military and financial assets went to Southern Rhodesia, since the British Government did not wish to see them fall into the hands of the nationalist leaders, and since Southern Rhodesia had borne the major expenses of running the Federation."
ZW-2010-6#-00000338,1.0,A number of African chiefs who held him in very high regard came to pay their respects before his death.
ZW-2015-7#-00000106,1.0,"History  In 1909, Agnes and Atherton Lilford opened Lilfordia School and a lodging establishment for people living in Salisbury (now Harare) on their farm in order to supplement their income as the Lilfords were struggling financially."
ZW-2010-6#-00000321,1.0,"However, school fees are pegged differently for both groups, with the latter paying close to double of the former considering their parents contributed towards the construction of the school through deductions from salaries. This was mainly because construction was still on-going and the resources were not yet adequate to cater for a full batch of students."
ZW-2005-5#-00000861,1.0,"Architects were invited to design an ambitious property intended for entertainment on a grand scale. In accordance with her husband's wishes, she left the property to the Rhodesian National Trust, requesting that La Rochelle be used as “a venue for conferences either of a public, national, international or educational character”. Recent developments After periods of disuse and shortages of funding the property was restored and gardens rejuvenated in 2014-15."
ZW-2015-7#-00000201,1.0,The programme was relocated to Zimbabwe in 1995 for economic reasons.
ZW-2010-6#-00000123,1.0,"Due to economic and other hardships, the school enrolment dropped to below 600."
ZW-2005-5#-00000733,2.0,The government grant was used to pay salaries for seventeen teachers stationed at Bernard Mizeki College.
ZW-2005-5#-00000394,1.0,"Interference Critics alleged that the government endorsed the project due to the ruling party, the African National Congress holding a 25% share of a package and stood to make a profit of close to 1 billion Rand."
ZW-2005-5#-00001194,1.0,From 1932 to 1934 plans were discussed and finance arranged to replace the old buildings with the present large dormitory block.
ZW-2010-6#-00000130,3.0,"Energy    Finance   An array of financial institutions populates the country's financial system, with pension funds and commercial banks being the two most important segments by asset size. The government is involved in banking through state-owned financial institutions and a special financial incentives program that is aimed at increasing Botswana's status as a financial centre."
ZW-2015-7#-00000321,3.0,"In late January 2013, the Zimbabwean finance ministry reported that they had only $217 in their treasury and would apply for donations to finance the coming elections that is estimated to cost US$107 million.Kitsepile, Nyathi (30 January 2013) Zimbabwe has only $217 in the bank, says finance minister: News, Africareview.com; retrieved 4 July 2013."
ZW-2005-5#-00000681,2.0,"Elevation extremes: lowest point: junction of the Runde and Save rivers 162 m  highest point: Mount Nyangani 2,592 m  Natural resources: coal, chromium ore, asbestos, gold, nickel, copper, iron ore, vanadium, lithium, tin, diamond, platinum group metals  Land use: arable land: 10.49% permanent crops: 0.31% other: 89.20% (2011)  Irrigated land: 1,735 km² (2003)  Total renewable water resources: 20 km3 (2011)  Natural hazards: droughts; floods and severe storms are rare  Environment – current issues: deforestation; soil erosion; land degradation; air and water pollution; the black rhinoceros herd – once the largest concentration of the species in the world – has been significantly reduced by poaching; poor mining practices have led to toxic waste and heavy metal pollution  Environment – international agreements: party to: Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection signed, but not ratified: none of the selected agreements  Hydrology: The country is divided into six drainage basins."
