DHSID_EA,relevance_score,most_relevant_sentences
ZW-2005-5#-00000758,1.0,"South of Burma Valley, the Tsetsera, Gweni, and Tandara plateaus lie along the border, separated by east-west river valleys lying in fault rifts.Lister, L.A. (1987). Threats and preservation The mountain forests are vulnerable to logging and the grasslands susceptible to fire and the rainforests, which by definition grow on well-watered fertile land, to clearance for agriculture. External links    Eastern Zimbabwe Highlands (freshwater ecoregion)   See also    Nyanga National Park  Mutarazi Falls  References    Category:Afromontane ecoregions Category:Afrotropical ecoregions Category:Eastern Zimbabwe montane forest-grassland mosaic Category:Ecoregions of Mozambique Category:Ecoregions of Zimbabwe Category:Great Rift Valley Category:Highlands Category:Montane grasslands and shrublands Category:Mountains of Zimbabwe Category:Mountain ranges of Mozambique Category:Physiographic divisions Category:Freshwater ecoregions of Africa"
ZW-2010-6#-00000343,1.0,"Water resources The water supply for the Honde Valley comprises small piped systems and motorised pumps serving small towns, growth points, commercial plantations, service centres and some villages, as well as direct abstractions from the rivers by riparian village communities not connected to developed installations. There are a total of about seven small to medium-sized metered piped water systems at Hauna, Sachisuko, Honde Army, Zindi, Samanga, Mpotedzi and Sahumani. In addition there are other smaller un-metered water supply schemes that serve a number of villages and schools. The known smaller un-metered water supply schemes are Honde “Povo” Pipe Scheme, Chingaira Piped Scheme, St Columbus Secondary School, Sagambe Primary and Secondary School, Marige Water Project, Mahobo Piped Scheme and Mupenga Gravity Water Scheme. Pungwe River – fishing and white water rafting  Nyanga National ParkNyanga National Park."
ZW-2010-6#-00000363,2.0,"The river's course is dotted with numerous tree-covered islands, which increase in number where the river approaches the falls. thumb|Victoria Falls Bridge aerial view  The falls are formed where the full width of the river plummets in a single vertical drop into a transverse chasm  wide, carved by its waters along a fracture zone in the basalt plateau. This website gives mean monthly flow rates in cubic metres per second (i.e., the total volume of water passing in each calendar month divided by the number of seconds in the month), the standard measure used in hydrology to indicate seasonal variation in flow. Its surface is smooth at low water, but at high water is marked by enormous, slow swirls and heavy boiling turbulence. thumb|upright|Victoria Falls from the Zimbabwe side The principal gorges are  First Gorge: the one the river falls into at Victoria Falls  Second Gorge:  south of falls,  long, spanned by the Victoria Falls Bridge  Third Gorge:  south,  long, containing the Victoria Falls Power Station  Fourth Gorge:  south,  long  Fifth Gorge:  south,  long  Songwe Gorge:  south,  long named after the small Songwe River coming from the north-east, and the deepest at , the level of the river in them varies by up to  between wet and dry seasons. A 15–45 m scarp bounds the river about 5–6 km from the main channel, and a series of river terraces are evident between the scarp and the channel. When the river flow is at a certain level, usually between September and December, a rock barrier forms an eddy with minimal current, allowing adventurous swimmers to splash around in relative safety in front of the point where the water cascades over the falls. Extensive studies by Dube and Nhamo (2018 and 2019) shows that there is severe water flow variability from year to year with a significant drop in the general trend of water flow in September, October, November and December. : 6,000  211,888   Highest recorded flow: 12,800  452,0006,800 240,000 45,700  1,614,000Notes: See references for explanation of measurements.For water, cubic metres per second = tonnes per second.Half the water approaching Niagara is diverted for hydroelectric power.Iguazu has two drops; height given for biggest drop and total height.10 falls have greater or equal flow rates, but are not as high as Iguazu and Victoria Falls."
ZW-2015-7#-00000321,1.0,"The whites in the territory south of the river paid it scant regard though, and generally used the name ""Rhodesia"" in a narrow sense to mean their part."
ZW-2010-6#-00000324,2.0,"Promises by the government to draw water for the region through the Matabeleland Zambezi Water Project have not been carried out, continuing water shortages."
ZW-2005-5#-00000394,2.0,"Related projects Bulk water In order to meet the growing demand for power generation and mining activities in the Lephalale area, two main bulk raw water transfer systems were also required."
ZW-2015-7#-00000036,1.0,"As a result, the British government pushed through the Manika Treaty on June 11, 1891, that ensured ownership of Manica by the British South Africa Company; until then, the Portuguese colonial area had extended to the Mazoetal river, almost to Harare, Shamv and Mount Darwin."
ZW-2005-5#-00001014,1.0,"May Jel Mining Company era  May Jel Mine operating at Commoner has since drilled boreholes outside its yard and villagers in Maisa, Mahogo and Nzama villages fetch clean water from these water-points."
ZW-1999-4#-00000223,3.0,By late February the dam had not been fully breached but the unplanned rising reservoir behind the dam caused evacuations upstream.
ZW-2015-7#-00000170,3.0,The dam to supply the reservoir with water will be a  tall arch-gravity type.
