DHSID_EA,asset_index,sanitation_index,water_index,women_edu
AL-2017-7#-00000452,,,,8.56
AL-2008-5#-00000426,1.0121279220914938,4.2,2.25,9.5625
AL-2017-7#-00000548,,,,10.80952380952381
AL-2008-5#-00000279,2.608944229159877,4.578947368421052,4.105263157894737,8.8
AL-2017-7#-00000378,,,,8.935483870967742
AL-2017-7#-00000459,,,,11.636363636363637
AL-2008-5#-00000035,2.5272756039003084,4.45,4.9,10.23076923076923
AL-2017-7#-00000349,,,,14.681818181818182
AL-2017-7#-00000443,,,,10.48148148148148
AL-2017-7#-00000573,,,,12.733333333333333
AL-2017-7#-00000435,,,,9.5625
AL-2017-7#-00000445,,,,8.181818181818182
AL-2017-7#-00000657,,,,11.2
AL-2017-7#-00000460,,,,10.652173913043478
AL-2017-7#-00000622,,,,17.58823529411765
AL-2017-7#-00000352,,,,13.636363636363637
AL-2008-5#-00000081,3.2888846616265446,5.0,5.0,12.058823529411764
AL-2017-7#-00000479,,,,11.8
AL-2017-7#-00000625,,,,17.25
AL-2008-5#-00000395,3.1996285082572764,5.0,4.6923076923076925,11.2
AL-2017-7#-00000708,,,,10.538461538461538
AL-2017-7#-00000143,,,,13.6
AL-2017-7#-00000566,,,,9.428571428571429
AL-2017-7#-00000377,,,,10.666666666666666
AL-2017-7#-00000432,,,,9.91891891891892
AL-2017-7#-00000102,,,,9.6875
AL-2017-7#-00000698,,,,13.352941176470589
AL-2017-7#-00000694,,,,13.272727272727272
AL-2017-7#-00000370,,,,11.838709677419354
AL-2008-5#-00000338,2.623359641075272,4.705882352941177,4.647058823529412,9.045454545454543
AL-2017-7#-00000595,,,,8.157894736842104
AL-2017-7#-00000709,,,,12.157894736842104
AL-2017-7#-00000538,,,,15.88888888888889
AL-2017-7#-00000499,,,,11.45
AL-2017-7#-00000064,,,,13.652173913043478
AL-2017-7#-00000120,,,,16.2
AL-2017-7#-00000714,,,,13.318181818181818
AL-2008-5#-00000326,3.356206389441839,5.0,5.0,11.142857142857142
AL-2008-5#-00000132,2.51069504151041,4.0,4.666666666666667,
AL-2017-7#-00000227,,,,11.89655172413793
AL-2008-5#-00000175,3.109195627924902,5.0,5.0,11.9
AL-2017-7#-00000663,,,,15.333333333333334
AL-2017-7#-00000691,,,,14.764705882352942
AL-2017-7#-00000396,,,,9.03125
AL-2008-5#-00000310,3.34702001592397,5.0,5.0,12.066666666666666
AL-2017-7#-00000148,,,,11.5
AL-2017-7#-00000409,,,,12.193548387096774
AL-2008-5#-00000010,2.9457054202835167,5.0,5.0,10.642857142857142
AL-2017-7#-00000131,,,,15.642857142857142
AL-2017-7#-00000572,,,,10.258064516129032
AL-2017-7#-00000018,,,,14.65
AL-2017-7#-00000703,,,,11.074074074074074
AL-2008-5#-00000296,3.15781763208256,4.8125,5.0,11.0
AL-2017-7#-00000380,,,,12.38095238095238
AL-2008-5#-00000172,1.8749400640904408,4.181818181818182,3.909090909090909,7.555555555555555
AL-2017-7#-00000440,,,,11.233333333333333
AL-2017-7#-00000500,,,,12.357142857142858
AL-2017-7#-00000564,,,,9.708333333333334
AL-2008-5#-00000164,3.099200260294957,5.0,4.578947368421052,10.0
AL-2008-5#-00000323,3.187858118577303,4.9,5.0,10.35
AL-2008-5#-00000313,2.449497271016999,4.5,3.75,8.8
AL-2017-7#-00000547,,,,12.08695652173913
AL-2008-5#-00000280,2.580024949768029,4.421052631578948,5.0,8.26923076923077
AL-2008-5#-00000143,3.151142317392995,5.0,5.0,9.434782608695652
AL-2017-7#-00000517,,,,14.541666666666666
AL-2017-7#-00000325,,,,10.714285714285714
AL-2017-7#-00000384,,,,10.75
AL-2017-7#-00000334,,,,11.727272727272728
