DHSID_EA,sanitation_index
AL-2017-7#-00000435,
AL-2017-7#-00000378,
AL-2017-7#-00000349,
AL-2008-5#-00000035,4.45
AL-2008-5#-00000279,4.578947368421052
AL-2017-7#-00000657,
AL-2017-7#-00000443,
AL-2017-7#-00000573,
AL-2017-7#-00000459,
AL-2008-5#-00000426,4.2
AL-2017-7#-00000445,
AL-2017-7#-00000352,
AL-2017-7#-00000708,
AL-2017-7#-00000548,
AL-2017-7#-00000622,
AL-2017-7#-00000377,
AL-2008-5#-00000081,5.0
AL-2017-7#-00000120,
AL-2008-5#-00000395,5.0
AL-2008-5#-00000338,4.705882352941177
AL-2017-7#-00000236,
AL-2017-7#-00000703,
AL-2017-7#-00000432,
AL-2008-5#-00000326,5.0
AL-2017-7#-00000323,
AL-2017-7#-00000327,
AL-2017-7#-00000425,
AL-2008-5#-00000104,5.0
AL-2017-7#-00000691,
AL-2017-7#-00000709,
AL-2017-7#-00000409,
AL-2008-5#-00000336,4.55
AL-2017-7#-00000452,
AL-2008-5#-00000010,5.0
AL-2017-7#-00000131,
AL-2017-7#-00000227,
AL-2008-5#-00000422,4.315789473684211
AL-2008-5#-00000304,4.0588235294117645
AL-2017-7#-00000018,
AL-2008-5#-00000294,4.105263157894737
AL-2017-7#-00000440,
AL-2017-7#-00000456,
AL-2017-7#-00000500,
AL-2017-7#-00000564,
AL-2008-5#-00000164,5.0
AL-2008-5#-00000033,4.666666666666667
AL-2008-5#-00000307,4.588235294117647
AL-2017-7#-00000547,
AL-2017-7#-00000149,
AL-2008-5#-00000280,4.421052631578948
AL-2008-5#-00000132,4.0
AL-2008-5#-00000334,5.0
AL-2008-5#-00000048,4.411764705882353
AL-2017-7#-00000150,
AL-2017-7#-00000599,
AL-2017-7#-00000616,
AL-2008-5#-00000032,4.823529411764706
AL-2017-7#-00000301,
AL-2008-5#-00000298,3.684210526315789
AL-2017-7#-00000460,
AL-2017-7#-00000649,
AL-2017-7#-00000625,
AL-2008-5#-00000313,4.5
AL-2017-7#-00000408,
AL-2008-5#-00000169,4.421052631578948
AL-2017-7#-00000069,
AL-2017-7#-00000376,
AL-2017-7#-00000242,
AL-2017-7#-00000067,
AL-2017-7#-00000026,
AL-2017-7#-00000025,
AL-2017-7#-00000391,
