DHSID_EA,sanitation_index
AM-2010-6#-00000252,2.4782608695652173
AM-2016-7#-00000234,3.615384615384616
AM-2016-7#-00000081,2.9642857142857144
AM-2016-7#-00000252,3.9642857142857135
AM-2016-7#-00000288,3.0869565217391304
AM-2010-6#-00000244,5.0
AM-2016-7#-00000271,4.222222222222222
AM-2016-7#-00000068,2.590909090909091
AM-2016-7#-00000184,2.3157894736842106
AM-2016-7#-00000089,2.857142857142857
AM-2010-6#-00000307,2.260869565217391
AM-2016-7#-00000308,4.25
AM-2016-7#-00000110,2.25
AM-2016-7#-00000024,5.0
AM-2010-6#-00000282,2.4444444444444446
AM-2016-7#-00000153,2.321428571428572
AM-2016-7#-00000112,2.0
AM-2016-7#-00000233,3.592592592592593
AM-2010-6#-00000028,5.0
AM-2010-6#-00000205,4.875
AM-2016-7#-00000265,3.75
AM-2010-6#-00000106,5.0
AM-2010-6#-00000007,5.0
AM-2010-6#-00000115,4.954545454545454
AM-2016-7#-00000108,2.4615384615384617
AM-2010-6#-00000277,2.9473684210526314
AM-2010-6#-00000151,3.4
AM-2010-6#-00000251,2.260869565217391
AM-2010-6#-00000153,3.5
AM-2010-6#-00000155,3.5
AM-2010-6#-00000253,3.565217391304348
AM-2010-6#-00000027,5.0
AM-2010-6#-00000300,4.416666666666667
AM-2016-7#-00000171,5.0
AM-2016-7#-00000305,5.0
AM-2016-7#-00000133,3.5
AM-2016-7#-00000237,4.230769230769231
AM-2016-7#-00000059,2.48
AM-2016-7#-00000062,5.0
AM-2016-7#-00000193,5.0
AM-2016-7#-00000122,3.269230769230769
AM-2010-6#-00000232,2.25
AM-2016-7#-00000013,4.92
AM-2010-6#-00000184,5.0
AM-2010-6#-00000187,5.0
AM-2016-7#-00000145,4.884615384615385
AM-2010-6#-00000026,5.0
AM-2016-7#-00000021,5.0
AM-2016-7#-00000243,5.0
AM-2016-7#-00000017,4.84
AM-2016-7#-00000082,2.6666666666666665
AM-2010-6#-00000268,5.0
AM-2010-6#-00000168,4.75
