DHSID_EA,water_index
AM-2016-7#-00000112,4.0
AM-2016-7#-00000308,5.0
AM-2016-7#-00000234,5.0
AM-2016-7#-00000233,5.0
AM-2010-6#-00000028,5.0
AM-2010-6#-00000244,5.0
AM-2010-6#-00000205,5.0
AM-2016-7#-00000265,5.0
AM-2016-7#-00000068,4.0
AM-2010-6#-00000106,4.545454545454546
AM-2010-6#-00000007,5.0
AM-2010-6#-00000115,5.0
AM-2010-6#-00000252,5.0
AM-2016-7#-00000305,5.0
AM-2016-7#-00000133,4.958333333333333
AM-2016-7#-00000252,4.714285714285714
AM-2010-6#-00000307,3.9565217391304346
AM-2016-7#-00000237,5.0
AM-2016-7#-00000059,5.0
AM-2016-7#-00000184,5.0
AM-2016-7#-00000193,5.0
AM-2016-7#-00000122,5.0
AM-2010-6#-00000300,5.0
AM-2016-7#-00000171,5.0
AM-2016-7#-00000081,5.0
AM-2016-7#-00000288,5.0
AM-2016-7#-00000271,5.0
AM-2016-7#-00000089,5.0
AM-2010-6#-00000282,4.333333333333333
AM-2016-7#-00000153,5.0
AM-2010-6#-00000277,5.0
AM-2010-6#-00000253,5.0
AM-2016-7#-00000110,4.5
AM-2016-7#-00000013,5.0
AM-2010-6#-00000151,4.6
AM-2010-6#-00000251,1.0
AM-2010-6#-00000155,5.0
AM-2016-7#-00000021,5.0
AM-2016-7#-00000243,5.0
AM-2010-6#-00000187,5.0
AM-2016-7#-00000145,5.0
AM-2010-6#-00000232,4.708333333333333
AM-2016-7#-00000024,5.0
AM-2010-6#-00000184,5.0
AM-2016-7#-00000108,4.076923076923077
AM-2016-7#-00000017,5.0
AM-2016-7#-00000082,5.0
AM-2010-6#-00000268,5.0
AM-2010-6#-00000168,4.8
