DHSID_EA,sanitation_index
AO-2006-5#-00000089,
AO-2015-7#-00000216,2.8461538461538463
AO-2011-6#-00000043,1.125
AO-2006-5#-00000033,
AO-2011-6#-00000156,1.0277777777777777
AO-2015-7#-00000266,3.423076923076923
AO-2015-7#-00000010,4.846153846153846
AO-2006-5#-00000077,
AO-2015-7#-00000342,4.730769230769231
AO-2015-7#-00000152,4.153846153846154
AO-2011-6#-00000171,1.0277777777777777
AO-2015-7#-00000627,5.0
AO-2015-7#-00000388,1.1538461538461535
AO-2015-7#-00000160,3.92
AO-2015-7#-00000526,2.4615384615384617
AO-2015-7#-00000467,5.0
