DHSID_EA,asset_index,sanitation_index,water_index,women_edu
BO-2008-5#-00005084,,,5.0,6.846153846153846
BO-2008-5#-00006046,,,5.0,10.4375
BO-2008-5#-00008024,,,5.0,11.055555555555555
BO-2008-5#-00007167,,,5.0,9.375
BO-2008-5#-00004083,,,4.368421052631579,7.285714285714286
BO-2008-5#-00008053,,,4.0,8.588235294117647
BO-2008-5#-00002132,,,2.95,8.266666666666667
BO-2008-5#-00005085,,,4.8,7.36
BO-2008-5#-00003033,,,4.947368421052632,11.217391304347826
BO-2008-5#-00004067,,,2.4,9.75
BO-2008-5#-00006068,,,4.0,
BO-2008-5#-00002040,,,5.0,14.909090909090908
BO-2008-5#-00004026,,,5.0,12.944444444444445
BO-2008-5#-00007162,,,5.0,7.714285714285714
BO-2008-5#-00001053,,,1.95,5.0
BO-2008-5#-00003068,,,4.0,3.65
BO-2008-5#-00007150,,,4.9,8.285714285714286
BO-2008-5#-00006045,,,5.0,10.75
BO-2008-5#-00003126,,,5.0,7.095238095238095
BO-2008-5#-00005055,,,5.0,7.428571428571429
BO-2008-5#-00002190,,,5.0,6.941176470588236
BO-2008-5#-00001048,,,4.0,4.727272727272728
BO-2008-5#-00002054,,,5.0,12.5625
BO-2008-5#-00008025,,,4.8,7.35
BO-2008-5#-00001015,,,5.0,15.4
BO-2008-5#-00003086,,,1.8,4.181818181818182
BO-2008-5#-00004055,,,4.35,4.882352941176471
BO-2008-5#-00005098,,,4.85,4.25
BO-2008-5#-00003090,,,4.8,6.294117647058823
BO-2008-5#-00004048,,,4.8,9.444444444444445
BO-2008-5#-00002159,,,4.3,6.777777777777778
BO-2008-5#-00002166,,,4.8,7.727272727272727
BO-2008-5#-00002196,,,4.5,9.11111111111111
BO-2008-5#-00005056,,,3.9,0.0714285714285714
BO-2008-5#-00005104,,,5.0,8.166666666666666
BO-2008-5#-00002030,,,5.0,11.409090909090908
BO-2008-5#-00008031,,,4.315789473684211,9.428571428571429
BO-2008-5#-00008045,,,2.7,6.0
BO-2008-5#-00009041,,,2.95,9.5
BO-2008-5#-00008014,,,4.7,10.823529411764708
BO-2008-5#-00009039,,,3.7,5.588235294117647
BO-2008-5#-00009031,,,4.55,8.05
BO-2008-5#-00007149,,,4.5,4.2105263157894735
BO-2008-5#-00007093,,,4.85,4.611111111111111
BO-2008-5#-00007163,,,4.578947368421052,7.714285714285714
BO-2008-5#-00004079,,,4.5,6.375
BO-2008-5#-00007019,,,5.0,9.647058823529411
BO-2008-5#-00008036,,,3.85,6.9
BO-2008-5#-00005061,,,4.55,4.266666666666667
BO-2008-5#-00006063,,,5.0,8.882352941176471
BO-2008-5#-00005053,,,4.95,5.25
BO-2008-5#-00002146,,,5.0,7.0
BO-2008-5#-00004053,,,2.95,3.5
BO-2008-5#-00002061,,,5.0,13.615384615384617
BO-2008-5#-00006038,,,3.4,3.25
BO-2008-5#-00001080,,,4.6,4.652173913043479
BO-2008-5#-00006016,,,5.0,10.266666666666667
BO-2008-5#-00006087,,,3.8,3.928571428571429
BO-2008-5#-00002186,,,4.6,5.666666666666667
BO-2008-5#-00002192,,,4.9,4.214285714285714
BO-2008-5#-00002172,,,5.0,9.333333333333334
BO-2008-5#-00002175,,,4.95,5.8
BO-2008-5#-00005032,,,4.8,5.6923076923076925
BO-2008-5#-00005072,,,4.8,2.176470588235294
BO-2008-5#-00005095,,,4.75,7.375
BO-2008-5#-00005064,,,3.95,3.75
BO-2008-5#-00005051,,,2.95,3.523809523809524
BO-2008-5#-00004081,,,4.2,9.363636363636363
BO-2008-5#-00005086,,,2.65,2.2857142857142856
BO-2008-5#-00005060,,,5.0,2.7222222222222223
BO-2008-5#-00005068,,,5.0,8.625
BO-2008-5#-00005037,,,5.0,10.0
BO-2008-5#-00004089,,,4.7,5.545454545454546
BO-2008-5#-00004047,,,4.7368421052631575,8.19047619047619
BO-2008-5#-00002004,,,5.0,15.25
BO-2008-5#-00002181,,,1.6,5.25
BO-2008-5#-00005082,,,5.0,9.68421052631579
BO-2008-5#-00006013,,,5.0,13.235294117647058
BO-2008-5#-00008008,,,2.4,8.772727272727273
BO-2008-5#-00002063,,,5.0,8.1875
BO-2008-5#-00007049,,,5.0,9.72222222222222
BO-2008-5#-00002170,,,5.0,7.133333333333334
BO-2008-5#-00004059,,,3.8,4.583333333333333
BO-2008-5#-00003060,,,3.6,5.176470588235294
BO-2008-5#-00003040,,,4.857142857142857,9.2
BO-2008-5#-00005021,,,5.0,14.0
BO-2008-5#-00007002,,,5.0,12.5
