DHSID_EA,water_index
BO-2008-5#-00005085,4.8
BO-2008-5#-00005084,5.0
BO-2008-5#-00002166,4.8
BO-2008-5#-00002196,4.5
BO-2008-5#-00004067,2.4
BO-2008-5#-00007167,5.0
BO-2008-5#-00004083,4.368421052631579
BO-2008-5#-00005056,3.9
BO-2008-5#-00005104,5.0
BO-2008-5#-00008024,5.0
BO-2008-5#-00002030,5.0
BO-2008-5#-00008031,4.315789473684211
BO-2008-5#-00008045,2.7
BO-2008-5#-00007162,5.0
BO-2008-5#-00001053,1.95
BO-2008-5#-00003068,4.0
BO-2008-5#-00009041,2.95
BO-2008-5#-00008014,4.7
BO-2008-5#-00009039,3.7
BO-2008-5#-00009031,4.55
BO-2008-5#-00007149,4.5
BO-2008-5#-00007150,4.9
BO-2008-5#-00007093,4.85
BO-2008-5#-00007163,4.578947368421052
BO-2008-5#-00004079,4.5
BO-2008-5#-00003126,5.0
BO-2008-5#-00007019,5.0
BO-2008-5#-00006046,5.0
BO-2008-5#-00008036,3.85
BO-2008-5#-00005061,4.55
BO-2008-5#-00006063,5.0
BO-2008-5#-00002159,4.3
BO-2008-5#-00005053,4.95
BO-2008-5#-00002146,5.0
BO-2008-5#-00004053,2.95
BO-2008-5#-00002061,5.0
BO-2008-5#-00008025,4.8
BO-2008-5#-00006068,4.0
BO-2008-5#-00003086,1.8
BO-2008-5#-00006038,3.4
BO-2008-5#-00001080,4.6
BO-2008-5#-00006016,5.0
BO-2008-5#-00006087,3.8
BO-2008-5#-00004055,4.35
BO-2008-5#-00005098,4.85
BO-2008-5#-00003090,4.8
BO-2008-5#-00002186,4.6
BO-2008-5#-00002192,4.9
BO-2008-5#-00002172,5.0
BO-2008-5#-00002175,4.95
BO-2008-5#-00005032,4.8
BO-2008-5#-00005072,4.8
BO-2008-5#-00005095,4.75
BO-2008-5#-00005064,3.95
BO-2008-5#-00005051,2.95
BO-2008-5#-00004081,4.2
BO-2008-5#-00005086,2.65
BO-2008-5#-00005060,5.0
BO-2008-5#-00005068,5.0
BO-2008-5#-00005037,5.0
BO-2008-5#-00004089,4.7
BO-2008-5#-00004047,4.7368421052631575
