DHSID_EA,women_edu
BO-2008-5#-00004026,12.944444444444445
BO-2008-5#-00007162,7.714285714285714
BO-2008-5#-00007167,9.375
BO-2008-5#-00006013,13.235294117647058
BO-2008-5#-00004067,9.75
BO-2008-5#-00009041,9.5
BO-2008-5#-00008014,10.823529411764708
BO-2008-5#-00009039,5.588235294117647
BO-2008-5#-00009031,8.05
BO-2008-5#-00007150,8.285714285714286
BO-2008-5#-00002004,15.25
BO-2008-5#-00006046,10.4375
BO-2008-5#-00002181,5.25
BO-2008-5#-00004060,6.3
BO-2008-5#-00002154,5.0
BO-2008-5#-00002061,13.615384615384617
BO-2008-5#-00002063,8.1875
BO-2008-5#-00002191,5.9375
BO-2008-5#-00005084,6.846153846153846
BO-2008-5#-00007093,4.611111111111111
BO-2008-5#-00008008,8.772727272727273
BO-2008-5#-00006045,10.75
BO-2008-5#-00002159,6.777777777777778
BO-2008-5#-00003126,7.095238095238095
BO-2008-5#-00005082,9.68421052631579
BO-2008-5#-00002030,11.409090909090908
BO-2008-5#-00004083,7.285714285714286
BO-2008-5#-00007049,9.72222222222222
BO-2008-5#-00008025,7.35
BO-2008-5#-00008024,11.055555555555555
BO-2008-5#-00008053,8.588235294117647
BO-2008-5#-00002190,6.941176470588236
BO-2008-5#-00006063,8.882352941176471
BO-2008-5#-00005085,7.36
BO-2008-5#-00002170,7.133333333333334
BO-2008-5#-00002054,12.5625
BO-2008-5#-00004059,4.583333333333333
BO-2008-5#-00003068,3.65
BO-2008-5#-00005021,14.0
BO-2008-5#-00005061,4.266666666666667
BO-2008-5#-00007002,12.5
BO-2008-5#-00002168,3.692307692307693
BO-2008-5#-00003040,9.2
BO-2008-5#-00004055,4.882352941176471
BO-2008-5#-00003060,5.176470588235294
BO-2008-5#-00004048,9.444444444444445
BO-2008-5#-00002186,5.666666666666667
BO-2008-5#-00002192,4.214285714285714
BO-2008-5#-00002172,9.333333333333334
BO-2008-5#-00002175,5.8
BO-2008-5#-00005068,8.625
