DHSID_EA,asset_index
CD-2007-5#-00000144,-1.5036249127449028
CD-2007-5#-00000035,-2.0012683662399176
CD-2007-5#-00000217,2.348222446295231
CD-2007-5#-00000123,-2.3199765710637776
CD-2013-6#-00000078,-3.113949717146665
CD-2013-6#-00000466,-2.2958071116819525
CD-2013-6#-00000412,2.796902406811291
CD-2007-5#-00000059,1.646943531521591
CD-2013-6#-00000017,-3.294767550176333
CD-2013-6#-00000025,-2.7975018080087057
CD-2013-6#-00000198,-1.1725539776758869
CD-2007-5#-00000125,-1.0907801643760688
CD-2013-6#-00000508,-3.008285112893806
CD-2007-5#-00000064,-1.740314641704302
CD-2013-6#-00000506,-2.8194635184372245
CD-2013-6#-00000120,-2.0976786910012075
CD-2013-6#-00000280,-2.9512724291932613
CD-2013-6#-00000179,-2.929671643232422
CD-2007-5#-00000174,-1.2118207673341872
CD-2007-5#-00000280,2.201632570428163
CD-2013-6#-00000478,-2.6036147489519146
CD-2013-6#-00000456,-1.616910647053091
CD-2013-6#-00000157,-2.623003190276926
CD-2013-6#-00000093,-2.023962995342772
CD-2013-6#-00000218,1.782005570125263
CD-2013-6#-00000261,2.496916320779528
CD-2013-6#-00000490,1.8323294383360085
CD-2013-6#-00000258,-3.397978963785917
CD-2007-5#-00000024,2.024697400625921
CD-2007-5#-00000113,-1.1362817135592498
CD-2007-5#-00000027,2.2775926518097807
CD-2013-6#-00000314,-1.87210098778268
CD-2007-5#-00000122,-1.6530601743354276
CD-2007-5#-00000232,-1.6873379031930609
CD-2007-5#-00000221,-2.5079312840900805
CD-2007-5#-00000092,-2.042503307299264
CD-2013-6#-00000477,-2.766676981754117
CD-2007-5#-00000022,1.7582296926791328
CD-2013-6#-00000054,-1.6089448621932845
