DHSID_EA,water_index
CO-2010-6#-00003867,5.0
CO-2010-6#-00004217,4.473684210526316
CO-2010-6#-00003633,3.857142857142857
CO-2010-6#-00004393,4.111111111111111
CO-2010-6#-00002001,2.4545454545454546
CO-2010-6#-00004360,1.4
CO-2010-6#-00003645,4.333333333333333
CO-2010-6#-00002190,5.0
CO-2010-6#-00000076,4.888888888888889
CO-2010-6#-00001513,5.0
CO-2010-6#-00004742,5.0
CO-2010-6#-00004069,1.8
CO-2010-6#-00004868,5.0
CO-2010-6#-00001867,5.0
CO-2010-6#-00000095,3.0
CO-2010-6#-00003788,5.0
CO-2010-6#-00004036,3.923076923076923
CO-2010-6#-00004148,3.615384615384616
CO-2010-6#-00001820,5.0
CO-2010-6#-00000734,5.0
CO-2010-6#-00001599,5.0
CO-2010-6#-00001362,5.0
CO-2010-6#-00001557,5.0
CO-2010-6#-00001641,5.0
CO-2010-6#-00004297,1.0
CO-2010-6#-00004480,1.3333333333333333
CO-2010-6#-00003403,4.555555555555555
CO-2010-6#-00003770,1.0
CO-2010-6#-00003469,1.8
CO-2010-6#-00004064,5.0
CO-2010-6#-00003785,5.0
CO-2010-6#-00003081,5.0
CO-2010-6#-00003628,1.0
CO-2010-6#-00003586,4.428571428571429
CO-2010-6#-00000648,4.818181818181818
CO-2010-6#-00003528,2.2
CO-2010-6#-00004234,3.571428571428572
CO-2010-6#-00005000,5.0
CO-2010-6#-00004679,5.0
CO-2010-6#-00003757,1.8
CO-2010-6#-00003624,4.333333333333333
CO-2010-6#-00002081,2.6
CO-2010-6#-00003824,5.0
CO-2010-6#-00004110,5.0
CO-2010-6#-00001154,5.0
CO-2010-6#-00002941,4.666666666666667
CO-2010-6#-00004810,5.0
CO-2010-6#-00001934,5.0
CO-2010-6#-00004849,5.0
CO-2010-6#-00001788,2.2
CO-2010-6#-00003421,5.0
CO-2010-6#-00004102,4.714285714285714
CO-2010-6#-00003552,5.0
CO-2010-6#-00003638,4.166666666666667
CO-2010-6#-00004646,5.0
CO-2010-6#-00003642,2.7777777777777777
CO-2010-6#-00004608,5.0
CO-2010-6#-00004601,5.0
CO-2010-6#-00003765,1.0
CO-2010-6#-00001427,5.0
CO-2010-6#-00003054,2.2
CO-2010-6#-00000916,5.0
CO-2010-6#-00001146,4.428571428571429
CO-2010-6#-00001311,3.727272727272727
CO-2010-6#-00001272,5.0
CO-2010-6#-00004937,5.0
CO-2010-6#-00000739,1.0
CO-2010-6#-00002954,5.0
CO-2010-6#-00003815,5.0
CO-2010-6#-00002055,2.333333333333333
CO-2010-6#-00001648,3.0
CO-2010-6#-00004279,1.0
CO-2010-6#-00001643,1.0
CO-2010-6#-00002922,4.5
CO-2010-6#-00001251,5.0
CO-2010-6#-00002269,2.4
CO-2010-6#-00002122,4.833333333333333
CO-2010-6#-00002115,4.636363636363637
CO-2010-6#-00002031,5.0
CO-2010-6#-00001149,1.0
CO-2010-6#-00002841,5.0
CO-2010-6#-00000646,4.529411764705882
CO-2010-6#-00000759,3.0
CO-2010-6#-00000109,4.5
CO-2010-6#-00001386,5.0
CO-2010-6#-00001492,5.0
CO-2010-6#-00002332,5.0
CO-2010-6#-00001459,4.166666666666667
CO-2010-6#-00002004,5.0
CO-2010-6#-00001984,5.0
CO-2010-6#-00000387,5.0
CO-2010-6#-00004477,4.0
