DHSID_EA,asset_index,sanitation_index,water_index,women_edu
DR-2013-6#-00002055,,,,9.882352941176473
DR-2007-5#-00002092,1.980944657635068,3.6666666666666665,4.333333333333333,4.0
DR-2013-6#-00001834,,,,9.416666666666666
DR-2007-5#-00001108,3.214319682295175,4.954545454545454,4.954545454545454,10.785714285714286
DR-2007-5#-00000029,2.508918846622846,4.227272727272728,4.5,10.0
DR-2007-5#-00000022,3.0520026611712945,4.8,4.84,10.954545454545457
DR-2013-6#-00003067,,,,13.875
DR-2007-5#-00000285,3.249410444991104,5.0,5.0,15.22222222222222
DR-2007-5#-00002337,3.0813016601860235,5.0,5.0,10.764705882352942
DR-2007-5#-00002838,-0.2489823208796211,2.347826086956522,3.260869565217391,6.833333333333333
DR-2007-5#-00002039,1.9656042929495847,3.9166666666666665,4.5,7.470588235294118
DR-2007-5#-00000219,2.059967732049053,3.8260869565217392,4.130434782608695,8.875
DR-2007-5#-00000938,3.023292995422018,5.0,5.0,
DR-2007-5#-00001331,3.24743538386401,4.7727272727272725,5.0,9.090909090909092
DR-2007-5#-00001700,-1.0843624618415897,2.9565217391304346,2.217391304347826,2.5
DR-2007-5#-00000929,1.9657497857945576,4.0,3.260869565217391,5.052631578947368
DR-2013-6#-00001863,,,,13.0
DR-2013-6#-00001697,,,,2.875
DR-2013-6#-00001846,,,,7.857142857142857
DR-2007-5#-00001380,1.7271595479242678,2.583333333333333,4.833333333333333,6.157894736842105
DR-2007-5#-00002037,3.3374382058987533,5.0,5.0,10.733333333333333
DR-2007-5#-00000336,1.7990965697509635,3.52,4.36,9.25
DR-2007-5#-00000452,3.199077126458376,5.0,4.782608695652174,13.55
DR-2007-5#-00000856,3.2402582488696634,5.0,5.0,12.5
