DHSID_EA,asset_index,sanitation_index,water_index,women_edu
EG-2003-4Z-02350426,,,,9.037037037037036
EG-2008-5Z-00000542,,,,6.055555555555555
EG-2005-5#-06710203,,,,10.153846153846152
EG-2008-5Z-00000417,,,,8.0
EG-2008-5Z-00000457,,,,4.809523809523809
EG-2005-5#-00761004,,,,13.4
EG-2008-5Z-00000546,,,,3.7777777777777777
EG-2000-4#-00320305,,,,12.0
EG-2000-4#-00230402,,,,14.1
EG-2014-6#-01080202,2.7061346931953487,4.6,5.0,7.0
EG-2008-5Z-00000313,,,,10.961538461538462
EG-2003-4Z-03020217,,,,11.363636363636363
EG-2005-5#-00360201,,,,11.5
EG-2014-6#-08680204,1.0452563756016773,4.227272727272728,1.0,6.136363636363637
EG-2008-5Z-00000379,,,,11.0
EG-2008-5Z-00000615,,,,13.233333333333333
EG-2014-6#-05441005,2.9854144779684533,5.0,5.0,4.0
EG-2003-4Z-00260210,,,,3.5
EG-2000-4#-04650102,,,,6.25
EG-2005-5#-00310204,,,,12.571428571428571
EG-2000-4#-00220103,,,,11.785714285714286
EG-2008-5Z-00000532,,,,6.526315789473684
EG-2014-6#-04410702,3.0982320872536846,5.0,5.0,
EG-2014-6#-01722304,3.087089697585094,5.0,5.0,10.333333333333334
EG-2000-4#-00290105,,,,10.3
EG-2014-6#-00910102,2.768586359300384,5.0,5.0,8.75
EG-2014-6#-00910105,3.0007719225532146,5.0,5.0,10.142857142857142
EG-2014-6#-00510404,3.058278549009434,4.971428571428572,5.0,5.7368421052631575
EG-2008-5Z-00000620,,,,5.125
EG-2005-5#-06480103,,,,8.916666666666666
EG-2008-5Z-00000130,,,,10.22222222222222
EG-2008-5Z-00000295,,,,3.1666666666666665
EG-2000-4#-04340301,,,,1.0
EG-2014-6#-00490102,3.017560818619172,5.0,5.0,
EG-2003-4Z-00301007,,,,11.8
EG-2014-6#-00410103,3.0958238203951667,5.0,5.0,9.77777777777778
EG-2005-5#-01270103,,,,7.454545454545454
EG-2014-6#-00881504,2.963648701699796,5.0,5.0,8.916666666666666
EG-2014-6#-00430103,2.9697378542144945,5.0,5.0,
EG-2014-6#-00080804,3.0939222565428204,5.0,5.0,10.2
EG-2003-4Z-00250201,,,,6.0
EG-2014-6#-05520504,3.17297503477564,5.0,5.0,7.625
EG-2008-5Z-00000124,,,,8.2
EG-2008-5Z-00000005,,,,6.588235294117647
EG-2003-4Z-00270208,,,,4.153846153846154
EG-2008-5Z-00001108,,,,9.2
EG-2005-5#-06780101,,,,1.0
EG-2008-5Z-00000968,,,,14.125
EG-2008-5Z-00001071,,,,4.888888888888889
EG-2014-6#-08810103,0.7442547564051998,4.0,1.0,1.3636363636363635
EG-2014-6#-00410105,3.1737291659853244,5.0,5.0,11.333333333333334
EG-2014-6#-06360103,2.160363727082108,4.066666666666666,5.0,7.153846153846154
EG-2008-5Z-00000827,,,,5.2
EG-2005-5#-04450201,,,,0.5294117647058824
EG-2005-5#-03470301,,,,3.8
EG-2008-5Z-00000222,,,,4.8
EG-2014-6#-01100403,2.660206967576613,4.3,5.0,5.277777777777778
EG-2000-4#-00310101,,,,2.571428571428572
EG-2014-6#-00420101,2.712147874294904,5.0,5.0,
EG-2014-6#-06810301,1.5510833670715396,4.117647058823529,5.0,2.6
EG-2005-5#-03226008,,,,11.125
EG-2003-4Z-00260204,,,,4.75
EG-2008-5Z-00001258,,,,10.0
EG-2014-6#-00460303,3.1397103505377624,5.0,5.0,4.5
EG-2000-4#-04940101,,,,2.769230769230769
EG-2008-5Z-00000905,,,,7.4
EG-2008-5Z-00000043,,,,10.333333333333334
EG-2014-6#-00500201,3.257153586172703,4.941176470588236,5.0,8.181818181818182
EG-2005-5#-00342301,,,,0.9090909090909092
EG-2008-5Z-00000366,,,,7.0
EG-2008-5Z-00000560,,,,6.105263157894737
EG-2000-4#-04990103,,,,1.4666666666666666
EG-2003-4Z-00660809,,,,5.5
EG-2014-6#-06760202,1.5608858411537625,4.0,5.0,7.266666666666667
EG-2008-5Z-00000563,,,,7.142857142857143
EG-2014-6#-01080501,2.919199211373704,4.75,5.0,7.25
EG-2014-6#-08480101,0.6099906923548665,4.230769230769231,3.3076923076923075,6.4
EG-2000-4#-04940102,,,,0.5454545454545454
EG-2008-5Z-00000742,,,,2.5625
EG-2003-4Z-02920104,,,,7.142857142857143
EG-2005-5#-06500401,,,,12.4
EG-2000-4#-04960101,,,,4.125
EG-2000-4#-04950201,,,,
EG-2005-5#-03310610,,,,9.333333333333334
EG-2000-4#-04990101,,,,2.5625
EG-2005-5#-00220102,,,,12.6
EG-2014-6#-06250101,2.311740667886273,4.95,5.0,7.466666666666667
EG-2005-5#-01070304,,,,7.444444444444445
EG-2008-5Z-00000838,,,,10.307692307692308
EG-2014-6#-08500103,0.9014469177158436,3.739130434782609,4.0,2.4
EG-2000-4#-01460703,,,,12.48148148148148
EG-2000-4#-04960103,,,,4.578947368421052
EG-2000-4#-04500103,,,,0.782608695652174
EG-2008-5Z-00000917,,,,11.833333333333334
EG-2005-5#-06660401,,,,2.727272727272727
EG-2000-4#-03220102,,,,1.5555555555555556
EG-2003-4Z-03130103,,,,1.8333333333333333
EG-2005-5#-00350108,,,,11.0
EG-2014-6#-08780301,2.793088622679749,4.555555555555555,5.0,11.833333333333334
EG-2005-5#-06550101,,,,
EG-2008-5Z-00000480,,,,11.083333333333334
EG-2005-5#-05731002,,,,2.8
EG-2008-5Z-00001004,,,,7.0
EG-2014-6#-00400303,3.1249637541073048,5.0,5.0,
EG-2008-5Z-00000781,,,,3.823529411764706
EG-2014-6#-07760106,2.876055634095229,5.0,5.0,10.642857142857142
EG-2014-6#-08800202,1.8129981109406617,4.238095238095238,3.0,7.117647058823529
EG-2005-5#-06670201,,,,3.8
EG-2000-4#-00600402,,,,8.133333333333333
EG-2008-5Z-00000235,,,,13.681818181818182
EG-2005-5#-00820403,,,,5.777777777777778
EG-2005-5#-06710503,,,,11.0
EG-2005-5#-00330205,,,,10.5
EG-2000-4#-02740303,,,,3.1
EG-2014-6#-01490301,3.038908613507917,5.0,5.0,12.727272727272728
EG-2008-5Z-00000051,,,,2.857142857142857
EG-2014-6#-02980507,2.910072605520645,5.0,5.0,14.444444444444445
EG-2008-5Z-00000117,,,,5.705882352941177
