DHSID_EA,water_index
EG-2005-5#-06780101,
EG-2008-5Z-00000560,
EG-2000-4#-04990103,
EG-2005-5#-06710203,
EG-2003-4Z-00660809,
EG-2008-5Z-00000542,
EG-2014-6#-04410702,5.0
EG-2014-6#-06760202,5.0
EG-2008-5Z-00000457,
EG-2008-5Z-00000563,
EG-2008-5Z-00000379,
EG-2000-4#-00230402,
EG-2003-4Z-03020217,
EG-2005-5#-00360201,
EG-2014-6#-01080501,5.0
EG-2014-6#-08480101,3.3076923076923075
EG-2014-6#-05441005,5.0
EG-2008-5Z-00000546,
EG-2000-4#-00310101,
EG-2014-6#-01722304,5.0
EG-2000-4#-00290105,
EG-2014-6#-00910102,5.0
EG-2000-4#-04340301,
EG-2014-6#-00910105,5.0
EG-2000-4#-04940102,
EG-2014-6#-00510404,5.0
EG-2008-5Z-00000615,
EG-2008-5Z-00000742,
EG-2003-4Z-02920104,
EG-2005-5#-06500401,
EG-2005-5#-06480103,
EG-2000-4#-04960101,
EG-2008-5Z-00000130,
EG-2000-4#-04950201,
EG-2005-5#-03310610,
EG-2008-5Z-00000313,
EG-2000-4#-04990101,
EG-2008-5Z-00000295,
EG-2005-5#-00220102,
EG-2003-4Z-00260210,
EG-2014-6#-06250101,5.0
EG-2005-5#-01070304,
EG-2008-5Z-00000838,
EG-2014-6#-08500103,4.0
EG-2000-4#-00220103,
EG-2014-6#-08680204,1.0
EG-2000-4#-01460703,
EG-2000-4#-04960103,
EG-2000-4#-04500103,
EG-2008-5Z-00000917,
EG-2008-5Z-00000532,
EG-2005-5#-06660401,
EG-2000-4#-03220102,
EG-2005-5#-01270103,
EG-2003-4Z-03130103,
EG-2005-5#-00350108,
EG-2014-6#-08780301,5.0
EG-2008-5Z-00000222,
EG-2000-4#-04940101,
EG-2005-5#-06550101,
EG-2008-5Z-00000480,
EG-2014-6#-06360103,5.0
EG-2005-5#-05731002,
EG-2005-5#-04450201,
EG-2008-5Z-00001004,
EG-2014-6#-01100403,5.0
EG-2014-6#-00400303,5.0
EG-2014-6#-00420101,5.0
EG-2008-5Z-00000781,
EG-2014-6#-06810301,5.0
EG-2014-6#-07760106,5.0
EG-2005-5#-03226008,
EG-2014-6#-08800202,3.0
EG-2005-5#-06670201,
EG-2000-4#-00600402,
EG-2008-5Z-00000620,
EG-2003-4Z-00260204,
EG-2008-5Z-00001258,
EG-2008-5Z-00000235,
EG-2005-5#-00820403,
EG-2014-6#-00460303,5.0
EG-2005-5#-06710503,
EG-2005-5#-00330205,
EG-2003-4Z-00301007,
