DHSID_EA,women_edu
EG-2008-5Z-00001258,10.0
EG-2008-5Z-00000744,12.0
EG-2003-4Z-00250201,6.0
EG-2005-5#-06710203,10.153846153846152
EG-2008-5Z-00000620,5.125
EG-2008-5Z-00000546,3.7777777777777777
EG-2005-5#-06480103,8.916666666666666
EG-2000-4#-04960101,4.125
EG-2008-5Z-00000130,10.22222222222222
EG-2000-4#-04340301,1.0
EG-2008-5Z-00000379,11.0
EG-2008-5Z-00000222,4.8
EG-2008-5Z-00000313,10.961538461538462
EG-2005-5#-05030101,9.444444444444445
EG-2005-5#-00220102,12.6
EG-2014-6#-00490102,
EG-2003-4Z-00301007,11.8
EG-2014-6#-00490108,15.0
EG-2014-6#-00500201,8.181818181818182
EG-2000-4#-02740303,3.1
EG-2014-6#-01490301,12.727272727272728
EG-2008-5Z-00000051,2.857142857142857
EG-2003-4Z-03130103,1.8333333333333333
EG-2008-5Z-00001020,8.466666666666667
EG-2005-5#-00280208,10.5
EG-2014-6#-00420103,
EG-2005-5#-06480101,8.0625
EG-2008-5Z-00000776,1.6363636363636365
EG-2014-6#-07500205,7.086956521739131
EG-2000-4#-01610103,4.333333333333333
EG-2014-6#-00420101,
EG-2005-5#-06780101,1.0
EG-2008-5Z-00000968,14.125
EG-2005-5#-00290503,12.727272727272728
EG-2000-4#-02980404,14.857142857142858
EG-2003-4Z-00260210,3.5
EG-2003-4Z-03020217,11.363636363636363
EG-2014-6#-05520504,7.625
EG-2008-5Z-00000124,8.2
EG-2005-5#-06070503,10.833333333333334
EG-2014-6#-05441005,4.0
EG-2014-6#-00470302,5.75
EG-2000-4#-00310101,2.571428571428572
EG-2008-5Z-00001118,0.5238095238095238
EG-2005-5#-00310204,12.571428571428571
EG-2003-4Z-00570108,8.0
EG-2008-5Z-00000532,6.526315789473684
EG-2014-6#-04410702,
EG-2014-6#-01722304,10.333333333333334
EG-2014-6#-00910105,10.142857142857142
EG-2000-4#-04940102,0.5454545454545454
EG-2000-4#-00260207,3.8
EG-2003-4Z-03440208,7.833333333333333
EG-2008-5Z-00001071,4.888888888888889
EG-2000-4#-01430301,10.0
EG-2003-4Z-02350426,9.037037037037036
EG-2003-4Z-00660809,5.5
EG-2000-4#-00290105,10.3
EG-2008-5Z-00000542,6.055555555555555
EG-2008-5Z-00000417,8.0
EG-2008-5Z-00000457,4.809523809523809
EG-2008-5Z-00000563,7.142857142857143
EG-2000-4#-00320305,12.0
EG-2014-6#-02980507,14.444444444444445
EG-2008-5Z-00000117,5.705882352941177
EG-2000-4#-00230402,14.1
EG-2014-6#-00340605,13.083333333333334
EG-2008-5Z-00000235,13.681818181818182
EG-2014-6#-08480101,6.4
EG-2014-6#-00430103,
EG-2005-5#-00360201,11.5
EG-2014-6#-01080501,7.25
EG-2014-6#-00881504,8.916666666666666
EG-2005-5#-00710203,14.625
EG-2003-4Z-00820208,11.625
EG-2000-4#-04940101,2.769230769230769
EG-2008-5Z-00000366,7.0
EG-2005-5#-00790101,4.3
EG-2005-5#-03270502,7.0
EG-2014-6#-00410105,11.333333333333334
EG-2003-4Z-00290102,15.142857142857142
EG-2008-5Z-00000721,12.8
EG-2005-5#-05540803,7.666666666666667
EG-2008-5Z-00000201,11.037037037037036
EG-2005-5#-01730201,14.5
EG-2014-6#-00510404,5.7368421052631575
EG-2000-4#-01470101,3.875
EG-2003-4Z-00260204,4.75
EG-2014-6#-06360103,7.153846153846154
EG-2003-4Z-00270208,4.153846153846154
EG-2008-5Z-00001108,9.2
EG-2005-5#-03000107,4.051282051282051
EG-2008-5Z-00001234,6.8
EG-2005-5#-00342301,0.9090909090909092
EG-2000-4#-02120201,10.875
EG-2014-6#-04440601,14.285714285714286
EG-2008-5Z-00000623,9.7
EG-2014-6#-00370203,
EG-2014-6#-00330405,13.636363636363637
EG-2000-4#-04500103,0.782608695652174
EG-2000-4#-00540504,12.846153846153848
EG-2014-6#-00400303,
EG-2005-5#-04450201,0.5294117647058824
EG-2005-5#-03470301,3.8
EG-2014-6#-08020104,
EG-2005-5#-02720106,7.1
EG-2014-6#-04480603,7.5
EG-2014-6#-08680204,6.136363636363637
EG-2014-6#-00190510,15.428571428571429
EG-2008-5Z-00001144,4.333333333333333
EG-2008-5Z-00000781,3.823529411764706
EG-2005-5#-03226008,11.125
EG-2008-5Z-00000905,7.4
EG-2000-4#-00600402,8.133333333333333
EG-2005-5#-00330205,10.5
EG-2008-5Z-00000043,10.333333333333334
