DHSID_EA,asset_index,sanitation_index,water_index,women_edu
ET-2011-6#-00000199,-1.905062844541881,1.933333333333333,4.0,3.0
ET-2005-5#-00000190,,,,0.1739130434782608
ET-2011-6#-00000210,-1.1304164826492773,2.2222222222222223,5.0,0.8461538461538461
ET-2016-7#-00000630,-2.5827402494594702,1.0,3.857142857142857,0.0
ET-2011-6#-00000381,-2.292897970362079,1.933333333333333,3.2333333333333334,0.1764705882352941
ET-2011-6#-00000546,1.5161226139380013,3.16,5.0,8.121212121212121
ET-2005-5#-00000448,,,,0.3076923076923077
ET-2005-5#-00000008,,,,1.2580645161290325
ET-2019-8#-00000146,-1.328012478013777,2.7333333333333334,4.0,4.305555555555555
ET-2011-6#-00000365,-0.8164969687201243,2.0689655172413794,5.0,3.1923076923076925
ET-2019-8#-00000126,-2.725502448284957,1.0,3.4,0.4444444444444444
ET-2011-6#-00000049,-3.687481809727336,1.148148148148148,1.0,0.1538461538461538
ET-2005-5#-00000260,,,,7.892857142857143
ET-2011-6#-00000604,-3.509771267371448,1.0,1.3461538461538465,0.0416666666666666
ET-2016-7#-00000138,-3.3362386723193964,1.619047619047619,1.1428571428571428,0.1176470588235294
ET-2011-6#-00000556,0.9536390772973408,3.5,5.0,6.78125
ET-2000-4#-00000377,,,,0.2
ET-2011-6#-00000434,-2.675976126176656,2.0689655172413794,1.9655172413793105,2.0277777777777777
ET-2019-8#-00000173,-1.4553465709532474,2.1,4.0,5.757575757575758
ET-2000-4#-00000459,,,,5.25
ET-2016-7#-00000077,-2.572863857146612,1.0,3.875,0.1818181818181818
ET-2011-6#-00000472,-1.2446845619532207,1.9,3.0,2.1739130434782608
ET-2016-7#-00000306,-2.786516920477734,2.2142857142857144,1.1071428571428572,4.045454545454546
ET-2011-6#-00000378,-1.878740480747728,2.5172413793103448,2.7586206896551726,4.885714285714286
ET-2000-4#-00000279,,,,0.0
ET-2016-7#-00000618,-2.854949965529886,1.0,3.0,0.3125
ET-2011-6#-00000299,-2.804744989226294,1.2333333333333334,2.9,0.0
ET-2011-6#-00000009,1.020945533173879,3.3076923076923075,5.0,6.571428571428571
ET-2005-5#-00000311,,,,5.348837209302325
ET-2005-5#-00000176,,,,0.5454545454545454
ET-2005-5#-00000230,,,,1.6
ET-2019-8#-00000128,-3.428507157678989,1.0,1.7,0.0967741935483871
ET-2011-6#-00000482,-2.509008208237876,1.7586206896551724,2.862068965517241,3.142857142857143
ET-2016-7#-00000479,-2.3454550416957725,1.3214285714285714,3.321428571428572,1.7333333333333334
ET-2011-6#-00000292,1.5796532242957064,3.827586206896552,5.0,7.212121212121212
ET-2011-6#-00000638,-2.1673022144355323,1.6428571428571428,3.642857142857143,1.35
ET-2016-7#-00000103,-2.261589045735516,1.962962962962963,3.111111111111111,2.555555555555556
ET-2019-8#-00000206,-2.018937545698269,1.0769230769230769,3.807692307692308,7.352941176470588
ET-2016-7#-00000435,-2.594347040562474,1.037037037037037,3.7777777777777777,2.0
ET-2011-6#-00000447,-3.158634836250396,1.0,2.5,2.210526315789474
ET-2016-7#-00000508,-2.8019726365282893,1.875,1.9166666666666667,1.1666666666666667
ET-2000-4#-00000080,,,,0.0
ET-2016-7#-00000188,-2.052185638818774,1.6428571428571428,2.607142857142857,2.774193548387097
ET-2005-5#-00000388,,,,0.2272727272727272
ET-2005-5#-00000205,,,,0.3076923076923077
ET-2016-7#-00000226,-1.7389478953319752,1.2692307692307692,4.384615384615385,4.846153846153846
ET-2000-4#-00000030,,,,1.1153846153846154
ET-2016-7#-00000298,-3.5312053545455315,1.2222222222222223,1.0740740740740742,4.12
ET-2005-5#-00000203,,,,1.1304347826086956
ET-2019-8#-00000025,-0.8311587862393276,1.6071428571428572,4.0,5.555555555555555
ET-2016-7#-00000449,-0.662996276247538,2.074074074074074,4.851851851851852,7.277777777777778
ET-2000-4#-00000223,,,,0.0
ET-2005-5#-00000314,,,,0.12
ET-2019-8#-00000132,-2.1558539742709333,1.3214285714285714,4.0,1.103448275862069
ET-2019-8#-00000124,-1.435457199506982,1.9642857142857144,3.1785714285714284,3.3448275862068964
ET-2019-8#-00000142,-2.383554963077594,1.0666666666666669,4.0,0.9583333333333334
ET-2019-8#-00000125,-2.90324607459223,1.0,3.0,1.096774193548387
ET-2019-8#-00000058,-2.4591548233924474,1.4666666666666666,3.2333333333333334,4.354838709677419
ET-2019-8#-00000078,-3.3524071881454285,1.7666666666666666,1.0,1.5
ET-2005-5#-00000528,,,,4.321428571428571
ET-2005-5#-00000262,,,,0.48
ET-2019-8#-00000051,-0.0853762761643984,2.7241379310344827,3.655172413793104,3.72
ET-2005-5#-00000537,,,,1.1176470588235294
ET-2000-4#-00000128,,,,0.0
ET-2000-4#-00000129,,,,0.0
ET-2011-6#-00000404,-3.2877624483456875,1.6206896551724137,1.206896551724138,1.4375
ET-2016-7#-00000119,-2.8770236049206046,2.0384615384615383,1.4615384615384617,2.909090909090909
ET-2016-7#-00000076,-3.171964603246685,1.8636363636363635,1.1363636363636365,1.238095238095238
ET-2019-8#-00000223,-2.1073518375679865,2.5172413793103448,2.2413793103448274,4.407407407407407
ET-2011-6#-00000149,-1.7259053876636614,1.8888888888888888,2.2222222222222223,1.3076923076923077
ET-2000-4#-00000176,,,,0.2285714285714285
ET-2011-6#-00000010,-1.8984442189394388,1.4482758620689655,4.724137931034483,1.7666666666666666
ET-2016-7#-00000420,-2.187676598297387,1.5357142857142858,4.0,1.2916666666666667
ET-2016-7#-00000338,-3.117146696222307,2.076923076923077,1.0,0.6363636363636364
ET-2019-8#-00000189,-3.068854939630038,1.8666666666666667,1.2,4.157894736842105
ET-2000-4#-00000368,,,,0.3666666666666666
ET-2000-4#-00000360,,,,0.3461538461538461
ET-2000-4#-00000361,,,,0.25
ET-2019-8#-00000198,-1.88651307626219,1.933333333333333,4.0,3.04
ET-2016-7#-00000450,-2.7207225507514474,2.0,1.5555555555555556,0.8461538461538461
ET-2011-6#-00000610,-2.756218809594228,1.875,2.1666666666666665,0.7142857142857143
ET-2019-8#-00000215,-3.1668160417357867,1.8928571428571428,1.0,0.64
ET-2005-5#-00000010,,,,5.324324324324325
ET-2005-5#-00000324,,,,0.2
ET-2000-4#-00000190,,,,0.2142857142857142
ET-2016-7#-00000303,-2.4304937346253457,1.3214285714285714,3.321428571428572,1.5416666666666667
ET-2019-8#-00000106,-3.310557525158187,1.8,1.0,1.2758620689655171
ET-2005-5#-00000443,,,,4.8
ET-2005-5#-00000290,,,,0.0
ET-2005-5#-00000033,,,,1.7647058823529411
ET-2016-7#-00000156,-3.058259540784374,1.1785714285714286,2.2857142857142856,2.0
ET-2016-7#-00000591,-2.882542239537848,1.851851851851852,1.6296296296296295,2.782608695652174
ET-2011-6#-00000324,-3.068812713111815,2.0,1.206896551724138,3.3793103448275863
ET-2000-4#-00000309,,,,0.5
ET-2000-4#-00000170,,,,0.972972972972973
ET-2000-4#-00000266,,,,0.0
ET-2016-7#-00000585,-3.197669813091191,1.1153846153846154,2.269230769230769,0.0
ET-2000-4#-00000064,,,,0.9285714285714286
ET-2011-6#-00000189,-1.3235698368412852,2.7,4.266666666666667,1.08
ET-2000-4#-00000342,,,,0.3214285714285714
