DHSID_EA,asset_index
ET-2005-5#-00000260,
ET-2011-6#-00000604,-3.509771267371448
ET-2016-7#-00000138,-3.3362386723193964
ET-2016-7#-00000630,-2.5827402494594702
ET-2011-6#-00000292,1.5796532242957064
ET-2011-6#-00000638,-2.1673022144355323
ET-2005-5#-00000190,
ET-2016-7#-00000103,-2.261589045735516
ET-2019-8#-00000206,-2.018937545698269
ET-2016-7#-00000435,-2.594347040562474
ET-2011-6#-00000447,-3.158634836250396
ET-2016-7#-00000508,-2.8019726365282893
ET-2000-4#-00000080,
ET-2016-7#-00000188,-2.052185638818774
ET-2005-5#-00000388,
ET-2005-5#-00000205,
ET-2016-7#-00000226,-1.7389478953319752
ET-2000-4#-00000030,
ET-2016-7#-00000298,-3.5312053545455315
ET-2005-5#-00000203,
ET-2019-8#-00000025,-0.8311587862393276
ET-2016-7#-00000449,-0.662996276247538
ET-2000-4#-00000223,
ET-2005-5#-00000314,
ET-2019-8#-00000132,-2.1558539742709333
ET-2019-8#-00000124,-1.435457199506982
ET-2019-8#-00000142,-2.383554963077594
ET-2019-8#-00000125,-2.90324607459223
ET-2019-8#-00000058,-2.4591548233924474
ET-2019-8#-00000078,-3.3524071881454285
ET-2005-5#-00000528,
ET-2005-5#-00000262,
ET-2019-8#-00000051,-0.0853762761643984
ET-2005-5#-00000537,
ET-2000-4#-00000128,
ET-2011-6#-00000404,-3.2877624483456875
ET-2016-7#-00000119,-2.8770236049206046
ET-2016-7#-00000076,-3.171964603246685
ET-2019-8#-00000223,-2.1073518375679865
ET-2011-6#-00000149,-1.7259053876636614
ET-2000-4#-00000176,
ET-2011-6#-00000010,-1.8984442189394388
ET-2016-7#-00000420,-2.187676598297387
ET-2019-8#-00000189,-3.068854939630038
ET-2000-4#-00000360,
ET-2000-4#-00000361,
ET-2019-8#-00000198,-1.88651307626219
ET-2016-7#-00000450,-2.7207225507514474
ET-2011-6#-00000610,-2.756218809594228
ET-2019-8#-00000215,-3.1668160417357867
ET-2011-6#-00000049,-3.687481809727336
ET-2005-5#-00000010,
ET-2005-5#-00000324,
ET-2000-4#-00000190,
ET-2019-8#-00000106,-3.310557525158187
ET-2005-5#-00000443,
ET-2005-5#-00000290,
ET-2005-5#-00000033,
ET-2016-7#-00000479,-2.3454550416957725
ET-2016-7#-00000591,-2.882542239537848
ET-2016-7#-00000618,-2.854949965529886
ET-2011-6#-00000324,-3.068812713111815
ET-2000-4#-00000309,
ET-2000-4#-00000170,
ET-2011-6#-00000009,1.020945533173879
ET-2005-5#-00000311,
ET-2019-8#-00000126,-2.725502448284957
ET-2005-5#-00000176,
ET-2005-5#-00000230,
ET-2019-8#-00000128,-3.428507157678989
ET-2011-6#-00000299,-2.804744989226294
ET-2011-6#-00000482,-2.509008208237876
ET-2011-6#-00000199,-1.905062844541881
ET-2011-6#-00000210,-1.1304164826492773
ET-2011-6#-00000381,-2.292897970362079
ET-2011-6#-00000546,1.5161226139380013
ET-2005-5#-00000448,
ET-2005-5#-00000008,
ET-2019-8#-00000146,-1.328012478013777
ET-2011-6#-00000365,-0.8164969687201243
ET-2000-4#-00000459,
ET-2016-7#-00000077,-2.572863857146612
ET-2011-6#-00000472,-1.2446845619532207
ET-2011-6#-00000378,-1.878740480747728
ET-2000-4#-00000279,
ET-2000-4#-00000266,
ET-2016-7#-00000585,-3.197669813091191
ET-2000-4#-00000064,
ET-2011-6#-00000189,-1.3235698368412852
ET-2000-4#-00000377,
ET-2000-4#-00000342,
ET-2016-7#-00000337,-3.0514315553248066
ET-2011-6#-00000552,-3.5080596167216576
ET-2005-5#-00000519,
ET-2011-6#-00000382,-3.304117962848194
ET-2011-6#-00000008,-2.5634303024397136
ET-2011-6#-00000026,-3.113007385790376
ET-2011-6#-00000434,-2.675976126176656
ET-2005-5#-00000534,
ET-2011-6#-00000556,0.9536390772973408
ET-2016-7#-00000147,1.4504776732587412
ET-2016-7#-00000073,0.7110099242910652
ET-2000-4#-00000425,
ET-2016-7#-00000289,-3.684876981376184
ET-2016-7#-00000286,0.4190720900126018
ET-2011-6#-00000075,-2.4559542759946646
ET-2011-6#-00000093,-2.5322012223535504
ET-2016-7#-00000248,-2.718297519006689
ET-2016-7#-00000213,-2.73960701343098
ET-2016-7#-00000004,-3.809200656801806
ET-2016-7#-00000481,-2.9271050594492185
ET-2011-6#-00000091,-3.4856483543502943
ET-2000-4#-00000300,
