DHSID_EA,sanitation_index
ET-2016-7#-00000004,1.0
ET-2016-7#-00000138,1.619047619047619
ET-2011-6#-00000299,1.2333333333333334
ET-2005-5#-00000269,
ET-2005-5#-00000395,
ET-2000-4#-00000179,
ET-2016-7#-00000142,2.1785714285714284
ET-2019-8#-00000095,1.7666666666666666
ET-2000-4#-00000177,
ET-2005-5#-00000328,
ET-2011-6#-00000301,2.103448275862069
ET-2016-7#-00000447,2.142857142857143
ET-2016-7#-00000586,1.962962962962963
ET-2019-8#-00000097,2.033333333333333
ET-2016-7#-00000479,1.3214285714285714
ET-2005-5#-00000243,
ET-2011-6#-00000292,3.827586206896552
ET-2005-5#-00000522,
ET-2005-5#-00000190,
ET-2011-6#-00000638,1.6428571428571428
ET-2005-5#-00000032,
ET-2016-7#-00000290,3.125
ET-2016-7#-00000040,2.25
ET-2019-8#-00000175,1.7
ET-2016-7#-00000522,1.4615384615384617
ET-2000-4#-00000240,
ET-2005-5#-00000363,
ET-2016-7#-00000103,1.962962962962963
ET-2019-8#-00000213,1.0
ET-2019-8#-00000206,1.0769230769230769
ET-2000-4#-00000403,
ET-2000-4#-00000414,
ET-2016-7#-00000435,1.037037037037037
ET-2011-6#-00000447,1.0
ET-2005-5#-00000334,
ET-2005-5#-00000014,
ET-2019-8#-00000102,1.8333333333333333
ET-2016-7#-00000438,1.5
ET-2016-7#-00000524,2.071428571428572
ET-2016-7#-00000213,1.4444444444444444
ET-2005-5#-00000031,
ET-2019-8#-00000103,1.793103448275862
ET-2016-7#-00000562,1.4
ET-2011-6#-00000017,1.5333333333333334
ET-2011-6#-00000145,2.1666666666666665
ET-2005-5#-00000136,
ET-2000-4#-00000201,
ET-2005-5#-00000471,
ET-2005-5#-00000194,
ET-2019-8#-00000159,1.4827586206896552
ET-2005-5#-00000083,
ET-2019-8#-00000162,1.3103448275862069
ET-2016-7#-00000320,1.5416666666666667
ET-2011-6#-00000058,1.5714285714285714
ET-2016-7#-00000183,2.217391304347826
ET-2019-8#-00000149,2.033333333333333
ET-2016-7#-00000285,1.9285714285714288
ET-2016-7#-00000508,1.875
ET-2000-4#-00000300,
ET-2011-6#-00000204,1.7407407407407407
ET-2011-6#-00000157,1.6785714285714286
ET-2019-8#-00000169,1.827586206896552
ET-2016-7#-00000621,1.8888888888888888
ET-2011-6#-00000607,1.1923076923076923
ET-2016-7#-00000075,1.0
ET-2011-6#-00000493,1.0
ET-2016-7#-00000037,1.0
ET-2011-6#-00000231,1.0
ET-2016-7#-00000253,1.3333333333333333
ET-2016-7#-00000268,3.6296296296296298
ET-2019-8#-00000006,1.0
ET-2005-5#-00000268,
ET-2005-5#-00000123,
ET-2011-6#-00000077,1.3793103448275863
ET-2016-7#-00000188,1.6428571428571428
ET-2016-7#-00000296,1.3571428571428572
ET-2016-7#-00000604,1.6071428571428572
ET-2019-8#-00000010,1.6666666666666667
ET-2000-4#-00000045,
ET-2016-7#-00000081,3.25
ET-2019-8#-00000013,1.6
ET-2005-5#-00000388,
ET-2005-5#-00000205,
ET-2005-5#-00000064,
ET-2011-6#-00000636,1.3103448275862069
ET-2005-5#-00000039,
ET-2016-7#-00000226,1.2692307692307692
ET-2000-4#-00000030,
ET-2016-7#-00000298,1.2222222222222223
ET-2005-5#-00000203,
ET-2019-8#-00000025,1.6071428571428572
ET-2005-5#-00000500,
ET-2011-6#-00000226,1.3793103448275863
ET-2016-7#-00000449,2.074074074074074
ET-2005-5#-00000399,
ET-2000-4#-00000043,
ET-2000-4#-00000223,
ET-2000-4#-00000219,
ET-2000-4#-00000421,
ET-2000-4#-00000432,
ET-2000-4#-00000218,
ET-2000-4#-00000224,
ET-2011-6#-00000358,1.896551724137931
ET-2005-5#-00000314,
ET-2005-5#-00000174,
ET-2000-4#-00000222,
ET-2016-7#-00000372,1.7142857142857142
ET-2005-5#-00000407,
ET-2011-6#-00000210,2.2222222222222223
ET-2000-4#-00000247,
ET-2000-4#-00000244,
ET-2011-6#-00000561,3.5517241379310347
ET-2019-8#-00000129,1.0
ET-2019-8#-00000133,1.0
ET-2000-4#-00000086,
ET-2016-7#-00000052,1.5185185185185186
ET-2019-8#-00000134,1.3571428571428572
ET-2019-8#-00000132,1.3214285714285714
ET-2019-8#-00000124,1.9642857142857144
ET-2019-8#-00000139,2.5172413793103448
ET-2016-7#-00000077,1.0
ET-2019-8#-00000140,2.037037037037037
ET-2016-7#-00000543,2.125
ET-2019-8#-00000135,1.0434782608695652
ET-2016-7#-00000085,2.9444444444444446
ET-2016-7#-00000146,1.0
ET-2000-4#-00000268,
ET-2016-7#-00000480,1.0
ET-2019-8#-00000059,1.5517241379310345
ET-2019-8#-00000078,1.7666666666666666
ET-2005-5#-00000528,
ET-2011-6#-00000615,2.107142857142857
ET-2016-7#-00000478,1.6785714285714286
ET-2000-4#-00000108,
ET-2016-7#-00000410,1.8928571428571428
ET-2011-6#-00000344,1.862068965517241
ET-2005-5#-00000537,
ET-2011-6#-00000001,1.2333333333333334
ET-2005-5#-00000142,
ET-2000-4#-00000128,
ET-2000-4#-00000129,
ET-2000-4#-00000137,
ET-2000-4#-00000287,
ET-2011-6#-00000330,3.0454545454545454
ET-2000-4#-00000147,
ET-2005-5#-00000299,
ET-2011-6#-00000243,1.44
ET-2011-6#-00000404,1.6206896551724137
ET-2016-7#-00000154,2.4074074074074074
ET-2016-7#-00000119,2.0384615384615383
ET-2016-7#-00000076,1.8636363636363635
ET-2011-6#-00000477,1.5862068965517242
ET-2019-8#-00000223,2.5172413793103448
ET-2016-7#-00000262,1.7857142857142858
ET-2000-4#-00000316,
ET-2011-6#-00000149,1.8888888888888888
ET-2000-4#-00000200,
ET-2000-4#-00000317,
ET-2019-8#-00000205,2.466666666666667
ET-2016-7#-00000271,2.0
ET-2000-4#-00000176,
ET-2016-7#-00000174,1.6538461538461535
ET-2011-6#-00000184,1.5862068965517242
ET-2011-6#-00000010,1.4482758620689655
ET-2005-5#-00000519,
ET-2016-7#-00000297,2.217391304347826
ET-2005-5#-00000514,
ET-2016-7#-00000308,3.08
ET-2011-6#-00000234,1.5
