DHSID_EA,water_index
ET-2016-7#-00000004,1.0
ET-2016-7#-00000138,1.1428571428571428
ET-2011-6#-00000299,2.9
ET-2005-5#-00000269,
ET-2005-5#-00000395,
ET-2000-4#-00000179,
ET-2016-7#-00000142,2.2857142857142856
ET-2019-8#-00000095,1.3666666666666667
ET-2000-4#-00000177,
ET-2005-5#-00000328,
ET-2011-6#-00000301,1.6551724137931034
ET-2016-7#-00000447,2.357142857142857
ET-2016-7#-00000586,2.6666666666666665
ET-2019-8#-00000097,3.2
ET-2016-7#-00000479,3.321428571428572
ET-2005-5#-00000243,
ET-2011-6#-00000292,5.0
ET-2005-5#-00000522,
ET-2005-5#-00000190,
ET-2011-6#-00000638,3.642857142857143
ET-2005-5#-00000032,
ET-2016-7#-00000290,5.0
ET-2016-7#-00000040,3.0357142857142856
ET-2019-8#-00000175,3.2333333333333334
ET-2016-7#-00000522,4.038461538461538
ET-2000-4#-00000240,
ET-2005-5#-00000363,
ET-2016-7#-00000103,3.111111111111111
ET-2019-8#-00000213,3.4
ET-2019-8#-00000206,3.807692307692308
ET-2000-4#-00000403,
ET-2000-4#-00000414,
ET-2016-7#-00000435,3.7777777777777777
ET-2011-6#-00000447,2.5
ET-2005-5#-00000334,
ET-2005-5#-00000014,
ET-2019-8#-00000102,1.8
ET-2016-7#-00000438,3.5
ET-2016-7#-00000524,4.821428571428571
ET-2016-7#-00000213,2.333333333333333
ET-2005-5#-00000031,
ET-2019-8#-00000103,1.6206896551724137
ET-2016-7#-00000562,1.56
ET-2011-6#-00000017,4.733333333333333
ET-2011-6#-00000145,4.333333333333333
ET-2005-5#-00000136,
ET-2000-4#-00000201,
ET-2005-5#-00000471,
ET-2005-5#-00000194,
ET-2019-8#-00000159,3.689655172413793
ET-2005-5#-00000083,
ET-2019-8#-00000162,3.7586206896551726
ET-2016-7#-00000320,2.5416666666666665
ET-2011-6#-00000058,1.9642857142857144
ET-2016-7#-00000183,3.130434782608696
ET-2019-8#-00000149,4.0
ET-2016-7#-00000285,3.0
ET-2016-7#-00000508,1.9166666666666667
ET-2000-4#-00000300,
ET-2011-6#-00000204,2.259259259259259
ET-2011-6#-00000157,2.9642857142857144
ET-2019-8#-00000169,2.2413793103448274
ET-2016-7#-00000621,1.2962962962962965
ET-2011-6#-00000607,1.0
ET-2016-7#-00000075,1.0
ET-2011-6#-00000493,2.2413793103448274
ET-2016-7#-00000037,1.1153846153846154
ET-2011-6#-00000231,2.5
ET-2016-7#-00000253,2.814814814814815
ET-2016-7#-00000268,4.518518518518518
ET-2019-8#-00000006,3.357142857142857
ET-2005-5#-00000268,
ET-2005-5#-00000123,
ET-2011-6#-00000077,1.5862068965517242
ET-2016-7#-00000188,2.607142857142857
ET-2016-7#-00000296,2.4285714285714284
ET-2016-7#-00000604,2.321428571428572
ET-2019-8#-00000010,3.888888888888889
ET-2000-4#-00000045,
ET-2016-7#-00000081,4.964285714285714
ET-2019-8#-00000013,4.0
ET-2005-5#-00000388,
ET-2005-5#-00000205,
ET-2005-5#-00000064,
ET-2011-6#-00000636,2.862068965517241
ET-2005-5#-00000039,
ET-2016-7#-00000226,4.384615384615385
ET-2000-4#-00000030,
ET-2016-7#-00000298,1.0740740740740742
ET-2005-5#-00000203,
ET-2019-8#-00000025,4.0
ET-2005-5#-00000500,
ET-2011-6#-00000226,1.4482758620689655
ET-2016-7#-00000449,4.851851851851852
ET-2005-5#-00000399,
ET-2000-4#-00000043,
ET-2000-4#-00000223,
ET-2000-4#-00000219,
ET-2000-4#-00000421,
ET-2000-4#-00000432,
ET-2000-4#-00000218,
ET-2000-4#-00000224,
ET-2011-6#-00000358,1.0
ET-2005-5#-00000314,
ET-2005-5#-00000174,
ET-2000-4#-00000222,
ET-2016-7#-00000372,1.0
ET-2005-5#-00000407,
ET-2011-6#-00000210,5.0
ET-2000-4#-00000247,
ET-2000-4#-00000244,
ET-2011-6#-00000561,4.793103448275862
ET-2019-8#-00000129,3.857142857142857
ET-2019-8#-00000133,3.321428571428572
ET-2000-4#-00000086,
ET-2016-7#-00000052,2.259259259259259
ET-2019-8#-00000134,1.9642857142857144
ET-2019-8#-00000132,4.0
ET-2019-8#-00000124,3.1785714285714284
ET-2019-8#-00000139,3.1724137931034484
ET-2016-7#-00000077,3.875
ET-2019-8#-00000140,2.7777777777777777
ET-2016-7#-00000543,4.0
ET-2019-8#-00000135,3.739130434782609
ET-2016-7#-00000085,3.8333333333333335
ET-2016-7#-00000146,4.0
ET-2000-4#-00000268,
ET-2016-7#-00000480,1.15
ET-2019-8#-00000059,3.896551724137931
ET-2019-8#-00000078,1.0
ET-2005-5#-00000528,
ET-2011-6#-00000615,4.035714285714286
ET-2016-7#-00000478,1.25
ET-2000-4#-00000108,
ET-2016-7#-00000410,2.642857142857143
ET-2011-6#-00000344,4.586206896551724
ET-2005-5#-00000537,
ET-2011-6#-00000001,1.2333333333333334
ET-2005-5#-00000142,
ET-2000-4#-00000128,
ET-2000-4#-00000129,
ET-2000-4#-00000137,
ET-2000-4#-00000287,
ET-2011-6#-00000330,4.954545454545454
ET-2000-4#-00000147,
ET-2005-5#-00000299,
ET-2011-6#-00000243,1.68
ET-2011-6#-00000404,1.206896551724138
ET-2016-7#-00000154,3.5185185185185186
ET-2016-7#-00000119,1.4615384615384617
ET-2016-7#-00000076,1.1363636363636365
ET-2011-6#-00000477,1.103448275862069
ET-2019-8#-00000223,2.2413793103448274
ET-2016-7#-00000262,3.5357142857142856
ET-2000-4#-00000316,
ET-2011-6#-00000149,2.2222222222222223
ET-2000-4#-00000200,
ET-2000-4#-00000317,
ET-2019-8#-00000205,3.3
ET-2016-7#-00000271,1.4615384615384617
ET-2000-4#-00000176,
ET-2016-7#-00000174,3.5
ET-2011-6#-00000184,4.724137931034483
ET-2011-6#-00000010,4.724137931034483
ET-2005-5#-00000519,
ET-2016-7#-00000297,3.652173913043478
ET-2005-5#-00000514,
ET-2016-7#-00000308,5.0
ET-2011-6#-00000234,1.1071428571428572
ET-2005-5#-00000080,
ET-2005-5#-00000040,
ET-2005-5#-00000280,
ET-2000-4#-00000346,
ET-2016-7#-00000034,1.2142857142857142
ET-2011-6#-00000610,2.1666666666666665
ET-2019-8#-00000215,1.0
ET-2016-7#-00000337,1.7777777777777777
ET-2016-7#-00000376,1.0
ET-2005-5#-00000104,
ET-2019-8#-00000021,4.111111111111111
ET-2005-5#-00000365,
ET-2016-7#-00000418,5.0
ET-2000-4#-00000172,
