DHSID_EA,asset_index
GH-2016-7Z-00000023,1.6777744396842662
GH-2008-5Z-00000115,1.6167924020546254
GH-2003-4Z-00000127,
GH-1998-4#-00000119,
GH-1998-4#-00000088,
GH-2014-7#-00000250,2.4390553918388407
GH-2019-8#-00000047,2.764710759249407
GH-2014-7#-00000178,1.8624853372701
GH-2008-5Z-00000019,0.5538331876555894
GH-2003-4Z-00000176,
GH-2014-7#-00000280,-0.3766340458645001
GH-1998-4#-00000107,
GH-2003-4Z-00000350,
GH-1998-4#-00000014,
GH-2008-5Z-00000085,1.4574711013390056
GH-2019-8#-00000023,0.4211764961273975
GH-2003-4Z-00000109,
GH-2019-8#-00000011,0.0961604974269783
GH-2014-7#-00000112,1.143977515242374
GH-2019-8#-00000049,2.35895139013944
GH-2003-4Z-00000123,
GH-2008-5Z-00000086,2.2533219113325824
GH-2016-7Z-00000149,-0.8255702544620238
GH-2008-5Z-00000045,1.1388661755987015
GH-2003-4Z-00000141,
GH-2003-4Z-00000067,
GH-2016-7Z-00000057,2.0010403799159664
GH-2003-4Z-00000162,
GH-2003-4Z-00000300,
GH-2019-8#-00000135,2.2425826753328333
GH-1998-4#-00000109,
GH-2014-7#-00000078,1.6061583509541757
GH-2016-7Z-00000131,1.1431116391421463
GH-2016-7Z-00000067,1.7284119576383312
GH-2008-5Z-00000204,-1.0229082132300067
GH-2003-4Z-00000241,
GH-2008-5Z-00000331,1.723314170533808
GH-1998-4#-00000270,
