DHSID_EA,water_index
GH-2016-7Z-00000023,4.714285714285714
GH-2003-4Z-00000309,
GH-2019-8#-00000020,3.2333333333333334
GH-2014-7#-00000269,5.0
GH-1998-4#-00000208,
GH-1998-4#-00000127,
GH-2014-7#-00000178,5.0
GH-2008-5Z-00000123,5.0
GH-2008-5Z-00000206,5.0
GH-2008-5Z-00000117,5.0
GH-2014-7#-00000070,1.6071428571428572
GH-2014-7#-00000280,4.0
GH-2003-4Z-00000223,
GH-2014-7#-00000116,5.0
GH-2003-4Z-00000224,
GH-1998-4#-00000014,
GH-2003-4Z-00000034,
GH-2014-7#-00000112,5.0
GH-2019-8#-00000001,4.2
GH-2019-8#-00000049,5.0
GH-2008-5Z-00000086,5.0
GH-2016-7Z-00000149,3.066666666666667
GH-2008-5Z-00000045,4.0
GH-1998-4#-00000203,
GH-1998-4#-00000110,
GH-2003-4Z-00000162,
GH-1998-4#-00000063,
GH-2003-4Z-00000300,
GH-2019-8#-00000141,4.344827586206897
GH-1998-4#-00000258,
GH-2008-5Z-00000204,3.0
GH-2003-4Z-00000241,
GH-2008-5Z-00000104,5.0
