DHSID_EA,sanitation_index
GU-2015-7#-00000182,4.916666666666667
GU-2015-7#-00000614,5.0
GU-2015-7#-00000023,5.0
GU-2015-7#-00000680,3.583333333333333
GU-2015-7#-00000677,3.68
GU-2015-7#-00000655,2.25
GU-2015-7#-00000110,4.92
GU-2015-7#-00000469,5.0
GU-2015-7#-00000722,5.0
GU-2015-7#-00000651,4.92
GU-2015-7#-00000209,4.04
GU-2015-7#-00000170,4.769230769230769
GU-2015-7#-00000602,4.653846153846154
GU-2015-7#-00000619,3.230769230769231
GU-2015-7#-00000847,4.346153846153846
GU-2015-7#-00000057,3.769230769230769
GU-2015-7#-00000681,3.1666666666666665
GU-2015-7#-00000456,4.166666666666667
GU-2015-7#-00000514,3.227272727272727
GU-2015-7#-00000861,3.96
GU-2015-7#-00000026,5.0
GU-2015-7#-00000515,3.1538461538461537
GU-2015-7#-00000699,4.875
GU-2015-7#-00000050,5.0
GU-2015-7#-00000240,3.615384615384616
GU-2015-7#-00000633,2.88
GU-2015-7#-00000679,2.36
GU-2015-7#-00000524,4.08
GU-2015-7#-00000168,4.538461538461538
GU-2015-7#-00000015,5.0
GU-2015-7#-00000852,4.76
GU-2015-7#-00000845,5.0
GU-2015-7#-00000199,4.76
GU-2015-7#-00000674,2.833333333333333
GU-2015-7#-00000678,3.2916666666666665
GU-2015-7#-00000027,5.0
GU-2015-7#-00000650,3.16
GU-2015-7#-00000474,3.615384615384616
GU-2015-7#-00000649,3.3076923076923075
GU-2015-7#-00000478,4.76
GU-2015-7#-00000008,4.923076923076923
GU-2015-7#-00000661,4.565217391304348
GU-2015-7#-00000361,3.6538461538461537
GU-2015-7#-00000660,2.6923076923076925
GU-2015-7#-00000550,4.461538461538462
GU-2015-7#-00000104,3.72
GU-2015-7#-00000280,3.730769230769231
GU-2015-7#-00000381,4.538461538461538
GU-2015-7#-00000567,4.857142857142857
GU-2015-7#-00000500,3.142857142857143
