DHSID_EA,sanitation_index
HT-2012-6#-00000371,2.206896551724138
HT-2016-7#-00000379,1.3666666666666667
HT-2016-7#-00000048,1.7666666666666666
HT-2000-4#-00000131,
HT-2000-4#-00000047,
HT-2012-6#-00000315,3.2142857142857144
HT-2000-4#-00000160,
HT-2012-6#-00000106,1.8
HT-2000-4#-00000278,
HT-2016-7#-00000298,2.333333333333333
HT-2012-6#-00000262,1.3666666666666667
HT-2012-6#-00000443,2.0
HT-2012-6#-00000431,3.321428571428572
HT-2000-4#-00000230,
HT-2006-5#-00000030,1.96875
HT-2006-5#-00000101,1.1470588235294117
HT-2012-6#-00000399,1.6333333333333333
HT-2012-6#-00000445,1.827586206896552
HT-2012-6#-00000342,2.8
HT-2006-5#-00000032,1.8823529411764703
HT-2016-7#-00000185,3.0
HT-2012-6#-00000098,3.5172413793103448
HT-2012-6#-00000366,2.7142857142857144
HT-2016-7#-00000277,2.5
