DHSID_EA,water_index
KE-2014-7#-00000235,4.458333333333333
KE-2014-7#-00000055,4.809523809523809
KE-2008-5#-00000173,5.0
KE-2014-7#-00000158,5.0
KE-2014-7#-00000452,1.1764705882352942
KE-2014-7#-00000423,4.76
KE-2014-7#-00000121,4.96
KE-2014-7#-00000651,3.260869565217391
KE-2014-7#-00001313,4.45
KE-2008-5#-00000002,4.083333333333333
KE-2008-5#-00000023,4.6
KE-2014-7#-00001320,3.84
KE-2014-7#-00001142,4.9523809523809526
KE-2014-7#-00000652,3.0
KE-2014-7#-00000594,1.16
KE-2015-7Z-00000160,1.4
KE-2014-7#-00001340,2.0434782608695654
KE-2014-7#-00000569,4.652173913043479
KE-2014-7#-00001523,1.0
KE-2014-7#-00000006,4.458333333333333
KE-2015-7Z-00000159,1.16
KE-2015-7Z-00000097,1.206896551724138
KE-2014-7#-00001397,4.4
KE-2014-7#-00001603,4.818181818181818
KE-2014-7#-00000172,2.76
KE-2014-7#-00001287,4.833333333333333
KE-2014-7#-00001395,3.9565217391304346
KE-2008-5#-00000142,5.0
KE-2015-7Z-00000084,4.678571428571429
KE-2015-7Z-00000015,4.620689655172414
KE-2014-7#-00001095,1.0
KE-2014-7#-00000033,5.0
KE-2014-7#-00000043,4.809523809523809
KE-2014-7#-00001035,1.0
KE-2014-7#-00000615,4.0
KE-2014-7#-00000425,3.0416666666666665
KE-2008-5#-00000053,1.72
KE-2015-7Z-00000078,4.954545454545454
KE-2015-7Z-00000017,5.0
KE-2014-7#-00000233,5.0
KE-2014-7#-00001326,5.0
KE-2014-7#-00001017,1.4210526315789471
KE-2008-5#-00000046,2.1
KE-2008-5#-00000309,4.166666666666667
KE-2014-7#-00001325,5.0
KE-2014-7#-00001294,2.375
KE-2014-7#-00000347,2.7142857142857144
KE-2008-5#-00000156,1.826086956521739
KE-2014-7#-00000082,4.52
KE-2014-7#-00001104,5.0
KE-2015-7Z-00000197,5.0
KE-2008-5#-00000069,1.4
KE-2014-7#-00000385,4.863636363636363
KE-2014-7#-00000008,5.0
KE-2014-7#-00000084,5.0
KE-2008-5#-00000085,4.0
KE-2008-5#-00000363,3.28
KE-2014-7#-00001582,4.125
KE-2014-7#-00000306,4.92
