DHSID_EA,sanitation_index
KH-2005-5#-00000004,2.272727272727273
KH-2010-6#-00000443,2.107142857142857
KH-2005-5#-00000149,1.2222222222222223
KH-2014-7#-00000227,4.2
KH-2014-7#-00000448,5.0
KH-2000-4#-00000470,
KH-2014-7#-00000571,1.7142857142857142
KH-2010-6#-00000466,2.5
KH-2010-6#-00000545,1.6296296296296295
KH-2000-4#-00000174,
KH-2014-7#-00000231,5.0
KH-2000-4#-00000429,
KH-2010-6#-00000343,5.0
KH-2014-7#-00000224,5.0
KH-2010-6#-00000021,1.1666666666666667
KH-2000-4#-00000408,
KH-2010-6#-00000449,2.5384615384615383
KH-2014-7#-00000329,3.142857142857143
KH-2005-5#-00000289,1.1666666666666667
KH-2010-6#-00000450,1.9166666666666667
KH-2014-7#-00000450,1.32
KH-2000-4#-00000375,
KH-2010-6#-00000270,4.818181818181818
KH-2000-4#-00000223,
KH-2014-7#-00000595,4.833333333333333
KH-2010-6#-00000604,3.08
KH-2000-4#-00000357,
KH-2005-5#-00000192,1.2592592592592593
KH-2014-7#-00000364,2.4285714285714284
KH-2005-5#-00000007,2.333333333333333
KH-2000-4#-00000279,
KH-2014-7#-00000551,2.0
KH-2010-6#-00000544,4.555555555555555
KH-2000-4#-00000440,
KH-2010-6#-00000462,3.5
KH-2014-7#-00000515,2.357142857142857
KH-2005-5#-00000280,4.809523809523809
KH-2010-6#-00000301,1.7037037037037035
KH-2005-5#-00000437,4.92
KH-2005-5#-00000034,1.0
KH-2010-6#-00000475,1.0
KH-2014-7#-00000534,4.913043478260869
KH-2005-5#-00000081,1.0
KH-2005-5#-00000094,1.0
KH-2000-4#-00000399,
KH-2000-4#-00000205,
KH-2000-4#-00000437,
KH-2010-6#-00000352,1.3571428571428572
KH-2010-6#-00000281,1.0
KH-2005-5#-00000092,2.4545454545454546
KH-2014-7#-00000599,2.5384615384615383
KH-2014-7#-00000439,1.7142857142857142
KH-2005-5#-00000395,1.1538461538461535
KH-2005-5#-00000064,2.0
KH-2014-7#-00000005,5.0
KH-2005-5#-00000470,1.0
KH-2005-5#-00000425,1.0740740740740742
KH-2010-6#-00000077,2.074074074074074
KH-2014-7#-00000478,3.2222222222222223
KH-2010-6#-00000304,1.3571428571428572
KH-2010-6#-00000611,4.666666666666667
KH-2005-5#-00000107,3.5
KH-2005-5#-00000544,1.608695652173913
KH-2005-5#-00000083,3.037037037037037
KH-2010-6#-00000099,1.08
KH-2005-5#-00000191,1.7777777777777777
KH-2000-4#-00000069,
KH-2000-4#-00000057,
KH-2014-7#-00000091,1.0
KH-2005-5#-00000237,1.7037037037037035
KH-2014-7#-00000282,4.916666666666667
KH-2005-5#-00000378,1.8571428571428568
KH-2005-5#-00000357,1.0740740740740742
KH-2010-6#-00000555,1.2857142857142858
KH-2014-7#-00000391,4.428571428571429
KH-2005-5#-00000208,4.125
KH-2014-7#-00000075,5.0
KH-2000-4#-00000023,
KH-2000-4#-00000215,
KH-2014-7#-00000317,2.142857142857143
KH-2000-4#-00000313,
KH-2005-5#-00000330,5.0
KH-2005-5#-00000130,1.0
KH-2010-6#-00000476,1.0
KH-2005-5#-00000162,1.1428571428571428
KH-2005-5#-00000522,1.0
KH-2014-7#-00000358,1.5714285714285714
KH-2010-6#-00000351,1.0
KH-2014-7#-00000543,3.25
