DHSID_EA,asset_index,sanitation_index,water_index,women_edu
LS-2014-7#-00000292,-1.5953426007890754,2.608695652173913,2.9130434782608696,4.916666666666667
LS-2004-4#-00000301,,,,6.5
LS-2009-6#-00000014,0.0090267843248057,2.375,5.0,9.31578947368421
LS-2009-6#-00000250,-0.1935251978114274,2.4,4.4,10.157894736842104
LS-2004-4#-00000309,,,,5.5
LS-2009-6#-00000207,-2.849610277016405,1.0476190476190477,3.142857142857143,6.5625
LS-2014-7#-00000127,-0.6737885497517576,2.380952380952381,2.8095238095238093,7.0
LS-2009-6#-00000227,-1.1988107266535497,1.9090909090909087,3.090909090909091,7.857142857142857
LS-2009-6#-00000229,-1.7219425976875262,1.1304347826086956,4.739130434782608,4.842105263157895
LS-2014-7#-00000120,-1.2939025319143025,1.96,4.24,7.0625
LS-2004-4#-00000338,,,,6.666666666666667
LS-2014-7#-00000144,-3.175151004374169,1.0,2.32,5.476190476190476
LS-2009-6#-00000087,0.407772899669082,2.625,5.0,7.478260869565218
LS-2009-6#-00000182,0.2648182239257721,2.2916666666666665,4.333333333333333,8.275862068965518
LS-2009-6#-00000112,0.2205137497505258,3.0,5.0,8.066666666666666
LS-2009-6#-00000034,-0.0840071169473277,3.869565217391304,4.608695652173913,6.388888888888889
LS-2014-7#-00000223,-1.5663919229700871,1.9565217391304348,2.3043478260869565,7.2
LS-2009-6#-00000211,-2.878993687045245,1.04,2.68,6.333333333333333
LS-2004-4#-00000195,,,,6.043478260869565
LS-2014-7#-00000047,0.6357514672042333,3.64,4.48,6.909090909090909
LS-2004-4#-00000234,,,,6.857142857142857
LS-2004-4#-00000114,,,,7.5
LS-2014-7#-00000140,-3.640954917906175,1.0,1.0,4.818181818181818
LS-2009-6#-00000352,0.8048871594087499,3.04,5.0,8.3125
LS-2009-6#-00000226,-2.5549048589914447,1.2083333333333333,3.458333333333333,6.833333333333333
LS-2014-7#-00000199,1.126720642076185,3.8181818181818175,5.0,8.142857142857142
LS-2004-4#-00000213,,,,4.5
LS-2004-4#-00000332,,,,6.631578947368421
LS-2004-4#-00000404,,,,8.875
LS-2004-4#-00000176,,,,6.666666666666667
LS-2014-7#-00000184,-1.0981979367569226,1.96,3.2,7.666666666666667
LS-2004-4#-00000311,,,,8.375
LS-2014-7#-00000388,-0.1010261249350776,3.8,4.12,6.615384615384615
LS-2014-7#-00000190,1.081152280161077,2.869565217391304,4.869565217391305,9.375
LS-2014-7#-00000250,-1.2161075080861596,2.12,3.68,6.45
LS-2014-7#-00000041,-2.3414552753342406,1.3636363636363635,3.363636363636364,6.666666666666667
LS-2014-7#-00000217,-1.6795586225393264,1.72,4.16,5.909090909090909
LS-2014-7#-00000117,-0.3764668781338509,3.619047619047619,4.142857142857143,7.4
LS-2009-6#-00000228,-1.858251965415546,1.2083333333333333,4.291666666666667,6.842105263157895
