DHSID_EA,women_edu
MM-2016-7#-00000388,0.2083333333333333
MM-2016-7#-00000275,7.25
MM-2016-7#-00000353,0.8571428571428571
MM-2016-7#-00000064,9.041666666666666
MM-2016-7#-00000296,6.0
MM-2016-7#-00000374,5.354838709677419
MM-2016-7#-00000436,3.130434782608696
MM-2016-7#-00000393,8.545454545454545
MM-2016-7#-00000364,6.307692307692308
MM-2016-7#-00000280,2.4545454545454546
MM-2016-7#-00000377,5.173913043478261
MM-2016-7#-00000167,5.3478260869565215
MM-2016-7#-00000442,9.607142857142858
MM-2016-7#-00000264,8.909090909090908
MM-2016-7#-00000026,3.4375
MM-2016-7#-00000290,6.942857142857143
MM-2016-7#-00000395,9.743589743589745
MM-2016-7#-00000221,9.555555555555555
MM-2016-7#-00000220,7.0
MM-2016-7#-00000306,5.222222222222222
MM-2016-7#-00000270,9.419354838709678
MM-2016-7#-00000120,8.857142857142858
MM-2016-7#-00000081,7.6
MM-2016-7#-00000039,6.5
MM-2016-7#-00000047,1.8484848484848484
MM-2016-7#-00000414,5.35
MM-2016-7#-00000171,4.35
MM-2016-7#-00000332,7.151515151515151
MM-2016-7#-00000006,4.619047619047619
MM-2016-7#-00000405,8.925
MM-2016-7#-00000074,7.413793103448276
MM-2016-7#-00000211,8.31578947368421
MM-2016-7#-00000133,3.5294117647058822
MM-2016-7#-00000041,9.571428571428571
MM-2016-7#-00000043,6.806451612903226
MM-2016-7#-00000387,11.076923076923077
MM-2016-7#-00000172,5.444444444444445
MM-2016-7#-00000053,6.633333333333334
MM-2016-7#-00000018,9.258064516129032
MM-2016-7#-00000310,8.512820512820513
MM-2016-7#-00000156,8.41025641025641
MM-2016-7#-00000266,5.884615384615385
MM-2016-7#-00000288,4.738095238095238
MM-2016-7#-00000380,6.029411764705882
MM-2016-7#-00000308,9.95
MM-2016-7#-00000191,7.928571428571429
MM-2016-7#-00000090,7.0
MM-2016-7#-00000170,9.76923076923077
MM-2016-7#-00000147,8.947368421052632
MM-2016-7#-00000189,5.037037037037037
MM-2016-7#-00000215,9.971428571428572
MM-2016-7#-00000314,4.928571428571429
MM-2016-7#-00000098,6.833333333333333
MM-2016-7#-00000356,5.388888888888889
MM-2016-7#-00000088,8.945945945945946
MM-2016-7#-00000378,10.87878787878788
MM-2016-7#-00000360,9.421052631578949
MM-2016-7#-00000021,7.514285714285714
MM-2016-7#-00000438,7.361111111111111
MM-2016-7#-00000346,6.129032258064516
MM-2016-7#-00000419,0.85
MM-2016-7#-00000422,7.043478260869565
MM-2016-7#-00000207,10.416666666666666
MM-2016-7#-00000209,6.46875
MM-2016-7#-00000119,10.11111111111111
MM-2016-7#-00000302,5.25
MM-2016-7#-00000350,9.756756756756756
MM-2016-7#-00000179,5.1
MM-2016-7#-00000239,8.34375
