DHSID_EA,asset_index,sanitation_index,water_index,women_edu
MW-2012-6Z-00000069,-0.6286219775934959,2.12,4.6,5.166666666666667
MW-2015-7Z-00000379,-1.924675716365273,2.1818181818181817,3.060606060606061,3.739130434782609
MW-2014-7#-00000107,-0.4458024621604819,2.25,3.333333333333333,7.545454545454546
MW-2004-4Z-00000051,,,,8.526315789473685
MW-2010-6#-00000305,-0.6793229628265216,2.3548387096774195,3.6774193548387095,6.709677419354839
MW-2000-4#-00001090,,,,5.933333333333334
MW-2004-4Z-00000008,,,,4.111111111111111
MW-2015-7Z-00000490,-1.4397373028285794,3.0,3.4,4.25925925925926
MW-2000-4#-00003053,,,,3.1666666666666665
MW-2010-6#-00000236,-1.6607724628280909,2.057142857142857,3.057142857142857,5.666666666666667
MW-2004-4Z-00000044,,,,1.56
MW-2000-4#-00002126,,,,9.571428571428571
MW-2010-6#-00000262,-1.4339926332291535,1.933333333333333,4.166666666666667,6.44
MW-2015-7Z-00000649,1.285145227673418,3.3703703703703702,4.7407407407407405,8.857142857142858
MW-2010-6#-00000556,0.7944037275304856,2.7,5.0,8.678571428571429
MW-2010-6#-00000795,-1.7132736510022744,2.09375,3.1875,7.081081081081081
