DHSID_EA,sanitation_index
MZ-2011-6#-00000056,4.0
MZ-2011-6#-00000477,1.92
MZ-2009-5#-00000073,1.0
MZ-2009-5#-00000226,1.1578947368421053
MZ-2018-7Z-00000304,2.2857142857142856
MZ-2011-6#-00000399,1.76
MZ-2015-7#-00000203,2.375
MZ-2018-7Z-00001020,3.8461538461538463
MZ-2009-5#-00000011,2.227272727272727
MZ-2009-5#-00000111,3.210526315789474
MZ-2011-6#-00000253,2.68
MZ-2011-6#-00000545,3.0
MZ-2011-6#-00000053,3.9
MZ-2011-6#-00000115,1.15
MZ-2018-7Z-00000905,2.75
MZ-2018-7Z-00000505,3.25
MZ-2011-6#-00000027,1.76
MZ-2011-6#-00000544,1.0
MZ-2011-6#-00000543,3.0
MZ-2009-5#-00000186,1.7727272727272727
MZ-2018-7Z-00000813,1.8571428571428568
MZ-2015-7#-00000092,2.1666666666666665
MZ-2009-5#-00000219,1.3043478260869563
MZ-2015-7#-00000070,1.9166666666666667
MZ-2011-6#-00000330,3.95
MZ-2015-7#-00000059,4.208333333333333
MZ-2011-6#-00000457,1.2
MZ-2011-6#-00000244,2.0
MZ-2015-7#-00000139,3.2
MZ-2015-7#-00000177,4.166666666666667
MZ-2015-7#-00000180,3.4347826086956523
