DHSID_EA,women_edu
NG-2018-7Z-00000528,11.090909090909092
NG-2003-4Z-00000132,
NG-2003-4Z-00000054,4.695652173913044
NG-2013-6Z-00000575,9.422222222222222
NG-2008-5#-00000814,10.419354838709678
NG-2008-5#-00000251,9.789473684210526
NG-2018-7Z-00001099,12.533333333333331
NG-2013-6Z-00000835,13.242424242424242
NG-2018-7Z-00000181,10.558823529411764
NG-2010-6#-00000101,10.63157894736842
NG-2018-7Z-00000327,3.864864864864865
NG-2010-6#-00000097,4.9523809523809526
NG-2018-7Z-00000086,9.727272727272728
NG-2018-7Z-00000767,11.8125
NG-2003-4Z-00000332,11.36842105263158
NG-2003-4Z-00000123,0.5882352941176471
NG-2018-7Z-00001101,11.692307692307692
NG-2008-5#-00000493,6.133333333333334
NG-2018-7Z-00000291,10.2
NG-2018-7Z-00001128,12.346153846153848
NG-2008-5#-00000791,8.0
NG-2013-6Z-00000830,6.916666666666667
NG-2008-5#-00000782,11.555555555555555
NG-2008-5#-00000299,0.0625
NG-2018-7Z-00001234,11.88
NG-2008-5#-00000364,10.82
NG-2018-7Z-00001224,8.80952380952381
NG-2013-6Z-00000744,12.428571428571429
NG-2010-6#-00000145,8.375
NG-2018-7Z-00001152,13.125
NG-2003-4Z-00000338,9.285714285714286
NG-2015-7#-00000325,10.681818181818182
NG-2018-7Z-00000110,1.5217391304347827
NG-2013-6Z-00000773,10.675
NG-2018-7Z-00001245,12.545454545454543
NG-2010-6#-00000216,11.8
NG-2018-7Z-00001130,12.11111111111111
NG-2015-7#-00000056,7.142857142857143
NG-2013-6Z-00000889,10.382352941176473
NG-2018-7Z-00001202,12.384615384615383
NG-2013-6Z-00000624,9.5
NG-2013-6Z-00000120,2.4705882352941178
NG-2013-6Z-00000190,7.171875
NG-2018-7Z-00001053,11.333333333333334
NG-2008-5#-00000451,8.805555555555555
NG-2013-6Z-00000121,4.647058823529412
NG-2008-5#-00000580,10.0
NG-2013-6Z-00000865,9.203703703703704
NG-2003-4Z-00000200,7.090909090909091
NG-2015-7#-00000100,4.888888888888889
NG-2008-5#-00000341,3.9615384615384617
NG-2013-6Z-00000786,11.86842105263158
NG-2003-4Z-00000299,4.45
NG-2008-5#-00000763,11.4
NG-2018-7Z-00001249,13.458333333333334
NG-2015-7#-00000321,11.2
NG-2008-5#-00000780,12.433333333333334
NG-2018-7Z-00001013,11.25
NG-2018-7Z-00001102,12.6
NG-2015-7#-00000037,6.5588235294117645
NG-2018-7Z-00000943,11.25
NG-2018-7Z-00001352,12.586206896551724
NG-2018-7Z-00001215,12.0
NG-2018-7Z-00001256,8.55
NG-2018-7Z-00001055,10.461538461538462
NG-2018-7Z-00000186,8.666666666666666
NG-2018-7Z-00001378,13.06896551724138
NG-2003-4Z-00000282,6.409090909090909
NG-2018-7Z-00000516,5.921568627450981
NG-2008-5#-00000584,9.371428571428572
NG-2013-6Z-00000689,11.057692307692308
NG-2013-6Z-00000365,5.833333333333333
NG-2013-6Z-00000187,10.169491525423728
NG-2018-7Z-00000779,14.5
NG-2013-6Z-00000034,15.909090909090908
NG-2018-7Z-00001182,11.866666666666667
NG-2013-6Z-00000869,11.928571428571429
NG-2010-6#-00000231,9.05
NG-2018-7Z-00000613,5.411764705882353
NG-2018-7Z-00000065,7.583333333333333
NG-2013-6Z-00000710,10.578947368421051
NG-2013-6Z-00000822,10.75
NG-2018-7Z-00000403,12.365853658536585
NG-2018-7Z-00000146,7.170731707317073
NG-2008-5#-00000560,11.514285714285714
NG-2003-4Z-00000064,6.95
NG-2008-5#-00000725,7.96969696969697
NG-2003-4Z-00000210,10.428571428571429
NG-2018-7Z-00001054,13.043478260869565
NG-2003-4Z-00000001,9.88
NG-2013-6Z-00000660,11.372093023255816
NG-2003-4Z-00000255,8.962962962962964
NG-2015-7#-00000111,1.1333333333333333
NG-2008-5#-00000460,10.51851851851852
NG-2008-5#-00000558,11.91304347826087
NG-2013-6Z-00000064,7.372093023255814
NG-2018-7Z-00001059,9.588235294117649
NG-2008-5#-00000527,8.82857142857143
NG-2008-5#-00000852,11.275
NG-2008-5#-00000097,3.815384615384616
NG-2008-5#-00000483,11.921052631578949
NG-2008-5#-00000508,9.897435897435898
NG-2003-4Z-00000337,11.333333333333334
NG-2008-5#-00000871,9.115384615384617
NG-2013-6Z-00000219,5.170212765957447
NG-2008-5#-00000878,0.4791666666666667
NG-2015-7#-00000297,13.035714285714286
NG-2013-6Z-00000493,8.0
NG-2018-7Z-00000876,10.0
NG-2010-6#-00000215,9.409090909090908
NG-2003-4Z-00000163,5.523809523809524
NG-2008-5#-00000768,11.395833333333334
NG-2015-7#-00000268,7.782608695652174
NG-2018-7Z-00000948,9.583333333333334
NG-2010-6#-00000164,6.291666666666667
NG-2018-7Z-00000944,8.12
NG-2013-6Z-00000611,8.11111111111111
NG-2008-5#-00000708,8.56
NG-2018-7Z-00000967,9.333333333333334
NG-2003-4Z-00000326,8.090909090909092
NG-2018-7Z-00000971,7.896551724137931
NG-2015-7#-00000188,0.3
NG-2015-7#-00000234,8.0
NG-2003-4Z-00000199,7.0
NG-2003-4Z-00000220,1.8333333333333333
NG-2003-4Z-00000364,8.875
NG-2015-7#-00000246,7.842105263157895
NG-2013-6Z-00000504,10.521739130434783
NG-2010-6#-00000205,11.12
NG-2008-5#-00000202,0.8771929824561403
NG-2003-4Z-00000082,1.8333333333333333
NG-2018-7Z-00000345,0.5833333333333334
NG-2015-7#-00000249,7.0
NG-2018-7Z-00001113,5.36
NG-2018-7Z-00001192,10.526315789473683
NG-2018-7Z-00000898,8.241379310344827
NG-2013-6Z-00000572,3.923076923076923
NG-2018-7Z-00000869,8.777777777777779
NG-2018-7Z-00000376,0.06
NG-2018-7Z-00000922,11.26086956521739
NG-2013-6Z-00000060,12.297297297297296
NG-2013-6Z-00000336,0.9245283018867924
NG-2013-6Z-00000097,13.078947368421051
NG-2018-7Z-00000183,10.25
NG-2008-5#-00000302,0.8048780487804879
NG-2018-7Z-00001275,6.416666666666667
NG-2018-7Z-00001261,7.2
NG-2008-5#-00000116,0.0
NG-2013-6Z-00000294,0.34
NG-2013-6Z-00000875,10.0
NG-2008-5#-00000520,8.641509433962264
NG-2003-4Z-00000283,8.85
NG-2008-5#-00000867,10.03125
NG-2008-5#-00000823,8.038461538461538
NG-2018-7Z-00001175,9.375
NG-2008-5#-00000601,12.727272727272728
NG-2018-7Z-00001280,5.125
NG-2003-4Z-00000272,9.666666666666666
NG-2008-5#-00000789,9.666666666666666
NG-2013-6Z-00000035,7.529411764705882
NG-2013-6Z-00000512,11.775
NG-2018-7Z-00000085,10.75
NG-2008-5#-00000857,11.55
NG-2008-5#-00000778,10.303030303030305
NG-2018-7Z-00001263,12.227272727272728
NG-2013-6Z-00000862,12.076923076923077
NG-2018-7Z-00000435,5.342857142857143
NG-2008-5#-00000214,5.509803921568627
