DHSID_EA,asset_index,sanitation_index,water_index,women_edu
NM-2000-4#-00000160,,,,6.642857142857143
NM-2013-6#-00000238,1.2723697810716077,3.2777777777777777,5.0,7.85
NM-2006-5#-00000117,2.14148806924002,4.444444444444445,5.0,9.0
NM-2006-5#-00000069,1.0588821233952317,3.5625,3.875,9.866666666666667
NM-2013-6#-00000406,2.4503763372737217,4.157894736842105,5.0,13.071428571428571
NM-2013-6#-00000343,2.598964994581612,4.428571428571429,5.0,11.416666666666666
NM-2013-6#-00000497,0.3319366137822474,2.2,4.75,9.8
NM-2000-4#-00000112,,,,5.333333333333333
NM-2000-4#-00000054,,,,7.5
NM-2006-5#-00000063,1.0267371457930965,3.9444444444444446,4.333333333333333,9.076923076923077
NM-2013-6#-00000292,-1.2210322980525747,1.0,4.066666666666666,8.428571428571429
NM-2000-4#-00000074,,,,9.448275862068966
NM-2013-6#-00000443,1.4813684415818162,3.647058823529412,5.0,8.5
NM-2006-5#-00000081,2.401866053177989,4.5,5.0,10.05
NM-2006-5#-00000203,2.333337680614483,5.0,5.0,9.681818181818182
NM-2013-6#-00000381,2.880561438397172,4.75,5.0,10.428571428571429
NM-2006-5#-00000384,0.6346938535390513,3.5,5.0,8.40625
NM-2000-4#-00000237,,,,5.757575757575758
NM-2013-6#-00000542,-2.5971829103048854,1.3529411764705883,2.8823529411764706,4.428571428571429
NM-2006-5#-00000135,0.527009151895785,2.7777777777777777,4.666666666666667,8.222222222222221
NM-2013-6#-00000153,2.4314321739277154,5.0,5.0,7.9
NM-2013-6#-00000251,-2.1027800488696022,1.0,2.8125,0.0
NM-2013-6#-00000391,-0.2488755175972911,2.055555555555556,4.111111111111111,8.44
NM-2006-5#-00000074,-0.9351466980848718,1.947368421052632,2.631578947368421,4.583333333333333
NM-2013-6#-00000046,-0.2784952042903655,1.4736842105263157,4.789473684210527,8.333333333333334
NM-2013-6#-00000021,0.7906221141704659,3.1875,5.0,8.058823529411764
NM-2013-6#-00000269,3.016293666621431,5.0,5.0,10.85
NM-2000-4#-00000235,,,,4.375
NM-2013-6#-00000398,2.9363387368050944,5.0,5.0,9.157894736842104
NM-2006-5#-00000197,3.457601867414083,5.0,5.0,11.833333333333334
NM-2006-5#-00000396,-1.7062142108245493,1.4,4.5,8.607142857142858
NM-2000-4#-00000077,,,,8.833333333333334
NM-2006-5#-00000230,0.6169167430488485,3.3846153846153846,3.8461538461538463,5.2
NM-2006-5#-00000006,3.210348958993662,5.0,4.8,11.714285714285714
NM-2013-6#-00000076,3.313522266446649,5.0,4.777777777777778,12.214285714285714
NM-2006-5#-00000217,2.5395512092584047,5.0,5.0,9.523809523809524
NM-2013-6#-00000518,3.213968764765152,4.777777777777778,5.0,10.911764705882351
NM-2013-6#-00000516,3.344306464171233,5.0,5.0,12.142857142857142
NM-2013-6#-00000013,0.3806088445830899,2.2222222222222223,4.944444444444445,10.241379310344827
NM-2000-4#-00000021,,,,11.375
NM-2006-5#-00000470,2.7486511086087293,5.0,5.0,9.863636363636363
NM-2006-5#-00000140,0.3876507823564174,2.894736842105264,4.157894736842105,5.444444444444445
NM-2013-6#-00000112,3.258782422659507,5.0,5.0,11.608695652173912
NM-2006-5#-00000317,-0.205867950285455,2.1,4.6,4.35
NM-2006-5#-00000188,3.05931141810525,5.0,5.0,12.909090909090908
NM-2006-5#-00000192,3.19966719125824,5.0,4.789473684210527,11.473684210526317
NM-2000-4#-00000025,,,,8.117647058823529
NM-2013-6#-00000003,3.4370151282529,5.0,5.0,11.48148148148148
NM-2013-6#-00000351,3.346836602874618,5.0,5.0,14.0
