DHSID_EA,water_index
NP-2016-7Z-00000117,4.793103448275862
NP-2006-5#-00004201,5.0
NP-2016-7Z-00000342,3.4827586206896552
NP-2006-5#-00002701,4.675675675675675
NP-2016-7Z-00000123,4.84
NP-2016-7Z-00000207,4.633333333333334
NP-2006-5#-00006201,5.0
NP-2001-4#-00002703,
NP-2016-7Z-00000158,4.533333333333333
NP-2011-6#-00002902,5.0
NP-2011-6#-00000607,3.048780487804878
NP-2001-4#-00003502,
NP-2016-7Z-00000271,4.033333333333333
NP-2016-7Z-00000301,1.9310344827586208
NP-2011-6#-00006003,1.0731707317073171
NP-2006-5#-00004301,2.161290322580645
NP-2001-4#-00000605,
NP-2016-7Z-00000057,3.1666666666666665
NP-2001-4#-00002203,
NP-2016-7Z-00000084,3.0
NP-2006-5#-00003103,4.53125
NP-2006-5#-00005603,3.075
NP-2006-5#-00000303,4.176470588235294
NP-2001-4#-00004001,
NP-2006-5#-00000102,1.1111111111111112
NP-2001-4#-00002404,
NP-2001-4#-00002801,
NP-2011-6#-00005602,4.0
NP-2001-4#-00002303,
NP-2011-6#-00000907,4.585365853658536
NP-2001-4#-00003603,
NP-2011-6#-00001101,4.7073170731707314
NP-2001-4#-00001202,
NP-2016-7Z-00000192,4.592592592592593
NP-2016-7Z-00000181,4.1
NP-2006-5#-00003801,4.948717948717949
NP-2006-5#-00004002,4.875
NP-2016-7Z-00000205,4.066666666666666
NP-2016-7Z-00000097,3.0
NP-2016-7Z-00000326,4.107142857142857
NP-2011-6#-00001405,3.076923076923077
NP-2001-4#-00001602,
NP-2011-6#-00000904,2.317073170731707
NP-2011-6#-00007502,4.829787234042553
NP-2001-4#-00000201,
NP-2001-4#-00003902,
NP-2016-7Z-00000007,3.827586206896552
NP-2001-4#-00000402,
NP-2006-5#-00000404,3.342857142857143
NP-2011-6#-00007004,2.8536585365853657
NP-2006-5#-00003601,2.4857142857142858
NP-2006-5#-00002502,4.758620689655173
NP-2011-6#-00000404,3.35
NP-2001-4#-00001103,
NP-2011-6#-00004701,4.974358974358975
NP-2011-6#-00004807,2.804878048780488
NP-2001-4#-00004703,
NP-2016-7Z-00000178,4.766666666666667
NP-2011-6#-00004901,4.875
NP-2011-6#-00003602,5.0
NP-2011-6#-00004503,5.0
NP-2011-6#-00000302,2.7674418604651163
NP-2011-6#-00000101,4.906976744186046
NP-2016-7Z-00000175,4.931034482758621
NP-2001-4#-00004906,
NP-2006-5#-00001501,3.0
NP-2001-4#-00002901,
NP-2016-7Z-00000002,3.066666666666667
NP-2001-4#-00000602,
NP-2006-5#-00000601,3.055555555555556
NP-2011-6#-00002712,3.9166666666666665
NP-2016-7Z-00000169,4.965517241379311
NP-2006-5#-00000301,3.484848484848485
NP-2006-5#-00002302,3.1142857142857143
NP-2011-6#-00001502,3.0
NP-2006-5#-00000403,3.0476190476190474
NP-2006-5#-00001801,3.0
NP-2006-5#-00005005,3.413793103448276
NP-2006-5#-00003101,4.724137931034483
NP-2001-4#-00001706,
NP-2016-7Z-00000233,5.0
NP-2001-4#-00004905,
NP-2006-5#-00000602,3.0
NP-2016-7Z-00000216,4.448275862068965
NP-2016-7Z-00000217,4.379310344827586
NP-2001-4#-00003404,
NP-2016-7Z-00000155,1.2142857142857142
NP-2011-6#-00007404,5.0
NP-2016-7Z-00000139,4.0344827586206895
NP-2001-4#-00002601,
NP-2016-7Z-00000166,4.866666666666666
NP-2011-6#-00003507,4.333333333333333
NP-2001-4#-00005001,
NP-2006-5#-00006701,1.0
NP-2001-4#-00005703,
NP-2016-7Z-00000276,3.0
NP-2011-6#-00005701,3.1875
NP-2006-5#-00005701,3.085714285714286
NP-2011-6#-00002716,4.078947368421052
NP-2006-5#-00002703,4.896551724137931
NP-2001-4#-00000501,
NP-2006-5#-00000405,3.5172413793103448
NP-2001-4#-00002701,
NP-2016-7Z-00000132,3.909090909090909
NP-2006-5#-00002707,2.7
NP-2011-6#-00002714,4.076923076923077
NP-2001-4#-00005701,
NP-2016-7Z-00000244,3.7586206896551726
NP-2006-5#-00005702,3.1666666666666665
NP-2001-4#-00005804,
NP-2001-4#-00005704,
NP-2001-4#-00005602,
NP-2001-4#-00005702,
NP-2006-5#-00005703,3.0
NP-2016-7Z-00000167,4.172413793103448
NP-2016-7Z-00000195,5.0
NP-2016-7Z-00000067,3.0
NP-2016-7Z-00000226,3.866666666666666
NP-2006-5#-00004801,5.0
NP-2011-6#-00001703,3.0
NP-2016-7Z-00000156,4.5
NP-2001-4#-00002501,
NP-2016-7Z-00000119,4.846153846153846
NP-2006-5#-00002501,4.6571428571428575
NP-2006-5#-00006601,5.0
NP-2001-4#-00000601,
NP-2011-6#-00004804,4.052631578947368
NP-2016-7Z-00000199,4.142857142857143
NP-2006-5#-00004702,3.216216216216216
NP-2016-7Z-00000262,3.0
NP-2006-5#-00003902,3.5454545454545454
NP-2016-7Z-00000189,4.928571428571429
NP-2006-5#-00007002,1.0
NP-2006-5#-00004501,5.0
NP-2016-7Z-00000030,4.433333333333334
NP-2006-5#-00002711,3.0
NP-2016-7Z-00000110,3.0
NP-2016-7Z-00000218,4.466666666666667
NP-2006-5#-00005201,4.0588235294117645
NP-2001-4#-00005201,
NP-2011-6#-00005203,4.894736842105263
NP-2011-6#-00005202,4.894736842105263
NP-2016-7Z-00000267,4.2
NP-2016-7Z-00000239,3.413793103448276
NP-2006-5#-00005203,4.625
NP-2011-6#-00005303,4.6
NP-2006-5#-00005102,3.8
NP-2006-5#-00005202,1.875
NP-2011-6#-00005201,4.7631578947368425
NP-2001-4#-00005202,
NP-2016-7Z-00000268,4.566666666666666
NP-2011-6#-00005301,4.666666666666667
NP-2011-6#-00001302,5.0
NP-2006-5#-00001303,4.2
NP-2016-7Z-00000187,5.0
NP-2016-7Z-00000211,4.133333333333334
NP-2011-6#-00002901,4.894736842105263
NP-2006-5#-00002802,2.0285714285714285
NP-2001-4#-00001303,
NP-2001-4#-00001902,
NP-2006-5#-00002503,4.777777777777778
NP-2011-6#-00002705,5.0
NP-2011-6#-00004001,4.878787878787879
NP-2006-5#-00004004,5.0
NP-2001-4#-00001101,
NP-2011-6#-00005609,3.9210526315789473
NP-2006-5#-00004802,3.0
NP-2006-5#-00006702,3.210526315789474
