DHSID_EA,sanitation_index
PE-2000-4#-00000398,
PE-2009-5Z-00000954,3.757575757575758
PE-2000-4#-00001343,
PE-2000-4#-00000518,
PE-2000-4#-00000296,
PE-2009-5Z-00000551,2.5416666666666665
PE-2000-4#-00000939,
PE-2000-4#-00000982,
PE-2009-5Z-00000900,3.333333333333333
PE-2000-4#-00001189,
PE-2009-5Z-00001085,1.8
PE-2009-5Z-00000384,5.0
PE-2000-4#-00000055,
PE-2009-5Z-00000940,3.823529411764706
PE-2000-4#-00000094,
PE-2004-5#-00001184,1.0555555555555556
PE-2000-4#-00000207,
PE-2000-4#-00001053,
PE-2000-4#-00000197,
PE-2000-4#-00000599,
PE-2009-5Z-00000163,4.44
PE-2000-4#-00000200,
PE-2000-4#-00000333,
PE-2009-5Z-00000061,4.095238095238095
PE-2000-4#-00000032,
PE-2009-5Z-00000581,5.0
PE-2009-5Z-00000334,1.3478260869565215
PE-2000-4#-00000691,
PE-2009-5Z-00000078,2.391304347826087
PE-2009-5Z-00000062,4.818181818181818
PE-2000-4#-00001086,
PE-2000-4#-00001313,
PE-2000-4#-00001310,
PE-2000-4#-00000087,
PE-2000-4#-00001170,
PE-2000-4#-00000077,
PE-2009-5Z-00000113,1.7037037037037035
PE-2009-5Z-00000291,2.0869565217391304
PE-2000-4#-00001314,
PE-2000-4#-00000350,
PE-2000-4#-00000109,
PE-2000-4#-00000336,
PE-2000-4#-00000353,
PE-2004-5#-00000873,5.0
PE-2000-4#-00000196,
PE-2000-4#-00001211,
PE-2000-4#-00001174,
PE-2000-4#-00000557,
PE-2000-4#-00000265,
PE-2000-4#-00000603,
PE-2009-5Z-00000166,4.25925925925926
PE-2000-4#-00000208,
PE-2009-5Z-00001046,1.6666666666666667
PE-2000-4#-00000677,
PE-2000-4#-00001191,
PE-2009-5Z-00000214,1.4482758620689655
PE-2009-5Z-00000580,5.0
PE-2000-4#-00000199,
PE-2000-4#-00000542,
PE-2009-5Z-00000896,4.36
PE-2009-5Z-00000419,1.4761904761904765
PE-2000-4#-00000460,
PE-2000-4#-00000031,
PE-2000-4#-00000011,
PE-2009-5Z-00000045,5.0
PE-2009-5Z-00000562,4.823529411764706
PE-2000-4#-00001306,
PE-2009-5Z-00000143,2.1739130434782608
PE-2009-5Z-00000971,2.590909090909091
PE-2009-5Z-00000435,4.84
PE-2000-4#-00000533,
PE-2009-5Z-00000227,3.947368421052632
PE-2009-5Z-00000016,4.615384615384615
PE-2009-5Z-00000027,2.074074074074074
PE-2000-4#-00000634,
PE-2009-5Z-00000058,5.0
PE-2009-5Z-00001080,2.65
PE-2009-5Z-00000251,3.3076923076923075
PE-2000-4#-00000079,
PE-2009-5Z-00000064,3.4347826086956523
PE-2009-5Z-00000578,5.0
PE-2000-4#-00000338,
PE-2000-4#-00001397,
PE-2009-5Z-00001108,2.473684210526316
PE-2009-5Z-00001081,2.1904761904761907
PE-2009-5Z-00000382,5.0
PE-2000-4#-00000535,
PE-2000-4#-00001308,
PE-2000-4#-00001106,
PE-2000-4#-00001114,
PE-2000-4#-00000536,
PE-2000-4#-00000988,
PE-2000-4#-00001222,
PE-2009-5Z-00000984,4.857142857142857
PE-2009-5Z-00000828,3.5
PE-2000-4#-00000358,
