DHSID_EA,asset_index,sanitation_index,water_index,women_edu
PH-2003-4#-00000778,,,,10.93103448275862
PH-2008-5#-00000004,2.8178402242449607,4.727272727272728,5.0,12.583333333333334
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2003-4#-00000576,,,,13.23076923076923
PH-2017-7#-00000955,3.054286769892737,5.0,5.0,13.333333333333334
PH-2017-7#-00000328,2.906757284795846,5.0,5.0,10.958333333333334
PH-2008-5#-00000133,2.879519723531246,5.0,5.0,
PH-2008-5#-00000012,2.8786128893885565,5.0,5.0,13.5
PH-2017-7#-00000514,1.403210267574114,4.0,4.25,10.22222222222222
PH-2017-7#-00000807,2.6511012653264525,5.0,4.916666666666667,10.93103448275862
PH-2017-7#-00000274,2.8245847252272007,5.0,5.0,11.666666666666666
PH-2008-5#-00000308,2.632637471311802,5.0,5.0,13.235294117647058
PH-2003-4#-00000605,,,,13.0
PH-2008-5#-00000046,2.832022537054357,5.0,5.0,14.4
PH-2003-4#-00000567,,,,7.25
PH-2008-5#-00000326,2.440352667344298,5.0,4.0625,9.0
PH-2003-4#-00000227,,,,10.411764705882351
PH-2008-5#-00000385,1.0179845442815594,4.666666666666667,2.619047619047619,8.15
PH-2003-4#-00000382,,,,11.7
PH-2017-7#-00000866,1.80512917858046,4.523809523809524,4.095238095238095,11.142857142857142
PH-2017-7#-00000932,2.2881624698208114,4.52,5.0,11.2
PH-2003-4#-00000575,,,,12.4375
PH-2003-4#-00000103,,,,9.0
PH-2017-7#-00000733,2.245977789236824,4.833333333333333,4.291666666666667,11.62962962962963
PH-2003-4#-00000500,,,,10.205882352941176
PH-2017-7#-00000856,1.2619302569197008,4.277777777777778,4.0,10.153846153846152
PH-2003-4#-00000490,,,,10.0
PH-2017-7#-00000626,2.7746067773988448,4.923076923076923,5.0,12.142857142857142
PH-2003-4#-00000589,,,,8.285714285714286
PH-2017-7#-00000264,2.753916968954598,5.0,5.0,13.083333333333334
PH-2017-7#-00000133,0.0147844702445963,3.842105263157895,1.0,10.8
PH-2017-7#-00000591,-1.0280601750669285,3.0,2.6666666666666665,6.241379310344827
PH-2017-7#-00000715,2.545549090984195,5.0,4.8,12.666666666666666
PH-2008-5#-00000403,0.7078986983574044,4.352941176470588,2.0,10.052631578947368
PH-2003-4#-00000578,,,,7.833333333333333
PH-2003-4#-00000564,,,,10.11111111111111
PH-2008-5#-00000345,2.824789285366618,5.0,4.935483870967742,13.5
PH-2008-5#-00000138,2.782991901482841,5.0,5.0,9.75
PH-2017-7#-00001094,0.5127046381299607,3.869565217391304,2.391304347826087,7.529411764705882
PH-2008-5#-00000510,2.982928695388804,5.0,5.0,11.27777777777778
PH-2017-7#-00000630,1.90774528296074,4.2727272727272725,4.409090909090909,11.0
PH-2017-7#-00000585,2.846740197772935,5.0,4.75,10.95
PH-2008-5#-00000052,2.7743779420203,5.0,5.0,13.090909090909092
PH-2008-5#-00000594,2.650108868712726,4.833333333333333,5.0,12.25
PH-2008-5#-00000319,2.784659114947839,5.0,5.0,12.588235294117649
PH-2003-4#-00000625,,,,10.909090909090908
PH-2017-7#-00000416,3.0136499305473388,5.0,5.0,12.142857142857142
PH-2008-5#-00000010,3.023317794241245,5.0,5.0,13.478260869565217
PH-2008-5#-00000106,,,,13.2
PH-2008-5#-00000365,2.0427043124402,5.0,4.2,9.285714285714286
PH-2017-7#-00000818,0.2757567102259826,4.76,1.0,10.692307692307692
PH-2017-7#-00000302,2.733429361212912,5.0,5.0,11.35135135135135
PH-2008-5#-00000460,1.0664437344175446,3.75,4.1875,10.1
PH-2017-7#-00000606,3.0698496047884363,5.0,5.0,12.0
PH-2017-7#-00000853,2.74306615105921,5.0,4.923076923076923,11.461538461538462
PH-2008-5#-00000110,3.2164267857312288,5.0,5.0,13.090909090909092
PH-2017-7#-00000336,2.816496550122382,5.0,5.0,11.05
PH-2017-7#-00000642,1.9805714833316448,4.36,4.64,8.947368421052632
PH-2003-4#-00000579,,,,9.8
PH-2003-4#-00000473,,,,10.583333333333334
PH-2003-4#-00000471,,,,10.727272727272728
PH-2003-4#-00000611,,,,10.055555555555555
PH-2017-7#-00000880,2.671049370669311,4.555555555555555,5.0,10.055555555555555
PH-2017-7#-00000501,1.677469356498542,5.0,3.75,9.705882352941176
PH-2003-4#-00000480,,,,11.77777777777778
PH-2017-7#-00000292,3.434583891026324,5.0,5.0,12.68421052631579
PH-2017-7#-00000360,2.4298443260536287,4.652173913043479,4.956521739130435,11.272727272727272
PH-2008-5#-00000191,1.370833532791148,4.176470588235294,3.588235294117647,12.0
PH-2003-4#-00000720,,,,12.5
PH-2017-7#-00001012,0.9024843309459686,4.684210526315789,1.631578947368421,9.473684210526317
PH-2017-7#-00001009,1.6747039979912706,4.5,3.8333333333333335,10.307692307692308
PH-2003-4#-00000681,,,,9.923076923076923
PH-2008-5#-00000316,2.7906593882732107,5.0,5.0,
PH-2003-4#-00000185,,,,7.538461538461538
PH-2003-4#-00000627,,,,10.357142857142858
PH-2017-7#-00000452,1.7606878994660804,4.260869565217392,4.043478260869565,9.444444444444445
PH-2008-5#-00000605,2.195383114540382,4.375,5.0,12.11111111111111
PH-2008-5#-00000388,2.1566170163936405,5.0,4.3,11.909090909090908
PH-2017-7#-00000665,2.568894136452108,5.0,4.666666666666667,11.642857142857142
PH-2017-7#-00000703,2.492735986703457,5.0,5.0,9.894736842105264
PH-2003-4#-00000283,,,,8.0
PH-2003-4#-00000430,,,,8.444444444444445
PH-2017-7#-00000333,3.112517942006847,5.0,5.0,13.28
PH-2003-4#-00000002,,,,10.85
PH-2008-5#-00000186,0.4252001865191274,4.307692307692308,2.923076923076923,7.4
PH-2017-7#-00000610,2.2195391498030883,5.0,3.75,10.826086956521738
PH-2003-4#-00000694,,,,10.75
PH-2017-7#-00000046,2.8003149717009426,5.0,5.0,11.75
PH-2008-5#-00000292,1.7156881663773198,4.722222222222222,3.111111111111111,10.578947368421051
PH-2017-7#-00000283,2.7713848931740954,5.0,5.0,11.1
PH-2017-7#-00000101,2.812673089209609,5.0,4.75,11.55
PH-2003-4#-00000586,,,,11.833333333333334
PH-2003-4#-00000709,,,,9.964285714285714
PH-2008-5#-00000116,2.463944564409497,5.0,4.9,12.0
PH-2003-4#-00000132,,,,9.25
PH-2017-7#-00000306,2.867656351290694,5.0,5.0,11.73913043478261
PH-2017-7#-00000544,2.920404476585713,5.0,5.0,12.5
PH-2008-5#-00000022,2.7004576847682675,4.875,5.0,11.297872340425531
PH-2017-7#-00000259,2.754293689457538,5.0,5.0,11.88888888888889
PH-2008-5#-00000114,2.526187794854074,5.0,5.0,11.88888888888889
PH-2003-4#-00000580,,,,11.791666666666666
PH-2008-5#-00000576,2.3824500437135008,4.6875,4.875,12.428571428571429
PH-2003-4#-00000306,,,,13.8
PH-2008-5#-00000521,0.9445143336511004,2.5384615384615383,4.846153846153846,8.454545454545455
PH-2017-7#-00001093,1.29700354898211,3.692307692307693,4.269230769230769,10.708333333333334
PH-2017-7#-00000944,1.2389914178056751,5.0,3.0,10.071428571428571
PH-2017-7#-00000252,3.3120391336997645,5.0,5.0,12.8
