DHSID_EA,asset_index
PH-2003-4#-00000778,
PH-2008-5#-00000004,2.8178402242449607
PH-2017-7#-00000435,2.216631589713957
PH-2003-4#-00000576,
PH-2017-7#-00000955,3.054286769892737
PH-2017-7#-00000328,2.906757284795846
PH-2008-5#-00000133,2.879519723531246
PH-2008-5#-00000012,2.8786128893885565
PH-2017-7#-00000514,1.403210267574114
PH-2017-7#-00000807,2.6511012653264525
PH-2017-7#-00000274,2.8245847252272007
PH-2008-5#-00000308,2.632637471311802
PH-2003-4#-00000605,
PH-2008-5#-00000046,2.832022537054357
PH-2003-4#-00000567,
PH-2008-5#-00000326,2.440352667344298
PH-2003-4#-00000227,
PH-2008-5#-00000385,1.0179845442815594
PH-2003-4#-00000382,
PH-2017-7#-00000866,1.80512917858046
PH-2017-7#-00000932,2.2881624698208114
PH-2003-4#-00000575,
PH-2003-4#-00000103,
PH-2017-7#-00000733,2.245977789236824
PH-2003-4#-00000500,
PH-2017-7#-00000856,1.2619302569197008
PH-2003-4#-00000490,
PH-2017-7#-00000626,2.7746067773988448
PH-2003-4#-00000589,
PH-2017-7#-00000264,2.753916968954598
PH-2017-7#-00000133,0.0147844702445963
PH-2017-7#-00000591,-1.0280601750669285
PH-2017-7#-00000715,2.545549090984195
PH-2008-5#-00000403,0.7078986983574044
PH-2003-4#-00000578,
PH-2003-4#-00000564,
PH-2008-5#-00000345,2.824789285366618
PH-2008-5#-00000138,2.782991901482841
PH-2017-7#-00001094,0.5127046381299607
PH-2008-5#-00000510,2.982928695388804
PH-2017-7#-00000630,1.90774528296074
PH-2017-7#-00000585,2.846740197772935
PH-2008-5#-00000052,2.7743779420203
PH-2008-5#-00000594,2.650108868712726
PH-2008-5#-00000319,2.784659114947839
PH-2003-4#-00000625,
PH-2017-7#-00000416,3.0136499305473388
PH-2008-5#-00000010,3.023317794241245
PH-2008-5#-00000106,
PH-2008-5#-00000365,2.0427043124402
PH-2017-7#-00000818,0.2757567102259826
PH-2017-7#-00000302,2.733429361212912
PH-2008-5#-00000460,1.0664437344175446
PH-2017-7#-00000606,3.0698496047884363
PH-2017-7#-00000853,2.74306615105921
PH-2008-5#-00000110,3.2164267857312288
PH-2017-7#-00000336,2.816496550122382
PH-2017-7#-00000642,1.9805714833316448
PH-2003-4#-00000579,
PH-2003-4#-00000473,
PH-2003-4#-00000471,
PH-2003-4#-00000611,
PH-2017-7#-00000880,2.671049370669311
PH-2017-7#-00000501,1.677469356498542
PH-2003-4#-00000480,
PH-2017-7#-00000292,3.434583891026324
PH-2017-7#-00000360,2.4298443260536287
PH-2008-5#-00000191,1.370833532791148
PH-2003-4#-00000720,
PH-2017-7#-00001012,0.9024843309459686
PH-2017-7#-00001009,1.6747039979912706
PH-2003-4#-00000681,
PH-2008-5#-00000316,2.7906593882732107
PH-2003-4#-00000185,
PH-2003-4#-00000627,
PH-2017-7#-00000452,1.7606878994660804
PH-2008-5#-00000605,2.195383114540382
PH-2008-5#-00000388,2.1566170163936405
PH-2017-7#-00000665,2.568894136452108
PH-2017-7#-00000703,2.492735986703457
PH-2003-4#-00000283,
PH-2003-4#-00000430,
PH-2017-7#-00000333,3.112517942006847
PH-2003-4#-00000002,
PH-2008-5#-00000186,0.4252001865191274
PH-2017-7#-00000610,2.2195391498030883
PH-2003-4#-00000694,
PH-2017-7#-00000046,2.8003149717009426
PH-2008-5#-00000292,1.7156881663773198
PH-2017-7#-00000283,2.7713848931740954
PH-2017-7#-00000101,2.812673089209609
PH-2003-4#-00000586,
PH-2003-4#-00000709,
PH-2008-5#-00000116,2.463944564409497
PH-2003-4#-00000132,
PH-2017-7#-00000306,2.867656351290694
PH-2017-7#-00000544,2.920404476585713
PH-2008-5#-00000022,2.7004576847682675
PH-2017-7#-00000259,2.754293689457538
PH-2008-5#-00000114,2.526187794854074
PH-2003-4#-00000580,
PH-2008-5#-00000576,2.3824500437135008
PH-2003-4#-00000306,
PH-2008-5#-00000521,0.9445143336511004
PH-2017-7#-00001093,1.29700354898211
PH-2017-7#-00000944,1.2389914178056751
PH-2017-7#-00000252,3.3120391336997645
PH-2017-7#-00000881,3.1143138891231827
PH-2008-5#-00000018,2.6562293270580866
PH-2008-5#-00000402,-0.0287116821707697
PH-2003-4#-00000207,
PH-2003-4#-00000582,
PH-2008-5#-00000119,2.984296470656745
PH-2008-5#-00000006,2.815029642096308
PH-2017-7#-00000325,3.1613245994031165
PH-2003-4#-00000648,
PH-2017-7#-00000724,2.098786138853053
PH-2017-7#-00000327,2.774474258806705
PH-2003-4#-00000581,
PH-2008-5#-00000037,
PH-2008-5#-00000111,2.838262375305696
PH-2017-7#-00000331,3.295293532250775
PH-2003-4#-00000255,
PH-2017-7#-00000657,2.3447997937645995
PH-2017-7#-00000710,1.010421418971833
PH-2017-7#-00000580,2.629739265577897
PH-2008-5#-00000373,2.362823075295735
PH-2003-4#-00000504,
PH-2003-4#-00000099,
PH-2003-4#-00000686,
PH-2003-4#-00000683,
PH-2008-5#-00000154,2.064834588317059
PH-2003-4#-00000324,
PH-2017-7#-00000746,2.125759076439994
PH-2008-5#-00000500,2.475860268729952
PH-2017-7#-00000305,2.669594788735097
PH-2008-5#-00000039,2.974196759728962
PH-2003-4#-00000585,
PH-2008-5#-00000359,2.8600040278175785
PH-2003-4#-00000240,
PH-2003-4#-00000394,
PH-2003-4#-00000405,
PH-2003-4#-00000571,
PH-2017-7#-00000850,2.522263950180208
PH-2003-4#-00000349,
PH-2003-4#-00000624,
PH-2017-7#-00001100,2.448942817731642
PH-2017-7#-00000548,1.6437741968965744
PH-2008-5#-00000532,2.269234513342358
PH-2008-5#-00000108,2.9861822570039047
PH-2008-5#-00000050,2.778175772587052
PH-2017-7#-00001152,2.4442888800174694
PH-2008-5#-00000073,2.7603737573289333
PH-2008-5#-00000247,2.6772189990945447
PH-2017-7#-00000224,2.705148238116071
PH-2017-7#-00000976,1.091249265573211
PH-2008-5#-00000505,0.439852990838073
PH-2008-5#-00000125,2.733758759800265
PH-2017-7#-00000296,3.2736520113316683
PH-2017-7#-00000581,3.046097033297454
PH-2017-7#-00000805,2.225405360728419
PH-2008-5#-00000459,-0.755895143472112
PH-2003-4#-00000721,
PH-2008-5#-00000379,-0.1648569345660874
PH-2008-5#-00000215,2.934368299613113
PH-2003-4#-00000348,
PH-2008-5#-00000047,3.530531417340665
PH-2017-7#-00000377,2.8670248361732416
PH-2008-5#-00000506,0.9497852143222316
PH-2017-7#-00000098,2.798592059809802
PH-2017-7#-00000272,3.093629953814141
PH-2003-4#-00000590,
PH-2017-7#-00000175,1.1308298804900965
PH-2008-5#-00000177,1.4150573154754174
PH-2003-4#-00000487,
PH-2008-5#-00000023,2.897883168368209
PH-2017-7#-00000754,2.49029033882702
PH-2008-5#-00000015,2.981856409760083
PH-2017-7#-00001007,2.813459862789645
PH-2017-7#-00000641,2.729158465567511
PH-2008-5#-00000105,2.900277899384053
PH-2017-7#-00000281,2.785462981129521
PH-2017-7#-00000629,2.5441288393362544
PH-2008-5#-00000284,2.485267301595727
PH-2008-5#-00000315,2.3315605366886
PH-2003-4#-00000376,
PH-2008-5#-00000542,1.6506357001756784
PH-2003-4#-00000041,
PH-2008-5#-00000020,
PH-2017-7#-00000262,3.112567864429646
PH-2008-5#-00000516,2.347020871260705
