DHSID_EA,sanitation_index
PH-2008-5#-00000288,4.875
PH-2017-7#-00000567,5.0
PH-2008-5#-00000004,4.727272727272728
PH-2017-7#-00000268,5.0
PH-2017-7#-00000710,3.5
PH-2017-7#-00000955,5.0
PH-2003-4#-00000072,
PH-2017-7#-00000435,5.0
PH-2017-7#-00000942,4.76
PH-2017-7#-00000807,5.0
PH-2017-7#-00000274,5.0
PH-2008-5#-00000308,5.0
PH-2003-4#-00000605,
PH-2008-5#-00000046,5.0
PH-2003-4#-00000567,
PH-2003-4#-00000683,
PH-2008-5#-00000327,5.0
PH-2008-5#-00000326,5.0
PH-2003-4#-00000390,
PH-2008-5#-00000385,4.666666666666667
PH-2017-7#-00000866,4.523809523809524
PH-2017-7#-00000932,4.52
PH-2003-4#-00000103,
PH-2017-7#-00000733,4.833333333333333
PH-2003-4#-00000500,
PH-2003-4#-00000490,
PH-2003-4#-00000589,
PH-2017-7#-00000264,5.0
PH-2017-7#-00000133,3.842105263157895
PH-2017-7#-00000591,3.0
PH-2017-7#-00000715,5.0
PH-2008-5#-00000403,4.352941176470588
PH-2003-4#-00000564,
PH-2008-5#-00000345,5.0
PH-2008-5#-00000138,5.0
PH-2008-5#-00000621,2.8
PH-2017-7#-00001094,3.869565217391304
PH-2017-7#-00001053,4.565217391304348
PH-2017-7#-00000131,3.5454545454545454
PH-2003-4#-00000290,
PH-2003-4#-00000579,
PH-2017-7#-00000271,5.0
PH-2008-5#-00000594,4.833333333333333
PH-2017-7#-00000308,5.0
PH-2003-4#-00000625,
PH-2008-5#-00000106,
PH-2017-7#-00001154,4.35
PH-2017-7#-00000302,5.0
PH-2003-4#-00000141,
PH-2017-7#-00000424,4.730769230769231
PH-2008-5#-00000036,5.0
PH-2003-4#-00000097,
PH-2008-5#-00000501,1.9411764705882355
PH-2017-7#-00000642,4.36
PH-2017-7#-00000949,4.619047619047619
PH-2008-5#-00000460,3.75
PH-2008-5#-00000459,3.583333333333333
PH-2003-4#-00000471,
PH-2003-4#-00000565,
PH-2008-5#-00000313,5.0
PH-2008-5#-00000023,5.0
PH-2017-7#-00001152,4.714285714285714
PH-2017-7#-00000501,5.0
PH-2017-7#-00000360,4.652173913043479
PH-2003-4#-00000720,
PH-2008-5#-00000316,5.0
PH-2003-4#-00000627,
PH-2017-7#-00000988,5.0
PH-2008-5#-00000338,5.0
PH-2003-4#-00000283,
PH-2003-4#-00000430,
PH-2003-4#-00000760,
PH-2017-7#-00000792,4.2
PH-2003-4#-00000583,
PH-2003-4#-00000002,
PH-2017-7#-00001066,2.5
PH-2017-7#-00000632,5.0
PH-2017-7#-00000610,5.0
PH-2003-4#-00000580,
PH-2003-4#-00000074,
PH-2017-7#-00001100,4.833333333333333
PH-2017-7#-00000101,5.0
PH-2003-4#-00000709,
