DHSID_EA,water_index
PH-2008-5#-00000288,3.083333333333333
PH-2017-7#-00000435,4.217391304347826
PH-2008-5#-00000004,5.0
PH-2003-4#-00000579,
PH-2017-7#-00000268,5.0
PH-2017-7#-00000710,4.181818181818182
PH-2017-7#-00000955,5.0
PH-2003-4#-00000072,
PH-2017-7#-00000942,4.84
PH-2017-7#-00000807,4.916666666666667
PH-2017-7#-00000274,5.0
PH-2008-5#-00000308,5.0
PH-2003-4#-00000605,
PH-2008-5#-00000545,4.428571428571429
PH-2008-5#-00000327,3.823529411764706
PH-2008-5#-00000326,4.0625
PH-2008-5#-00000385,2.619047619047619
PH-2017-7#-00000866,4.095238095238095
PH-2017-7#-00000932,5.0
PH-2003-4#-00000103,
PH-2017-7#-00000733,4.291666666666667
PH-2003-4#-00000500,
PH-2017-7#-00000856,4.0
PH-2017-7#-00000163,5.0
PH-2003-4#-00000490,
PH-2017-7#-00000133,1.0
PH-2017-7#-00000591,2.6666666666666665
PH-2017-7#-00000715,4.8
PH-2008-5#-00000403,2.0
PH-2003-4#-00000578,
PH-2003-4#-00000564,
PH-2008-5#-00000345,4.935483870967742
PH-2008-5#-00000569,5.0
PH-2008-5#-00000138,5.0
PH-2008-5#-00000621,4.6
PH-2003-4#-00000336,
PH-2017-7#-00001094,2.391304347826087
PH-2008-5#-00000620,3.1481481481481484
PH-2017-7#-00000727,3.24
PH-2017-7#-00001053,4.739130434782608
PH-2017-7#-00000131,1.1363636363636365
PH-2003-4#-00000290,
PH-2008-5#-00000547,3.4761904761904763
PH-2017-7#-00000271,5.0
PH-2008-5#-00000594,5.0
PH-2003-4#-00000625,
PH-2017-7#-00000416,5.0
PH-2008-5#-00000106,
PH-2008-5#-00000365,4.2
PH-2017-7#-00001154,2.95
PH-2008-5#-00000111,5.0
PH-2008-5#-00000460,4.1875
PH-2017-7#-00000302,5.0
PH-2003-4#-00000141,
PH-2017-7#-00000424,3.692307692307693
PH-2003-4#-00000097,
PH-2008-5#-00000501,2.647058823529412
PH-2008-5#-00000360,3.0
PH-2008-5#-00000459,2.125
PH-2008-5#-00000023,5.0
PH-2017-7#-00000760,5.0
PH-2017-7#-00001152,5.0
PH-2008-5#-00000036,5.0
PH-2003-4#-00000042,
PH-2017-7#-00000501,3.75
PH-2017-7#-00000360,4.956521739130435
PH-2017-7#-00000816,4.090909090909091
PH-2017-7#-00001012,1.631578947368421
PH-2008-5#-00000395,4.875
PH-2008-5#-00000316,5.0
PH-2003-4#-00000185,
PH-2017-7#-00000452,4.043478260869565
PH-2017-7#-00000991,4.714285714285714
PH-2008-5#-00000338,5.0
PH-2003-4#-00000283,
PH-2003-4#-00000430,
PH-2003-4#-00000760,
PH-2003-4#-00000455,
PH-2008-5#-00000269,3.5
PH-2003-4#-00000583,
PH-2017-7#-00000204,4.391304347826087
PH-2003-4#-00000580,
PH-2003-4#-00000074,
PH-2008-5#-00000046,5.0
PH-2017-7#-00001100,5.0
PH-2017-7#-00001201,4.3478260869565215
PH-2017-7#-00001021,2.95
PH-2017-7#-00000895,5.0
PH-2003-4#-00000215,
PH-2008-5#-00000094,5.0
PH-2003-4#-00000686,
PH-2017-7#-00000283,5.0
PH-2008-5#-00000271,4.142857142857143
PH-2017-7#-00000250,5.0
