DHSID_EA,asset_index
PK-2006-5#-00000358,
PK-2017-7#-00000512,1.1217133281159246
PK-2006-5#-00000229,
PK-2006-5#-00000498,
PK-2017-7#-00000032,2.618914965268583
PK-2006-5#-00000006,
PK-2017-7#-00000431,2.914030743771871
PK-2006-5#-00000885,
PK-2006-5#-00000468,
PK-2006-5#-00000665,
PK-2006-5#-00000838,
PK-2017-7#-00000094,1.5743273575063208
PK-2006-5#-00000092,
PK-2006-5#-00000400,
PK-2006-5#-00000067,
PK-2006-5#-00000019,
PK-2006-5#-00000214,
PK-2017-7#-00000134,2.2898821407094982
PK-2006-5#-00000741,
PK-2006-5#-00000925,
PK-2017-7#-00000411,-1.5432865429967155
PK-2006-5#-00000151,
PK-2017-7#-00000290,3.4733777785722184
PK-2017-7#-00000092,2.0440020539528647
PK-2006-5#-00000863,
PK-2006-5#-00000198,
PK-2006-5#-00000126,
PK-2017-7#-00000395,0.7875605486514825
PK-2017-7#-00000387,-0.9648863177729904
PK-2006-5#-00000091,
PK-2017-7#-00000123,2.0260805096931387
PK-2017-7#-00000093,1.4960390950904343
PK-2006-5#-00000072,
PK-2017-7#-00000522,1.8260742115466613
PK-2006-5#-00000600,
PK-2017-7#-00000054,2.896183869856508
PK-2006-5#-00000389,
PK-2006-5#-00000542,
PK-2006-5#-00000643,
PK-2006-5#-00000388,
PK-2006-5#-00000115,
PK-2017-7#-00000495,1.373578896104478
PK-2017-7#-00000402,1.3662995402017626
PK-2017-7#-00000520,1.4797415416680864
PK-2006-5#-00000738,
PK-2006-5#-00000205,
PK-2017-7#-00000579,1.7637194119343094
PK-2017-7#-00000477,2.1562084319708683
PK-2006-5#-00000236,
PK-2006-5#-00000978,
PK-2006-5#-00000928,
PK-2006-5#-00000606,
PK-2006-5#-00000371,
PK-2006-5#-00000454,
PK-2006-5#-00000082,
PK-2017-7#-00000152,2.6117802286796543
PK-2017-7#-00000562,1.918550580961432
PK-2006-5#-00000339,
PK-2017-7#-00000565,1.7172854447769
PK-2006-5#-00000152,
PK-2006-5#-00000705,
PK-2006-5#-00000793,
PK-2006-5#-00000157,
PK-2006-5#-00000766,
PK-2006-5#-00000858,
PK-2006-5#-00000822,
PK-2006-5#-00000177,
PK-2006-5#-00000014,
PK-2006-5#-00000539,
PK-2006-5#-00000382,
PK-2006-5#-00000736,
PK-2017-7#-00000488,2.076679581912165
PK-2017-7#-00000352,1.243843073651486
PK-2017-7#-00000370,1.128962575396351
PK-2006-5#-00000134,
PK-2006-5#-00000704,
PK-2006-5#-00000190,
PK-2006-5#-00000206,
PK-2017-7#-00000474,1.2566453076730024
PK-2017-7#-00000176,-0.1401884646321264
PK-2006-5#-00000689,
PK-2017-7#-00000494,1.1772937960718517
PK-2006-5#-00000352,
PK-2006-5#-00000127,
PK-2006-5#-00000372,
PK-2006-5#-00000535,
PK-2006-5#-00000244,
PK-2006-5#-00000338,
PK-2017-7#-00000406,-0.8005996783996863
PK-2017-7#-00000400,-0.6053610741608091
PK-2017-7#-00000382,1.313909293550441
PK-2017-7#-00000552,0.4555179402662144
PK-2006-5#-00000324,
PK-2006-5#-00000259,
PK-2017-7#-00000455,1.7855529442896296
PK-2006-5#-00000292,
PK-2006-5#-00000441,
PK-2006-5#-00000654,
PK-2017-7#-00000014,0.6216147126536734
PK-2006-5#-00000883,
PK-2006-5#-00000146,
PK-2006-5#-00000321,
PK-2006-5#-00000967,
PK-2017-7#-00000410,2.385063004468412
PK-2006-5#-00000861,
PK-2017-7#-00000200,-0.1333423843511389
PK-2006-5#-00000912,
PK-2017-7#-00000137,2.2509819799299247
PK-2006-5#-00000331,
PK-2006-5#-00000484,
PK-2006-5#-00000860,
PK-2006-5#-00000136,
PK-2006-5#-00000875,
PK-2006-5#-00000683,
PK-2006-5#-00000495,
PK-2017-7#-00000524,2.2180528945003664
PK-2017-7#-00000511,1.5446254624514808
PK-2017-7#-00000503,0.9563033382452468
PK-2017-7#-00000499,1.6418965264833196
PK-2006-5#-00000026,
PK-2006-5#-00000559,
PK-2006-5#-00000574,
PK-2006-5#-00000191,
PK-2017-7#-00000532,0.9440008371031804
PK-2017-7#-00000003,0.0653032398071538
PK-2006-5#-00000929,
PK-2006-5#-00000518,
PK-2017-7#-00000269,2.7561279807091608
PK-2006-5#-00000682,
PK-2006-5#-00000767,
PK-2006-5#-00000493,
PK-2017-7#-00000371,1.518172657852143
PK-2017-7#-00000294,2.9953939823849525
PK-2006-5#-00000124,
PK-2006-5#-00000249,
PK-2006-5#-00000706,
PK-2006-5#-00000694,
PK-2006-5#-00000756,
PK-2017-7#-00000296,3.133012489322034
PK-2017-7#-00000366,1.0161472225395785
PK-2017-7#-00000206,2.0555081727369133
PK-2006-5#-00000033,
PK-2017-7#-00000281,2.6517059423248446
PK-2006-5#-00000341,
PK-2006-5#-00000934,
PK-2017-7#-00000414,-0.7406820259566884
PK-2017-7#-00000166,1.6591995016505794
PK-2006-5#-00000548,
PK-2006-5#-00000523,
PK-2006-5#-00000573,
