DHSID_EA,sanitation_index
PK-2006-5#-00000786,
PK-2006-5#-00000229,
PK-2006-5#-00000128,
PK-2006-5#-00000164,
PK-2006-5#-00000498,
PK-2006-5#-00000151,
PK-2017-7#-00000095,4.56
PK-2006-5#-00000158,
PK-2006-5#-00000665,
PK-2006-5#-00000863,
PK-2006-5#-00000001,
PK-2006-5#-00000092,
PK-2006-5#-00000400,
PK-2006-5#-00000067,
PK-2017-7#-00000494,4.0
PK-2006-5#-00000741,
PK-2017-7#-00000158,5.0
PK-2006-5#-00000188,
PK-2006-5#-00000372,
PK-2006-5#-00000363,
PK-2006-5#-00000925,
PK-2017-7#-00000410,4.785714285714286
PK-2017-7#-00000402,4.321428571428571
PK-2017-7#-00000411,2.642857142857143
PK-2006-5#-00000814,
PK-2017-7#-00000382,4.0
PK-2006-5#-00000272,
PK-2006-5#-00000198,
PK-2006-5#-00000126,
PK-2017-7#-00000285,5.0
PK-2017-7#-00000387,4.185185185185185
PK-2006-5#-00000136,
PK-2006-5#-00000260,
PK-2017-7#-00000123,5.0
PK-2006-5#-00000072,
PK-2006-5#-00000444,
PK-2006-5#-00000830,
PK-2017-7#-00000390,3.72
PK-2006-5#-00000115,
PK-2006-5#-00000713,
PK-2017-7#-00000502,4.0
PK-2017-7#-00000495,4.0
PK-2017-7#-00000487,5.0
PK-2006-5#-00000720,
PK-2017-7#-00000520,4.8
PK-2006-5#-00000738,
PK-2006-5#-00000303,
PK-2006-5#-00000294,
PK-2006-5#-00000407,
PK-2006-5#-00000107,
PK-2017-7#-00000017,4.916666666666667
PK-2006-5#-00000787,
PK-2006-5#-00000205,
PK-2017-7#-00000014,4.518518518518518
PK-2006-5#-00000748,
PK-2006-5#-00000456,
PK-2006-5#-00000246,
PK-2017-7#-00000133,5.0
PK-2006-5#-00000211,
PK-2006-5#-00000928,
PK-2006-5#-00000371,
PK-2006-5#-00000194,
PK-2006-5#-00000082,
PK-2017-7#-00000562,4.185185185185185
PK-2006-5#-00000339,
PK-2006-5#-00000712,
PK-2006-5#-00000793,
PK-2006-5#-00000157,
PK-2017-7#-00000041,4.846153846153846
PK-2006-5#-00000152,
PK-2006-5#-00000346,
PK-2006-5#-00000340,
PK-2006-5#-00000736,
PK-2017-7#-00000488,5.0
PK-2006-5#-00000534,
PK-2017-7#-00000129,5.0
PK-2006-5#-00000258,
PK-2006-5#-00000539,
PK-2006-5#-00000683,
PK-2017-7#-00000352,4.375
PK-2017-7#-00000406,2.892857142857143
PK-2017-7#-00000370,4.0
PK-2006-5#-00000134,
PK-2006-5#-00000014,
PK-2006-5#-00000615,
PK-2017-7#-00000176,3.3076923076923075
PK-2017-7#-00000093,4.25925925925926
PK-2006-5#-00000689,
PK-2006-5#-00000197,
PK-2006-5#-00000191,
PK-2006-5#-00000127,
PK-2006-5#-00000890,
PK-2017-7#-00000507,3.8
PK-2006-5#-00000535,
PK-2006-5#-00000681,
PK-2017-7#-00000146,4.714285714285714
PK-2017-7#-00000141,4.851851851851852
PK-2006-5#-00000414,
PK-2006-5#-00000670,
PK-2017-7#-00000552,4.0
PK-2006-5#-00000838,
PK-2006-5#-00000324,
PK-2006-5#-00000358,
PK-2006-5#-00000668,
PK-2006-5#-00000654,
PK-2006-5#-00000699,
PK-2006-5#-00000244,
PK-2006-5#-00000883,
PK-2006-5#-00000146,
PK-2006-5#-00000321,
PK-2006-5#-00000861,
PK-2017-7#-00000083,4.107142857142857
PK-2017-7#-00000463,5.0
PK-2017-7#-00000200,4.111111111111111
PK-2006-5#-00000526,
PK-2006-5#-00000898,
PK-2017-7#-00000098,3.5185185185185186
PK-2006-5#-00000912,
PK-2006-5#-00000756,
PK-2006-5#-00000245,
PK-2006-5#-00000704,
PK-2017-7#-00000137,5.0
PK-2006-5#-00000382,
PK-2006-5#-00000331,
PK-2017-7#-00000109,4.071428571428571
PK-2006-5#-00000918,
PK-2006-5#-00000173,
PK-2017-7#-00000085,3.888888888888889
PK-2017-7#-00000524,4.964285714285714
PK-2017-7#-00000499,4.071428571428571
PK-2017-7#-00000503,4.0
PK-2006-5#-00000565,
PK-2017-7#-00000492,4.0
PK-2006-5#-00000086,
PK-2017-7#-00000532,4.148148148148148
PK-2017-7#-00000003,4.307692307692308
PK-2006-5#-00000929,
PK-2006-5#-00000384,
PK-2006-5#-00000518,
PK-2017-7#-00000269,5.0
PK-2006-5#-00000370,
PK-2006-5#-00000559,
PK-2017-7#-00000149,5.0
PK-2006-5#-00000682,
PK-2006-5#-00000493,
PK-2006-5#-00000249,
PK-2006-5#-00000460,
PK-2017-7#-00000206,5.0
PK-2006-5#-00000271,
PK-2017-7#-00000366,4.0
PK-2006-5#-00000344,
PK-2006-5#-00000033,
PK-2006-5#-00000114,
PK-2017-7#-00000281,4.92
PK-2017-7#-00000569,4.92
PK-2006-5#-00000694,
PK-2017-7#-00000318,1.0
PK-2006-5#-00000488,
PK-2017-7#-00000381,4.0
PK-2006-5#-00000934,
