DHSID_EA,water_index
RW-2005-5#-00000171,
RW-2005-5#-00000144,
RW-2015-7#-00000029,5.0
RW-2010-6#-00000150,3.4615384615384617
RW-2010-6#-00000426,1.1538461538461535
RW-2015-7#-00000157,2.6538461538461537
RW-2010-6#-00000204,1.6153846153846154
RW-2015-7#-00000100,3.56
RW-2015-7#-00000064,1.0
RW-2010-6#-00000423,5.0
RW-2010-6#-00000103,2.8461538461538463
RW-2005-5#-00000251,
RW-2010-6#-00000416,2.636363636363636
RW-2015-7#-00000264,3.1538461538461537
RW-2005-5#-00000040,
RW-2010-6#-00000486,2.8
RW-2010-6#-00000061,4.884615384615385
RW-2015-7#-00000259,1.4615384615384617
RW-2010-6#-00000430,1.0
RW-2005-5#-00000165,
RW-2005-5#-00000136,
