DHSID_EA,sanitation_index
SN-2015-7Z-00000163,3.090909090909091
SN-2005-4Z-00000372,
SN-1997-3#-00000297,
SN-2018-8#-00000001,4.7368421052631575
SN-2018-8#-00000035,4.909090909090909
SN-2015-7Z-00000018,4.333333333333333
SN-2005-4Z-00000051,
SN-2010-6#-00000174,3.0
SN-2005-4Z-00000020,
SN-2008-5Z-00000217,3.8333333333333335
SN-2010-6#-00000375,1.238095238095238
SN-2015-7Z-00000004,4.045454545454546
SN-2012-6Z-00000194,2.421052631578948
SN-2010-6#-00000373,4.75
SN-1997-3#-00000120,
SN-2010-6#-00000205,3.0
