DHSID_EA,sanitation_index
TJ-2017-7#-00000209,3.0
TJ-2017-7#-00000241,3.0
TJ-2017-7#-00000144,3.0
TJ-2012-6#-00000349,3.0
TJ-2017-7#-00000123,3.0
TJ-2017-7#-00000077,3.636363636363636
TJ-2017-7#-00000098,4.333333333333333
TJ-2012-6#-00000332,3.421052631578948
TJ-2012-6#-00000292,4.428571428571429
TJ-2012-6#-00000115,3.8
TJ-2017-7#-00000199,3.136363636363636
TJ-2012-6#-00000258,3.1
TJ-2012-6#-00000105,3.1
TJ-2012-6#-00000078,3.857142857142857
TJ-2012-6#-00000259,2.5625
TJ-2017-7#-00000006,5.0
TJ-2017-7#-00000008,3.727272727272727
TJ-2017-7#-00000317,3.523809523809524
TJ-2012-6#-00000116,3.0
TJ-2017-7#-00000349,2.9473684210526314
TJ-2012-6#-00000121,3.05
TJ-2012-6#-00000286,3.0
TJ-2017-7#-00000105,3.0
TJ-2017-7#-00000359,3.0
TJ-2017-7#-00000111,3.0
TJ-2017-7#-00000017,4.904761904761905
TJ-2012-6#-00000168,4.5
