DHSID_EA,sanitation_index
TZ-2017-7Z-00000018,1.0
TZ-2007-5#-00000197,3.055555555555556
TZ-2003-4Z-00000370,
TZ-2003-4Z-00000008,
TZ-2007-5#-00000422,3.3529411764705883
TZ-2015-7Z-00000384,2.772727272727273
TZ-2007-5#-00000125,3.6666666666666665
TZ-2017-7Z-00000118,2.3181818181818183
TZ-2010-6#-00000321,2.1
TZ-2017-7Z-00000036,3.3181818181818183
TZ-2007-5#-00000381,4.357142857142857
TZ-2010-6#-00000437,3.772727272727273
TZ-2017-7Z-00000048,3.8
TZ-2007-5#-00000366,2.5
TZ-2010-6#-00000137,2.2777777777777777
TZ-2017-7Z-00000075,2.6818181818181817
TZ-2012-6Z-00000016,2.888888888888889
TZ-2015-7Z-00000244,2.619047619047619
TZ-2003-4Z-00000205,
TZ-2007-5#-00000199,2.294117647058824
TZ-2015-7Z-00000014,2.571428571428572
TZ-2003-4Z-00000382,
TZ-2012-6Z-00000575,3.888888888888889
TZ-2010-6#-00000055,2.7
TZ-2012-6Z-00000219,2.0
TZ-1999-4#-00000342,
TZ-2012-6Z-00000067,2.1666666666666665
TZ-2017-7Z-00000022,2.75
TZ-2003-4Z-00000044,
TZ-2017-7Z-00000133,2.090909090909091
TZ-2015-7Z-00000576,3.772727272727273
TZ-2010-6#-00000052,2.4285714285714284
TZ-2017-7Z-00000062,3.4545454545454546
TZ-2015-7Z-00000255,2.4
TZ-2010-6#-00000153,2.1
TZ-1999-4#-00000336,
TZ-2012-6Z-00000709,1.5625
TZ-2015-7Z-00000338,2.5454545454545454
TZ-2007-5#-00000106,4.5
TZ-2017-7Z-00000147,2.55
TZ-1999-4#-00000354,
TZ-2010-6#-00000383,3.0
TZ-2015-7Z-00000118,2.2777777777777777
TZ-2012-6Z-00000228,1.1111111111111112
TZ-2010-6#-00000450,2.636363636363636
TZ-2015-7Z-00000516,3.2
TZ-2015-7Z-00000328,2.1666666666666665
TZ-2015-7Z-00000548,3.136363636363636
