DHSID_EA,women_edu
TZ-2007-5#-00000125,8.95
TZ-2010-6#-00000039,8.12
TZ-2007-5#-00000336,5.774193548387097
TZ-2015-7Z-00000142,12.421052631578949
TZ-2007-5#-00000386,10.95
TZ-1999-4#-00000342,5.964285714285714
TZ-2017-7Z-00000018,1.0
TZ-2012-6Z-00000589,4.590909090909091
TZ-2015-7Z-00000014,3.619047619047619
TZ-2007-5#-00000197,6.52
TZ-1999-4#-00000114,6.766666666666667
TZ-2015-7Z-00000561,10.08
TZ-2007-5#-00000231,8.613636363636363
TZ-2010-6#-00000023,7.75
TZ-2012-6Z-00000868,7.966666666666667
TZ-2012-6Z-00000108,9.818181818181818
TZ-2010-6#-00000114,11.064516129032258
TZ-2007-5#-00000381,9.83783783783784
TZ-2012-6Z-00000004,8.833333333333334
TZ-2012-6Z-00000573,7.96875
TZ-2003-4Z-00000294,10.945454545454544
TZ-2010-6#-00000209,7.45
TZ-2007-5#-00000370,7.137931034482759
TZ-2012-6Z-00000091,3.966666666666667
TZ-2017-7Z-00000085,8.16
TZ-2007-5#-00000355,9.772727272727272
TZ-2007-5#-00000095,7.25
TZ-2017-7Z-00000130,6.916666666666667
TZ-2007-5#-00000359,5.470588235294118
TZ-2017-7Z-00000055,7.0
TZ-2015-7Z-00000151,9.466666666666669
TZ-2015-7Z-00000234,8.461538461538462
TZ-1999-4#-00000033,9.0
TZ-2012-6Z-00000726,9.4
TZ-2015-7Z-00000232,9.68421052631579
TZ-2007-5#-00000442,9.0
TZ-2012-6Z-00000310,8.137931034482758
TZ-2010-6#-00000111,8.4375
TZ-2010-6#-00000190,7.769230769230769
TZ-2007-5#-00000264,5.269230769230769
TZ-2017-7Z-00000292,7.269230769230769
TZ-1999-4#-00000066,5.625
TZ-2010-6#-00000052,7.263157894736842
TZ-2012-6Z-00000213,11.093023255813954
TZ-2007-5#-00000422,8.31578947368421
TZ-2003-4Z-00000168,7.636363636363637
TZ-2007-5#-00000415,7.28125
TZ-2010-6#-00000153,6.0
TZ-2010-6#-00000383,7.785714285714286
TZ-2012-6Z-00000010,9.744186046511627
TZ-2010-6#-00000118,6.769230769230769
TZ-2012-6Z-00000663,7.903225806451613
TZ-2007-5#-00000059,7.588235294117647
TZ-2012-6Z-00000115,5.4
TZ-2012-6Z-00000442,8.578947368421053
TZ-2015-7Z-00000575,8.818181818181818
TZ-1999-4#-00000336,7.465116279069767
TZ-2015-7Z-00000588,5.315789473684211
