DHSID_EA,sanitation_index
UG-2016-7Z-00000443,2.6206896551724137
UG-2016-7Z-00000262,4.827586206896552
UG-2011-6#-00000570,2.1875
UG-2016-7Z-00000473,2.1
UG-2011-6#-00000278,2.5416666666666665
UG-2016-7Z-00000542,2.357142857142857
UG-2018-7Z-00000071,3.04
UG-2000-4#-00000401,
UG-2016-7Z-00000145,3.571428571428572
UG-2016-7Z-00000117,2.392857142857143
UG-2018-7Z-00000057,3.6666666666666665
UG-2006-5#-00000011,2.8
UG-2011-6#-00000287,2.6666666666666665
UG-2016-7Z-00000482,2.04
UG-2016-7Z-00000653,2.333333333333333
UG-2016-7Z-00000200,2.230769230769231
UG-2018-7Z-00000050,3.6538461538461537
UG-2016-7Z-00000681,2.52
UG-2014-7#-00000045,3.0416666666666665
UG-2011-6#-00000567,2.8260869565217392
UG-2006-5#-00000268,2.9545454545454546
UG-2000-4#-00003607,
UG-2016-7Z-00000422,2.533333333333333
UG-2000-4#-00002304,
UG-2000-4#-00003011,
UG-2006-5#-00000288,2.5789473684210527
UG-2000-4#-00003201,
UG-2016-7Z-00000247,2.0357142857142856
UG-2016-7Z-00000415,2.1666666666666665
UG-2014-7#-00000168,2.4
UG-2016-7Z-00000430,2.1666666666666665
UG-2016-7Z-00000510,3.642857142857143
UG-2018-7Z-00000295,2.5384615384615383
UG-2011-6#-00000165,2.272727272727273
UG-2016-7Z-00000194,2.433333333333333
UG-2006-5#-00000180,1.6
UG-2016-7Z-00000530,2.458333333333333
UG-2016-7Z-00000531,1.9259259259259256
UG-2014-7#-00000179,2.142857142857143
UG-2018-7Z-00000086,3.0
UG-2018-7Z-00000204,3.576923076923077
UG-2018-7Z-00000018,3.2142857142857144
UG-2011-6#-00000403,2.142857142857143
UG-2014-7#-00000082,2.0588235294117645
UG-2016-7Z-00000664,4.08
UG-2016-7Z-00000035,3.52
UG-2016-7Z-00000354,1.9666666666666663
UG-2009-5Z-00000103,2.75
UG-2016-7Z-00000395,1.1724137931034482
UG-2011-6#-00000601,2.7916666666666665
UG-2016-7Z-00000433,1.5185185185185186
UG-2011-6#-00000457,2.642857142857143
UG-2006-5#-00000289,1.64
UG-2016-7Z-00000246,2.0
UG-2011-6#-00000594,3.2
UG-2016-7Z-00000571,1.933333333333333
UG-2018-7Z-00000310,2.851851851851852
UG-2000-4#-00001805,
UG-2000-4#-00000801,
UG-2016-7Z-00000661,3.7586206896551726
UG-2018-7Z-00000220,1.8571428571428568
UG-2016-7Z-00000046,2.333333333333333
UG-2006-5#-00000133,2.48
UG-2011-6#-00000478,1.0
UG-2011-6#-00000260,3.16
