DHSID_EA,water_index
UG-2006-5#-00000295,1.608695652173913
UG-2011-6#-00000570,2.625
UG-2016-7Z-00000473,2.6333333333333333
UG-2011-6#-00000278,2.9166666666666665
UG-2016-7Z-00000542,3.392857142857143
UG-2018-7Z-00000071,3.4
UG-2000-4#-00000401,
UG-2016-7Z-00000145,4.821428571428571
UG-2011-6#-00000308,3.619047619047619
UG-2016-7Z-00000117,1.4285714285714286
UG-2006-5#-00000011,2.55
UG-2011-6#-00000287,2.958333333333333
UG-2016-7Z-00000653,2.1
UG-2016-7Z-00000681,3.0
UG-2006-5#-00000268,3.0454545454545454
UG-2000-4#-00003607,
UG-2011-6#-00000050,4.428571428571429
UG-2016-7Z-00000422,3.1666666666666665
UG-2000-4#-00002304,
UG-2000-4#-00003011,
UG-2006-5#-00000288,4.2631578947368425
UG-2000-4#-00003201,
UG-2016-7Z-00000430,3.033333333333333
UG-2011-6#-00000269,3.0
UG-2018-7Z-00000086,3.5185185185185186
UG-2011-6#-00000403,2.7142857142857144
UG-2014-7#-00000082,3.0
UG-2016-7Z-00000482,1.08
UG-2016-7Z-00000664,1.44
UG-2016-7Z-00000035,4.56
UG-2016-7Z-00000395,1.7241379310344829
UG-2016-7Z-00000433,1.2222222222222223
UG-2011-6#-00000457,4.5
UG-2006-5#-00000289,2.84
UG-2000-4#-00001805,
UG-2000-4#-00000801,
UG-2016-7Z-00000661,4.310344827586207
UG-2014-7#-00000168,3.12
UG-2016-7Z-00000046,2.5
UG-2006-5#-00000133,3.68
UG-2011-6#-00000478,1.0
UG-2011-6#-00000260,5.0
