DHSID_EA,women_edu
UG-2016-7Z-00000443,7.1891891891891895
UG-2000-4#-00000204,2.2
UG-2016-7Z-00000262,11.588235294117649
UG-2018-7Z-00000071,8.166666666666666
UG-2011-6#-00000420,6.2
UG-2018-7Z-00000057,9.384615384615383
UG-2000-4#-00001002,8.814814814814815
UG-2006-5#-00000093,9.074074074074074
UG-2006-5#-00000011,6.8125
UG-2011-6#-00000287,5.526315789473684
UG-2016-7Z-00000681,7.2
UG-2006-5#-00000101,8.545454545454545
UG-2011-6#-00000567,3.391304347826087
UG-2016-7Z-00000430,5.794117647058823
UG-2000-4#-00003607,4.446808510638298
UG-2011-6#-00000050,9.608695652173912
UG-2011-6#-00000111,5.428571428571429
UG-2000-4#-00002304,4.481481481481482
UG-2018-7Z-00000036,11.566666666666666
UG-2000-4#-00003011,6.775510204081633
UG-2006-5#-00000042,4.117647058823529
UG-2006-5#-00000288,3.8
UG-2000-4#-00003201,7.875
UG-2014-7#-00000168,6.0
UG-2016-7Z-00000013,9.818181818181818
UG-2016-7Z-00000530,5.6
UG-2018-7Z-00000086,8.588235294117647
UG-2016-7Z-00000558,6.32
UG-2018-7Z-00000018,9.82051282051282
UG-2006-5#-00000039,8.96
UG-2018-7Z-00000204,7.733333333333333
UG-2018-7Z-00000108,9.178571428571429
UG-2014-7#-00000082,6.4375
UG-2016-7Z-00000037,9.705882352941176
UG-2014-7#-00000005,9.961538461538462
UG-2011-6#-00000041,9.2
UG-2014-7#-00000026,11.083333333333334
UG-2016-7Z-00000035,9.45
UG-2000-4#-00003208,4.277777777777778
UG-2016-7Z-00000354,3.5
UG-2009-5Z-00000066,9.565217391304348
UG-2014-7#-00000015,10.37037037037037
UG-2000-4#-00002403,9.916666666666666
UG-2016-7Z-00000449,5.461538461538462
UG-2009-5Z-00000068,8.8
UG-2011-6#-00000006,13.0
UG-2000-4#-00003007,9.0
UG-2016-7Z-00000338,5.565217391304348
UG-2018-7Z-00000166,6.108108108108108
UG-2016-7Z-00000422,7.964285714285714
UG-2018-7Z-00000310,8.68421052631579
UG-2009-5Z-00000056,10.8
UG-2011-6#-00000478,0.3529411764705882
