DHSID_EA,asset_index,sanitation_index,water_index,women_edu
ZM-2013-6#-00000625,-2.316001709482038,1.2727272727272727,4.0,3.5789473684210527
ZM-2013-6#-00000265,-1.9996281765657973,2.75,1.9,4.913043478260869
ZM-2018-7#-00000334,-2.054133502907635,2.2,3.0,4.75
ZM-2007-5#-00000012,-1.7339204934917405,1.625,3.8125,4.928571428571429
ZM-2013-6#-00000374,2.3517339347210617,4.56,4.92,8.785714285714286
ZM-2018-7#-00000247,-1.4182512919698762,2.764705882352941,3.117647058823529,2.411764705882353
ZM-2013-6#-00000436,1.6384419531961212,3.952380952380953,5.0,9.3
ZM-2018-7#-00000390,-1.1867047867203808,2.3181818181818183,3.227272727272727,5.0
ZM-2013-6#-00000030,3.153411716303546,4.958333333333333,4.916666666666667,10.833333333333334
ZM-2013-6#-00000652,-3.0154284914408707,2.15,1.0,3.5454545454545454
ZM-2018-7#-00000376,-1.6836188990922636,2.12,3.4,4.967741935483871
ZM-2018-7#-00000531,0.0207548064268098,2.8,4.12,8.130434782608695
ZM-2013-6#-00000284,-1.7420568471699789,2.45,3.2,4.789473684210527
ZM-2007-5#-00000216,-3.108518432591573,1.5925925925925926,1.3703703703703705,6.35
ZM-2018-7#-00000436,1.4125974120356384,3.24,4.72,7.541666666666667
ZM-2018-7#-00000273,-0.1005145464290183,2.8260869565217392,4.260869565217392,7.473684210526316
ZM-2013-6#-00000352,2.965703871249324,5.0,5.0,12.0
ZM-2007-5#-00000153,-1.6048051730577757,2.3,3.4,6.555555555555555
ZM-2007-5#-00000235,-0.1693438642686899,2.2857142857142856,4.380952380952381,8.136363636363637
ZM-2018-7#-00000045,-1.0419194275405923,2.04,3.56,7.739130434782608
ZM-2013-6#-00000663,-0.1733584425807433,2.5217391304347827,4.217391304347826,6.3478260869565215
ZM-2018-7#-00000181,-0.9637778051666802,2.3043478260869565,3.0869565217391304,7.333333333333333
ZM-2013-6#-00000399,-1.4010685762456876,2.5,1.9545454545454544,6.181818181818182
ZM-2013-6#-00000347,3.0441133030226664,5.0,5.0,13.538461538461538
ZM-2013-6#-00000595,3.0128263389124865,5.0,5.0,13.576923076923077
ZM-2018-7#-00000440,3.3310741930162795,5.0,5.0,11.363636363636363
ZM-2007-5#-00000319,2.7251885516929697,4.956521739130435,5.0,8.61111111111111
ZM-2018-7#-00000457,2.8973434120190364,4.76,5.0,11.893617021276595
ZM-2007-5#-00000278,1.3439742669603705,3.071428571428572,4.714285714285714,9.523809523809524
ZM-2013-6#-00000522,2.516062182237872,4.590909090909091,4.809523809523809,9.541666666666666
