DHSID_EA,sanitation_index
ZM-2013-6#-00000625,1.2727272727272727
ZM-2007-5#-00000216,1.5925925925925926
ZM-2018-7#-00000436,3.24
ZM-2013-6#-00000265,2.75
ZM-2018-7#-00000273,2.8260869565217392
ZM-2018-7#-00000334,2.2
ZM-2013-6#-00000352,5.0
ZM-2018-7#-00000247,2.764705882352941
ZM-2013-6#-00000436,3.952380952380953
ZM-2018-7#-00000390,2.3181818181818183
ZM-2007-5#-00000153,2.3
ZM-2007-5#-00000235,2.2857142857142856
ZM-2018-7#-00000045,2.04
ZM-2018-7#-00000376,2.12
ZM-2018-7#-00000531,2.8
ZM-2013-6#-00000663,2.5217391304347827
