DHSID_EA,water_index
ZW-2005-5#-00001014,3.458333333333333
ZW-1999-4#-00000223,
ZW-2015-7#-00000170,3.2222222222222223
ZW-2010-6#-00000130,2.925925925925926
ZW-2005-5#-00000470,3.4761904761904763
ZW-2015-7#-00000341,3.259259259259259
ZW-2015-7#-00000321,5.0
ZW-2005-5#-00000681,2.88
ZW-2015-7#-00000386,4.5
ZW-1999-4#-00000032,
ZW-2015-7#-00000012,4.0
ZW-2005-5#-00000599,4.739130434782608
ZW-2010-6#-00000321,3.55
ZW-1999-4#-00000120,
ZW-2005-5#-00000860,4.888888888888889
ZW-2005-5#-00000493,3.333333333333333
ZW-2010-6#-00000223,2.4642857142857144
ZW-2010-6#-00000343,4.277777777777778
ZW-2010-6#-00000363,5.0
ZW-2005-5#-00000394,2.24
ZW-2005-5#-00001194,5.0
ZW-2005-5#-00000898,4.764705882352941
ZW-2005-5#-00000797,2.909090909090909
ZW-1999-4#-00000096,
ZW-2010-6#-00000154,3.1379310344827585
ZW-2010-6#-00000324,5.0
ZW-2005-5#-00000388,3.142857142857143
ZW-2010-6#-00000405,1.9
ZW-2015-7#-00000128,3.32
ZW-2015-7#-00000371,3.107142857142857
ZW-2010-6#-00000296,5.0
ZW-2005-5#-00000265,4.833333333333333
ZW-2010-6#-00000116,3.875
ZW-2010-6#-00000339,2.2333333333333334
ZW-1999-4#-00000170,
ZW-2005-5#-00000167,2.625
ZW-2005-5#-00001095,5.0
ZW-2015-7#-00000182,3.08
ZW-2010-6#-00000001,4.647058823529412
ZW-2015-7#-00000040,3.4814814814814814
ZW-2015-7#-00000171,4.037037037037037
ZW-2010-6#-00000062,4.266666666666667
ZW-1999-4#-00000156,
ZW-2015-7#-00000255,3.96
ZW-2015-7#-00000207,2.36
ZW-2005-5#-00000763,3.095238095238096
ZW-2005-5#-00000081,2.8
ZW-2015-7#-00000361,3.071428571428572
ZW-2005-5#-00000440,3.0
ZW-2015-7#-00000204,2.571428571428572
ZW-2005-5#-00000058,5.0
